#EXPORTTYPE:           ,DATA ALL                                       
#FILE:                 ,sapph14mm08302019.ngb-cle                      
#FORMAT:               ,NETZSCH5                                       
#FTYPE:                ,ANSI                                           
#IDENTITY:             ,sapph stnd 14                                  
#DECIMAL:              ,POINT                                          
#SEPARATOR:            ,COMMA                                          
#MTYPE:                ,DIL                                            
#INSTRUMENT:           ,NETZSCH DIL 402C                               
#PROJECT:              ,feldspar                                       
#DATE/TIME:            ,8/30/2019 10:03:28 AM (UTC-5)                  
#CORR. FILE:           ,                                               
#TEMPCAL:              ,TCALZERO.TMX                                   
#LABORATORY:           ,Mineral Physics                                
#OPERATOR:             ,PAG                                            
#REMARK:               ,bare, norm start, for bytown and rocks         
#SAMPLE:               ,sapphire                                       
#SAMPLE LENGTH /mm:    ,14.059                                         
#MATERIAL:             ,sapphire stnd                                  
#MEASMODE:             ,Standard Expansion                             
#PURGE GAS 1:          ,ARGON                                          
#FLOW RATE 1 /(ml/min):,75                                             
#M.RANGE /µm:          ,500                                            
#CORR. CODE:           ,010                                            
#RANGE:                ,20.0°C/3.0(K/min)/1350.0°C/25.0(K/min)/900.0°C/
#SEGMENT:              ,S1-2/2                                         
#SEG. 1:               ,20.0°C/3.0(K/min)/1350.0°C                     
#SEG. 2:               ,1350.0°C/25.0(K/min)/900.0°C                   

##Temp./°C,Time/min,dL/Lo,Segment
  22.04700,  0.00000, 1.8881e-005,1
  22.04500,  0.02167, 1.8671e-005,1
  22.04600,  0.04333, 1.8571e-005,1
  22.05000,  0.06500, 1.8635e-005,1
  22.04800,  0.08667, 1.8568e-005,1
  22.05500,  0.10833, 1.8467e-005,1
  22.05900,  0.13000, 1.8566e-005,1
  22.05400,  0.15167, 1.8522e-005,1
  22.05200,  0.17333, 1.8481e-005,1
  22.05300,  0.19500, 1.8417e-005,1
  22.05500,  0.21667, 1.8467e-005,1
  22.05400,  0.23833, 1.8557e-005,1
  22.05500,  0.26000, 1.8173e-005,1
  22.05600,  0.28167, 1.8305e-005,1
  22.05900,  0.30333, 1.8469e-005,1
  22.06100,  0.32500, 1.8349e-005,1
  22.06100,  0.34667, 1.8216e-005,1
  22.05400,  0.36833, 1.8371e-005,1
  22.05800,  0.39000, 1.8168e-005,1
  22.06000,  0.41167, 1.8298e-005,1
  22.05300,  0.43333, 1.8159e-005,1
  22.06100,  0.45500, 1.8261e-005,1
  22.05400,  0.47667, 1.8211e-005,1
  22.05800,  0.49833, 1.8266e-005,1
  22.05700,  0.52000, 1.8036e-005,1
  22.05800,  0.54167, 1.7981e-005,1
  22.06000,  0.56333, 1.8076e-005,1
  22.05700,  0.58500, 1.7823e-005,1
  22.06100,  0.60667, 1.7816e-005,1
  22.05900,  0.62833, 1.7784e-005,1
  22.05300,  0.65000, 1.7928e-005,1
  22.06700,  0.67167, 1.7823e-005,1
  22.07100,  0.69333, 1.7932e-005,1
  22.06700,  0.71500, 1.7592e-005,1
  22.06800,  0.73667, 1.7848e-005,1
  22.07100,  0.75833, 1.7603e-005,1
  22.07300,  0.78000, 1.7466e-005,1
  22.07400,  0.80167, 1.7589e-005,1
  22.07500,  0.82333, 1.7658e-005,1
  22.07500,  0.84500, 1.7614e-005,1
  22.07700,  0.86667, 1.7726e-005,1
  22.07700,  0.88833, 1.7450e-005,1
  22.08000,  0.91000, 1.7978e-005,1
  22.07900,  0.93167, 1.7678e-005,1
  22.07800,  0.95333, 1.7520e-005,1
  22.07900,  0.97500, 1.7713e-005,1
  22.07900,  0.99667, 1.7589e-005,1
  22.07600,  1.01833, 1.7327e-005,1
  22.07700,  1.04000, 1.7370e-005,1
  22.07300,  1.06167, 1.7457e-005,1
  22.07300,  1.08333, 1.7315e-005,1
  22.07300,  1.10500, 1.7155e-005,1
  22.07800,  1.12667, 1.7102e-005,1
  22.07200,  1.14833, 1.7014e-005,1
  22.07300,  1.17000, 1.6879e-005,1
  22.07300,  1.19167, 1.6915e-005,1
  22.06900,  1.21333, 1.6868e-005,1
  22.07400,  1.23500, 1.7064e-005,1
  22.07400,  1.25667, 1.7100e-005,1
  22.07900,  1.27833, 1.7064e-005,1
  22.07500,  1.30000, 1.7125e-005,1
  22.07200,  1.32167, 1.6961e-005,1
  22.07800,  1.34333, 1.6844e-005,1
  22.07500,  1.36500, 1.6725e-005,1
  22.08200,  1.38667, 1.6748e-005,1
  22.07400,  1.40833, 1.6664e-005,1
  22.07500,  1.43000, 1.6618e-005,1
  22.07900,  1.45167, 1.6602e-005,1
  22.08100,  1.47333, 1.6616e-005,1
  22.07600,  1.49500, 1.6874e-005,1
  22.07600,  1.51667, 1.6358e-005,1
  22.07300,  1.53833, 1.6444e-005,1
  22.07400,  1.56000, 1.6522e-005,1
  22.07500,  1.58167, 1.6538e-005,1
  22.07100,  1.60333, 1.6687e-005,1
  22.07400,  1.62500, 1.6851e-005,1
  22.07900,  1.64667, 1.6584e-005,1
  22.08100,  1.66833, 1.6741e-005,1
  22.08200,  1.69000, 1.6561e-005,1
  22.07900,  1.71167, 1.6389e-005,1
  22.07800,  1.73333, 1.6693e-005,1
  22.07900,  1.75500, 1.6424e-005,1
  22.08500,  1.77667, 1.6698e-005,1
  22.08200,  1.79833, 1.6472e-005,1
  22.08400,  1.82000, 1.6353e-005,1
  22.08300,  1.84167, 1.6622e-005,1
  22.08100,  1.86333, 1.6483e-005,1
  22.07900,  1.88500, 1.6326e-005,1
  22.08100,  1.90667, 1.6261e-005,1
  22.08000,  1.92833, 1.6191e-005,1
  22.08200,  1.95000, 1.6134e-005,1
  22.08700,  1.97167, 1.6250e-005,1
  22.08600,  1.99333, 1.6376e-005,1
  22.08200,  2.01500, 1.6170e-005,1
  22.08600,  2.03667, 1.6101e-005,1
  22.09000,  2.05833, 1.6129e-005,1
  22.08000,  2.08000, 1.6218e-005,1
  22.08500,  2.10167, 1.6120e-005,1
  22.07900,  2.12333, 1.5997e-005,1
  22.07700,  2.14500, 1.6072e-005,1
  22.08600,  2.16667, 1.5879e-005,1
  22.09000,  2.18833, 1.5969e-005,1
  22.09100,  2.21000, 1.6181e-005,1
  22.09000,  2.23167, 1.6458e-005,1
  22.09300,  2.25333, 1.6266e-005,1
  22.09600,  2.27500, 1.6172e-005,1
  22.09100,  2.29667, 1.6323e-005,1
  22.09300,  2.31833, 1.6115e-005,1
  22.09800,  2.34000, 1.6382e-005,1
  22.09900,  2.36167, 1.6123e-005,1
  22.10000,  2.38333, 1.6103e-005,1
  22.09300,  2.40500, 1.6115e-005,1
  22.08600,  2.42667, 1.5950e-005,1
  22.09500,  2.44833, 1.6227e-005,1
  22.09500,  2.47000, 1.5943e-005,1
  22.09100,  2.49167, 1.6332e-005,1
  22.09200,  2.51333, 1.6037e-005,1
  22.09200,  2.53500, 1.6001e-005,1
  22.08500,  2.55667, 1.5818e-005,1
  22.08700,  2.57833, 1.5930e-005,1
  22.09100,  2.60000, 1.5914e-005,1
  22.09200,  2.62167, 1.5966e-005,1
  22.09500,  2.64333, 1.5809e-005,1
  22.10500,  2.66500, 1.5783e-005,1
  22.09900,  2.68667, 1.5722e-005,1
  22.10500,  2.70833, 1.5828e-005,1
  22.10000,  2.73000, 1.5650e-005,1
  22.10300,  2.75167, 1.5964e-005,1
  22.10200,  2.77333, 1.5824e-005,1
  22.10300,  2.79500, 1.5778e-005,1
  22.09900,  2.81667, 1.5500e-005,1
  22.10000,  2.83833, 1.5792e-005,1
  22.10500,  2.86000, 1.5748e-005,1
  22.10400,  2.88167, 1.5589e-005,1
  22.10100,  2.90333, 1.5559e-005,1
  22.10000,  2.92500, 1.5703e-005,1
  22.10400,  2.94667, 1.5474e-005,1
  22.11200,  2.96833, 1.5762e-005,1
  22.11100,  2.99000, 1.5693e-005,1
  22.10600,  3.01167, 1.5346e-005,1
  22.10900,  3.03333, 1.5589e-005,1
  22.10400,  3.05500, 1.5749e-005,1
  22.10900,  3.07667, 1.5429e-005,1
  22.11000,  3.09833, 1.5490e-005,1
  22.10800,  3.12000, 1.5431e-005,1
  22.09200,  3.14167, 1.5219e-005,1
  22.09100,  3.16333, 1.5327e-005,1
  22.09600,  3.18500, 1.5612e-005,1
  22.10000,  3.20667, 1.5401e-005,1
  22.09900,  3.22833, 1.5500e-005,1
  22.09900,  3.25000, 1.5367e-005,1
  22.10200,  3.27167, 1.5486e-005,1
  22.09900,  3.29333, 1.5180e-005,1
  22.10200,  3.31500, 1.5299e-005,1
  22.10300,  3.33667, 1.5422e-005,1
  22.10700,  3.35833, 1.5415e-005,1
  22.11200,  3.38000, 1.5255e-005,1
  22.11400,  3.40167, 1.5270e-005,1
  22.11300,  3.42333, 1.5165e-005,1
  22.11300,  3.44500, 1.5147e-005,1
  22.11800,  3.46667, 1.5102e-005,1
  22.11900,  3.48833, 1.5047e-005,1
  22.12500,  3.51000, 1.5090e-005,1
  22.12800,  3.53167, 1.5218e-005,1
  22.14000,  3.55333, 1.4895e-005,1
  22.13500,  3.57500, 1.4842e-005,1
  22.14300,  3.59667, 1.4881e-005,1
  22.15100,  3.61833, 1.4618e-005,1
  22.15600,  3.64000, 1.4681e-005,1
  22.16000,  3.66167, 1.4522e-005,1
  22.16500,  3.68333, 1.4487e-005,1
  22.17400,  3.70500, 1.4418e-005,1
  22.18100,  3.72667, 1.4317e-005,1
  22.19600,  3.74833, 1.4380e-005,1
  22.21000,  3.77000, 1.4337e-005,1
  22.21900,  3.79167, 1.4126e-005,1
  22.23100,  3.81333, 1.4087e-005,1
  22.24400,  3.83500, 1.4180e-005,1
  22.24300,  3.85667, 1.3826e-005,1
  22.25300,  3.87833, 1.3764e-005,1
  22.27000,  3.90000, 1.3761e-005,1
  22.28000,  3.92167, 1.3691e-005,1
  22.29200,  3.94333, 1.3465e-005,1
  22.29900,  3.96500, 1.3275e-005,1
  22.31500,  3.98667, 1.3318e-005,1
  22.33400,  4.00833, 1.3143e-005,1
  22.34600,  4.03000, 1.3122e-005,1
  22.35900,  4.05167, 1.2930e-005,1
  22.37800,  4.07333, 1.2711e-005,1
  22.39600,  4.09500, 1.2501e-005,1
  22.41800,  4.11667, 1.2534e-005,1
  22.43100,  4.13833, 1.2307e-005,1
  22.45000,  4.16000, 1.2301e-005,1
  22.47200,  4.18167, 1.2084e-005,1
  22.49400,  4.20333, 1.2188e-005,1
  22.51700,  4.22500, 1.1979e-005,1
  22.53800,  4.24667, 1.1809e-005,1
  22.56000,  4.26833, 1.1646e-005,1
  22.57900,  4.29000, 1.1267e-005,1
  22.60100,  4.31167, 1.1201e-005,1
  22.62400,  4.33333, 1.1144e-005,1
  22.65200,  4.35500, 1.0890e-005,1
  22.68000,  4.37667, 1.0788e-005,1
  22.69900,  4.39833, 1.0737e-005,1
  22.72700,  4.42000, 1.0377e-005,1
  22.75500,  4.44167, 1.0195e-005,1
  22.78600,  4.46333, 9.8654e-006,1
  22.82200,  4.48500, 9.8383e-006,1
  22.84800,  4.50667, 9.7841e-006,1
  22.88400,  4.52833, 9.3657e-006,1
  22.91100,  4.55000, 8.8297e-006,1
  22.95000,  4.57167, 9.0374e-006,1
  22.97700,  4.59333, 8.8837e-006,1
  22.99700,  4.61500, 8.5110e-006,1
  23.03100,  4.63667, 8.3273e-006,1
  23.07200,  4.65833, 8.1848e-006,1
  23.10900,  4.68000, 7.9247e-006,1
  23.14800,  4.70167, 7.5812e-006,1
  23.19000,  4.72333, 7.5259e-006,1
  23.23200,  4.74500, 7.3816e-006,1
  23.26700,  4.76667, 7.1162e-006,1
  23.30700,  4.78833, 6.9132e-006,1
  23.34300,  4.81000, 6.6105e-006,1
  23.39000,  4.83167, 6.3598e-006,1
