#EXPORTTYPE:           ,DATA ALL                                                   
#FILE:                 ,anorthShawS1R1.ngb-sle                                     
#FORMAT:               ,NETZSCH5                                                   
#FTYPE:                ,ANSI                                                       
#IDENTITY:             ,anorthosite shawmere                                       
#DECIMAL:              ,POINT                                                      
#SEPARATOR:            ,COMMA                                                      
#MTYPE:                ,DIL                                                        
#INSTRUMENT:           ,NETZSCH DIL 402C                                           
#PROJECT:              ,feldspar                                                   
#DATE/TIME:            ,9/1/2019 1:09:40 PM (UTC-5)                                
#CORR. FILE:           ,                                                           
#TEMPCAL:              ,TCALZERO.TMX                                               
#LABORATORY:           ,Mineral Physics                                            
#OPERATOR:             ,PAG                                                        
#REMARK:               ,bare, norm start, for bytown and rocks, shawmere thin fresh
#SAMPLE:               ,shawmere fresh                                             
#SAMPLE LENGTH /mm:    ,12.99                                                      
#MATERIAL:             ,sapphire stnd                                              
#MEASMODE:             ,Standard Expansion                                         
#PURGE GAS 1:          ,ARGON                                                      
#FLOW RATE 1 /(ml/min):,75                                                         
#M.RANGE /µm:          ,500                                                        
#CORR. CODE:           ,010                                                        
#RANGE:                ,20.0°C/3.0(K/min)/1000.0°C                                 
#SEGMENT:              ,S1/1                                                       
#SEG. 1:               ,20.0°C/3.0(K/min)/1000.0°C                                 

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
 23.02700,  0.00000, 2.7601e-005,-1.0043e-006
 23.52700,  4.53790, 1.2783e-005,-1.0385e-005
 24.02700,  4.89583, 6.6809e-006,-1.2579e-005
 24.52700,  5.15395, 2.8364e-007,-1.0517e-005
 25.02700,  5.36594,-4.4134e-006,-9.6902e-006
 25.52700,  5.55029,-9.3420e-006,-8.9818e-006
 26.02700,  5.71629,-1.3386e-005,-7.4908e-006
 26.52700,  5.86889,-1.7086e-005,-7.0022e-006
 27.02700,  6.01126,-2.0373e-005,-6.6302e-006
 27.52700,  6.14587,-2.3554e-005,-5.0036e-006
 28.02700,  6.27440,-2.5651e-005,-4.4305e-006
 28.52700,  6.39840,-2.7946e-005,-4.1732e-006
 29.02700,  6.51871,-2.9848e-005,-3.7507e-006
 29.52700,  6.63586,-3.1523e-005,-3.4721e-006
 30.02700,  6.75017,-3.3417e-005,-3.0888e-006
 30.52700,  6.86259,-3.4734e-005,-2.3492e-006
 31.02700,  6.97289,-3.5431e-005,-1.1483e-006
 31.52700,  7.08146,-3.6070e-005,-1.1523e-006
 32.02700,  7.18878,-3.6328e-005,-6.6875e-007
 32.52700,  7.29533,-3.6744e-005,-6.1477e-007
 33.02700,  7.40097,-3.6870e-005,-3.3921e-008
 33.52700,  7.50620,-3.7051e-005, 2.2455e-007
 34.02700,  7.61089,-3.6896e-005, 7.7760e-007
 34.52700,  7.71551,-3.6140e-005, 5.1210e-007
 35.02700,  7.81980,-3.6082e-005, 1.4167e-006
 35.52700,  7.92377,-3.5021e-005, 1.7502e-006
 36.02700,  8.02734,-3.4023e-005, 2.4421e-006
 36.52700,  8.13088,-3.2872e-005, 2.8476e-006
 37.02700,  8.23424,-3.1167e-005, 2.9203e-006
 37.52700,  8.33759,-2.9533e-005, 3.2274e-006
 38.02700,  8.44063,-2.8114e-005, 3.1047e-006
 38.52700,  8.54373,-2.6566e-005, 3.9798e-006
 39.02700,  8.64686,-2.4220e-005, 4.4370e-006
 39.52700,  8.74991,-2.2216e-005, 4.2565e-006
 40.02700,  8.85274,-1.9901e-005, 4.4207e-006
 40.52700,  8.95551,-1.7693e-005, 4.6712e-006
 41.02700,  9.05846,-1.5020e-005, 4.9594e-006
 41.52700,  9.16136,-1.2561e-005, 5.0271e-006
 42.02700,  9.26421,-1.0107e-005, 5.3526e-006
 42.52700,  9.36688,-7.4860e-006, 5.3998e-006
 43.02700,  9.46945,-4.5631e-006, 5.4528e-006
 43.52700,  9.57207,-1.9197e-006, 5.5188e-006
 44.02700,  9.67456, 4.7157e-007, 5.5502e-006
 44.52700,  9.77663, 3.4932e-006, 5.8226e-006
 45.02700,  9.87854, 6.4980e-006, 5.7054e-006
 45.52700,  9.98019, 9.5022e-006, 5.9518e-006
 46.02700, 10.08158, 1.2296e-005, 5.8210e-006
 46.52700, 10.18275, 1.5155e-005, 5.9116e-006
 47.02700, 10.28337, 1.8088e-005, 6.0855e-006
 47.52700, 10.38363, 2.1348e-005, 6.2806e-006
 48.02700, 10.48362, 2.4493e-005, 6.3274e-006
 48.52700, 10.58331, 2.7760e-005, 6.3632e-006
 49.02700, 10.68254, 3.0718e-005, 6.1573e-006
 49.52700, 10.78136, 3.3932e-005, 6.6425e-006
 50.02700, 10.87969, 3.7191e-005, 6.4870e-006
 50.52700, 10.97773, 4.0527e-005, 6.7679e-006
 51.02700, 11.07539, 4.3927e-005, 6.4861e-006
 51.52700, 11.17278, 4.7038e-005, 6.4476e-006
 52.02700, 11.26959, 5.0407e-005, 6.6922e-006
 52.52700, 11.36605, 5.4050e-005, 6.8626e-006
 53.02700, 11.46215, 5.7166e-005, 7.1725e-006
 53.52700, 11.55799, 6.1045e-005, 7.1104e-006
 54.02700, 11.65371, 6.4567e-005, 6.8190e-006
 54.52700, 11.74932, 6.7736e-005, 6.9678e-006
 55.02700, 11.84460, 7.1454e-005, 7.0561e-006
 55.52700, 11.93968, 7.4884e-005, 7.3205e-006
 56.02700, 12.03476, 7.8597e-005, 7.0030e-006
 56.52700, 12.12980, 8.1848e-005, 7.0805e-006
 57.02700, 12.22473, 8.5660e-005, 7.3071e-006
 57.52700, 12.31950, 8.9347e-005, 7.3064e-006
 58.02700, 12.41405, 9.3194e-005, 7.7592e-006
 58.52700, 12.50835, 9.6911e-005, 7.5254e-006
 59.02700, 12.60249, 1.0073e-004, 7.5227e-006
 59.52700, 12.69651, 1.0466e-004, 7.9762e-006
 60.02700, 12.79037, 1.0858e-004, 7.9305e-006
 60.52700, 12.88419, 1.1251e-004, 8.0087e-006
 61.02700, 12.97793, 1.1661e-004, 8.1219e-006
 61.52700, 13.07165, 1.2063e-004, 7.9004e-006
 62.02700, 13.16540, 1.2461e-004, 8.0960e-006
 62.52700, 13.25921, 1.2869e-004, 8.3814e-006
 63.02700, 13.35290, 1.3300e-004, 8.5019e-006
 63.52700, 13.44657, 1.3700e-004, 8.3319e-006
 64.02700, 13.54036, 1.4127e-004, 8.5648e-006
 64.52700, 13.63398, 1.4583e-004, 8.8623e-006
 65.02700, 13.72753, 1.5011e-004, 8.3736e-006
 65.52700, 13.82098, 1.5411e-004, 8.6462e-006
 66.02700, 13.91459, 1.5896e-004, 9.0721e-006
 66.52700, 14.00834, 1.6310e-004, 8.9533e-006
 67.02700, 14.10229, 1.6786e-004, 9.1000e-006
 67.52700, 14.19646, 1.7230e-004, 8.7059e-006
 68.02700, 14.29070, 1.7669e-004, 9.2249e-006
 68.52700, 14.38498, 1.8121e-004, 9.1384e-006
 69.02700, 14.47952, 1.8577e-004, 9.3806e-006
 69.52700, 14.57413, 1.9051e-004, 9.4564e-006
 70.02700, 14.66867, 1.9546e-004, 9.2647e-006
 70.52700, 14.76321, 1.9968e-004, 9.1573e-006
 71.02700, 14.85758, 2.0473e-004, 9.6335e-006
 71.52700, 14.95184, 2.0932e-004, 9.4284e-006
 72.02700, 15.04632, 2.1400e-004, 9.8062e-006
 72.52700, 15.14094, 2.1904e-004, 9.4657e-006
 73.02700, 15.23582, 2.2366e-004, 9.4322e-006
 73.52700, 15.33100, 2.2840e-004, 9.6789e-006
 74.02700, 15.42631, 2.3361e-004, 9.3433e-006
 74.52700, 15.52167, 2.3814e-004, 9.7878e-006
 75.02700, 15.61706, 2.4278e-004, 1.0062e-005
 75.52700, 15.71268, 2.4790e-004, 9.8385e-006
 76.02700, 15.80845, 2.5293e-004, 9.7982e-006
 76.52700, 15.90403, 2.5793e-004, 9.7923e-006
 77.02700, 15.99930, 2.6275e-004, 9.8530e-006
 77.52700, 16.09459, 2.6753e-004, 1.0391e-005
 78.02700, 16.18995, 2.7294e-004, 1.0081e-005
 78.52700, 16.28554, 2.7799e-004, 1.0084e-005
 79.02700, 16.38126, 2.8277e-004, 9.9530e-006
 79.52700, 16.47687, 2.8771e-004, 9.8880e-006
 80.02700, 16.57259, 2.9279e-004, 1.0046e-005
 80.52700, 16.66844, 2.9800e-004, 1.0215e-005
 81.02700, 16.76459, 3.0297e-004, 9.9542e-006
 81.52700, 16.86058, 3.0796e-004, 1.0138e-005
 82.02700, 16.95666, 3.1322e-004, 1.0541e-005
 82.52700, 17.05281, 3.1825e-004, 1.0124e-005
 83.02700, 17.14882, 3.2334e-004, 1.0541e-005
 83.52700, 17.24519, 3.2900e-004, 1.0624e-005
 84.02700, 17.34165, 3.3408e-004, 1.0352e-005
 84.52700, 17.43804, 3.3949e-004, 1.0704e-005
 85.02700, 17.53459, 3.4459e-004, 1.0158e-005
 85.52700, 17.63131, 3.4948e-004, 1.0581e-005
 86.02700, 17.72806, 3.5512e-004, 1.0681e-005
 86.52700, 17.82492, 3.6022e-004, 1.0610e-005
 87.02700, 17.92189, 3.6566e-004, 1.0768e-005
 87.52700, 18.01872, 3.7122e-004, 1.0795e-005
 88.02700, 18.11576, 3.7640e-004, 1.0537e-005
 88.52700, 18.21293, 3.8142e-004, 1.0681e-005
 89.02700, 18.31001, 3.8722e-004, 1.1102e-005
 89.52700, 18.40732, 3.9233e-004, 1.0469e-005
 90.02700, 18.50451, 3.9781e-004, 1.0890e-005
