#EXPORTTYPE:           ,DATA ALL                                                                           
#FILE:                 ,bytownBs1r1.ngb-sle                                                                
#FORMAT:               ,NETZSCH5                                                                           
#FTYPE:                ,ANSI                                                                               
#IDENTITY:             ,bytownite s1                                                                       
#DECIMAL:              ,POINT                                                                              
#SEPARATOR:            ,COMMA                                                                              
#MTYPE:                ,DIL                                                                                
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                   
#PROJECT:              ,feldspar                                                                           
#DATE/TIME:            ,9/9/2019 9:42:22 AM (UTC-5)                                                        
#CORR. FILE:           ,                                                                                   
#TEMPCAL:              ,TCALZERO.TMX                                                                       
#LABORATORY:           ,Mineral Physics                                                                    
#OPERATOR:             ,PAG                                                                                
#REMARK:               ,bare, norm start, for bytown and rocks , fbm B 010 or 001 rect x section. nice ends
#SAMPLE:               ,FBM-B                                                                              
#SAMPLE LENGTH /mm:    ,14.265                                                                             
#MATERIAL:             ,sapphire stnd                                                                      
#MEASMODE:             ,Standard Expansion                                                                 
#PURGE GAS 1:          ,ARGON                                                                              
#FLOW RATE 1 /(ml/min):,75                                                                                 
#M.RANGE /µm:          ,500                                                                                
#CORR. CODE:           ,010                                                                                
#RANGE:                ,20.0°C/3.0(K/min)/1180.0°C/30.0(K/min)/900.0°C/                                    
#SEGMENT:              ,S1-2/2                                                                             
#SEG. 1:               ,20.0°C/3.0(K/min)/1180.0°C                                                         
#SEG. 2:               ,1180.0°C/30.0(K/min)/900.0°C                                                       

##Temp./°C,Time/min,dL/Lo,Segment
  22.54500,  0.00000, 2.2440e-005,1
  22.54900,  0.02167, 2.2731e-005,1
  22.55400,  0.04333, 2.2811e-005,1
  22.55100,  0.06500, 2.2868e-005,1
  22.54700,  0.08667, 2.2988e-005,1
  22.55500,  0.10833, 2.3370e-005,1
  22.55500,  0.13000, 2.3589e-005,1
  22.56100,  0.15167, 2.3886e-005,1
  22.56000,  0.17333, 2.3984e-005,1
  22.56700,  0.19500, 2.4148e-005,1
  22.56500,  0.21667, 2.4335e-005,1
  22.56600,  0.23833, 2.4412e-005,1
  22.56200,  0.26000, 2.4594e-005,1
  22.56200,  0.28167, 2.4533e-005,1
  22.56300,  0.30333, 2.4943e-005,1
  22.56600,  0.32500, 2.5113e-005,1
  22.57300,  0.34667, 2.5260e-005,1
  22.57200,  0.36833, 2.5358e-005,1
  22.57100,  0.39000, 2.5316e-005,1
  22.57200,  0.41167, 2.5410e-005,1
  22.57400,  0.43333, 2.5582e-005,1
  22.57500,  0.45500, 2.5765e-005,1
  22.57100,  0.47667, 2.5684e-005,1
  22.57500,  0.49833, 2.5975e-005,1
  22.57700,  0.52000, 2.6121e-005,1
  22.58000,  0.54167, 2.6353e-005,1
  22.58100,  0.56333, 2.6325e-005,1
  22.58200,  0.58500, 2.6498e-005,1
  22.58000,  0.60667, 2.6326e-005,1
  22.58100,  0.62833, 2.6640e-005,1
  22.58100,  0.65000, 2.6710e-005,1
  22.57900,  0.67167, 2.6827e-005,1
  22.58500,  0.69333, 2.6748e-005,1
