#EXPORTTYPE:           ,DATA ALL                                                             
#FILE:                 ,bytownCrun1.ngb-sle                                                  
#FORMAT:               ,NETZSCH5                                                             
#FTYPE:                ,ANSI                                                                 
#IDENTITY:             ,bytwonite C                                                          
#DECIMAL:              ,POINT                                                                
#SEPARATOR:            ,COMMA                                                                
#MTYPE:                ,DIL                                                                  
#INSTRUMENT:           ,NETZSCH DIL 402C                                                     
#PROJECT:              ,feldspar                                                             
#DATE/TIME:            ,9/11/2019 9:46:40 AM (UTC-5)                                         
#CORR. FILE:           ,                                                                     
#TEMPCAL:              ,TCALZERO.TMX                                                         
#LABORATORY:           ,Mineral Physics                                                      
#OPERATOR:             ,PAG                                                                  
#REMARK:               ,bare, norm start, for bytown and rocks bytownite fat rect x-section  
#SAMPLE:               ,fmb-C                                                                
#SAMPLE LENGTH /mm:    ,14.583                                                               
#MATERIAL:             ,sapphire stnd                                                        
#MEASMODE:             ,Standard Expansion                                                   
#PURGE GAS 1:          ,ARGON                                                                
#FLOW RATE 1 /(ml/min):,75                                                                   
#M.RANGE /µm:          ,500                                                                  
#CORR. CODE:           ,010                                                                  
#RANGE:                ,20.0°C/3.0(K/min)/1206.0°C/25.0(K/min)/900.0°C/                      
#SEGMENT:              ,S1-2/2                                                               
#SEG. 1:               ,20.0°C/3.0(K/min)/1206.0°C                                           
#SEG. 2:               ,1206.0°C/25.0(K/min)/900.0°C                                         

##Temp./°C,Time/min,dL/Lo,Segment
  21.53000,  0.00000, 1.5187e-005,1
  21.53600,  0.02167, 1.5256e-005,1
  21.53600,  0.04333, 1.5093e-005,1
  21.54000,  0.06500, 1.5473e-005,1
  21.54200,  0.08667, 1.5453e-005,1
  21.54500,  0.10833, 1.5868e-005,1
  21.54800,  0.13000, 1.5898e-005,1
  21.54700,  0.15167, 1.5754e-005,1
  21.55800,  0.17333, 1.5987e-005,1
  21.55600,  0.19500, 1.6024e-005,1
  21.55600,  0.21667, 1.6187e-005,1
  21.55900,  0.23833, 1.6354e-005,1
  21.55600,  0.26000, 1.6238e-005,1
  21.56000,  0.28167, 1.6464e-005,1
  21.56300,  0.30333, 1.6426e-005,1
  21.55800,  0.32500, 1.6647e-005,1
  21.56000,  0.34667, 1.6567e-005,1
  21.56300,  0.36833, 1.6811e-005,1
  21.56900,  0.39000, 1.6597e-005,1
  21.57400,  0.41167, 1.6873e-005,1
  21.56600,  0.43333, 1.6816e-005,1
  21.57000,  0.45500, 1.6698e-005,1
  21.57200,  0.47667, 1.6918e-005,1
  21.57600,  0.49833, 1.6784e-005,1
  21.57500,  0.52000, 1.7060e-005,1
  21.57500,  0.54167, 1.7034e-005,1
  21.57600,  0.56333, 1.7067e-005,1
  21.57400,  0.58500, 1.6976e-005,1
  21.57300,  0.60667, 1.6917e-005,1
  21.57500,  0.62833, 1.7008e-005,1
  21.58200,  0.65000, 1.6956e-005,1
  21.57900,  0.67167, 1.7054e-005,1
  21.58100,  0.69333, 1.7026e-005,1
  21.58300,  0.71500, 1.6860e-005,1
  21.58400,  0.73667, 1.7141e-005,1
  21.58100,  0.75833, 1.7026e-005,1
  21.58100,  0.78000, 1.7111e-005,1
  21.58200,  0.80167, 1.7067e-005,1
  21.58100,  0.82333, 1.7128e-005,1
  21.58300,  0.84500, 1.6620e-005,1
  21.58300,  0.86667, 1.6886e-005,1
  21.58300,  0.88833, 1.6671e-005,1
  21.58200,  0.91000, 1.6810e-005,1
  21.58200,  0.93167, 1.6776e-005,1
  21.58100,  0.95333, 1.6880e-005,1
  21.58200,  0.97500, 1.6656e-005,1
  21.58100,  0.99667, 1.6906e-005,1
  21.58600,  1.01833, 1.6787e-005,1
  21.58200,  1.04000, 1.6810e-005,1
  21.58300,  1.06167, 1.6388e-005,1
  21.58600,  1.08333, 1.6650e-005,1
  21.58300,  1.10500, 1.6508e-005,1
  21.58700,  1.12667, 1.6494e-005,1
  21.58400,  1.14833, 1.6396e-005,1
  21.58600,  1.17000, 1.6298e-005,1
  21.58200,  1.19167, 1.6193e-005,1
  21.58200,  1.21333, 1.6253e-005,1
  21.58100,  1.23500, 1.5980e-005,1
  21.58200,  1.25667, 1.6004e-005,1
  21.58300,  1.27833, 1.6011e-005,1
  21.58300,  1.30000, 1.5994e-005,1
  21.58300,  1.32167, 1.6080e-005,1
  21.58300,  1.34333, 1.5951e-005,1
  21.58100,  1.36500, 1.5963e-005,1
  21.58300,  1.38667, 1.5806e-005,1
  21.57700,  1.40833, 1.5454e-005,1
  21.57600,  1.43000, 1.5430e-005,1
  21.57500,  1.45167, 1.5740e-005,1
  21.57900,  1.47333, 1.5400e-005,1
  21.58600,  1.49500, 1.5596e-005,1
  21.58200,  1.51667, 1.5173e-005,1
  21.58500,  1.53833, 1.5314e-005,1
  21.58200,  1.56000, 1.5250e-005,1
  21.58200,  1.58167, 1.5336e-005,1
  21.57900,  1.60333, 1.4997e-005,1
  21.57900,  1.62500, 1.4911e-005,1
  21.58500,  1.64667, 1.5091e-005,1
  21.57700,  1.66833, 1.5008e-005,1
  21.58700,  1.69000, 1.5054e-005,1
  21.58200,  1.71167, 1.4873e-005,1
  21.58300,  1.73333, 1.5051e-005,1
  21.58800,  1.75500, 1.4607e-005,1
  21.58700,  1.77667, 1.4720e-005,1
  21.58800,  1.79833, 1.4967e-005,1
  21.58600,  1.82000, 1.4550e-005,1
  21.58900,  1.84167, 1.4726e-005,1
  21.59300,  1.86333, 1.4583e-005,1
  21.58800,  1.88500, 1.4830e-005,1
  21.58800,  1.90667, 1.4393e-005,1
  21.58900,  1.92833, 1.4443e-005,1
  21.58200,  1.95000, 1.4316e-005,1
  21.59000,  1.97167, 1.4364e-005,1
  21.59100,  1.99333, 1.4251e-005,1
  21.59000,  2.01500, 1.4218e-005,1
  21.59200,  2.03667, 1.3958e-005,1
  21.59000,  2.05833, 1.3816e-005,1
  21.58900,  2.08000, 1.3791e-005,1
  21.59200,  2.10167, 1.3744e-005,1
  21.58800,  2.12333, 1.3793e-005,1
  21.58800,  2.14500, 1.3501e-005,1
  21.58500,  2.16667, 1.3651e-005,1
  21.58900,  2.18833, 1.3268e-005,1
