#EXPORTTYPE:           ,DATA ALL                                                                                   
#FILE:                 ,moonstoneS1.ngb-sle                                                                        
#FORMAT:               ,NETZSCH5                                                                                   
#FTYPE:                ,ANSI                                                                                       
#IDENTITY:             ,moonstone                                                                                  
#DECIMAL:              ,POINT                                                                                      
#SEPARATOR:            ,COMMA                                                                                      
#MTYPE:                ,DIL                                                                                        
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                           
#PROJECT:              ,feldspar                                                                                   
#DATE/TIME:            ,9/12/2019 10:20:17 AM (UTC-5)                                                              
#CORR. FILE:           ,                                                                                           
#TEMPCAL:              ,TCALZERO.TMX                                                                               
#LABORATORY:           ,Mineral Physics                                                                            
#OPERATOR:             ,PAG                                                                                        
#REMARK:               ,bare, norm start, for bytown and rocks moonstone Or-Ab solid soln box 1 prob 010 or 001thin
#SAMPLE:               ,fmu-box1                                                                                   
#SAMPLE LENGTH /mm:    ,14.978                                                                                     
#MATERIAL:             ,sapphire stnd                                                                              
#MEASMODE:             ,Standard Expansion                                                                         
#PURGE GAS 1:          ,ARGON                                                                                      
#FLOW RATE 1 /(ml/min):,75                                                                                         
#M.RANGE /µm:          ,500                                                                                        
#CORR. CODE:           ,010                                                                                        
#RANGE:                ,20.0°C/3.0(K/min)/900.0°C                                                                  
#SEGMENT:              ,S1/1                                                                                       
#SEG. 1:               ,20.0°C/3.0(K/min)/900.0°C                                                                  

##Temp./°C,Time/min,dL/Lo
 22.51000,  0.00000, 2.2189e-005
 22.52000,  0.02167, 2.2486e-005
 22.52800,  0.04333, 2.2652e-005
 22.52600,  0.06500, 2.2997e-005
 22.52600,  0.08667, 2.3080e-005
 22.52500,  0.10833, 2.3206e-005
 22.53200,  0.13000, 2.3682e-005
 22.53100,  0.15167, 2.3683e-005
 22.54200,  0.17333, 2.4104e-005
 22.53300,  0.19500, 2.4490e-005
 22.53600,  0.21667, 2.4604e-005
 22.53700,  0.23833, 2.4594e-005
 22.53700,  0.26000, 2.4861e-005
 22.53600,  0.28167, 2.5238e-005
 22.54300,  0.30333, 2.5221e-005
 22.53500,  0.32500, 2.5222e-005
 22.54200,  0.34667, 2.5673e-005
 22.54400,  0.36833, 2.5487e-005
 22.55000,  0.39000, 2.6122e-005
 22.55100,  0.41167, 2.6130e-005
 22.54900,  0.43333, 2.6424e-005
 22.54800,  0.45500, 2.6333e-005
 22.55100,  0.47667, 2.6572e-005
 22.55400,  0.49833, 2.6802e-005
 22.55100,  0.52000, 2.6831e-005
 22.55200,  0.54167, 2.6996e-005
 22.55500,  0.56333, 2.7310e-005
 22.55500,  0.58500, 2.7318e-005
 22.56000,  0.60667, 2.7412e-005
 22.55900,  0.62833, 2.7480e-005
 22.56800,  0.65000, 2.7503e-005
 22.55900,  0.67167, 2.7422e-005
 22.55800,  0.69333, 2.7673e-005
 22.56500,  0.71500, 2.7657e-005
