#EXPORTTYPE:           ,DATA ALL                                                                                                   
#FILE:                 ,moonstoneS2r1.ngb-sle                                                                                      
#FORMAT:               ,NETZSCH5                                                                                                   
#FTYPE:                ,ANSI                                                                                                       
#IDENTITY:             ,moonstone 2                                                                                                
#DECIMAL:              ,POINT                                                                                                      
#SEPARATOR:            ,COMMA                                                                                                      
#MTYPE:                ,DIL                                                                                                        
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                                           
#PROJECT:              ,feldspar                                                                                                   
#DATE/TIME:            ,9/13/2019 9:47:34 AM (UTC-5)                                                                               
#CORR. FILE:           ,                                                                                                           
#TEMPCAL:              ,TCALZERO.TMX                                                                                               
#LABORATORY:           ,Mineral Physics                                                                                            
#OPERATOR:             ,PAG                                                                                                        
#REMARK:               ,bare, norm start, for bytown and rocks moonstone Or-Ab solid soln box 1 prob 100* rectangle with notch,pink
#SAMPLE:               ,fmu-box2                                                                                                   
#SAMPLE LENGTH /mm:    ,13.568                                                                                                     
#MATERIAL:             ,sapphire stnd                                                                                              
#MEASMODE:             ,Standard Expansion                                                                                         
#PURGE GAS 1:          ,ARGON                                                                                                      
#FLOW RATE 1 /(ml/min):,75                                                                                                         
#M.RANGE /µm:          ,500                                                                                                        
#CORR. CODE:           ,010                                                                                                        
#RANGE:                ,20.0°C/3.0(K/min)/850.0°C                                                                                  
#SEGMENT:              ,S1/1                                                                                                       
#SEG. 1:               ,20.0°C/3.0(K/min)/850.0°C                                                                                  

##Temp./°C,Time/min,dL/Lo
 21.03600,  0.00000, 1.1659e-005
 21.04200,  0.02167, 1.1876e-005
 21.03900,  0.04333, 1.2279e-005
 21.04400,  0.06500, 1.2536e-005
 21.04700,  0.08667, 1.2640e-005
 21.04400,  0.10833, 1.3153e-005
 21.03900,  0.13000, 1.3053e-005
 21.03800,  0.15167, 1.3313e-005
 21.04200,  0.17333, 1.3277e-005
 21.04400,  0.19500, 1.3549e-005
 21.04200,  0.21667, 1.3839e-005
 21.04600,  0.23833, 1.3895e-005
 21.04300,  0.26000, 1.4030e-005
 21.04400,  0.28167, 1.4424e-005
 21.04300,  0.30333, 1.4601e-005
 21.04200,  0.32500, 1.4788e-005
 21.04000,  0.34667, 1.5096e-005
 21.04100,  0.36833, 1.5057e-005
 21.04000,  0.39000, 1.4995e-005
 21.03400,  0.41167, 1.5385e-005
 21.04000,  0.43333, 1.5252e-005
 21.04500,  0.45500, 1.5583e-005
 21.03900,  0.47667, 1.5586e-005
 21.04600,  0.49833, 1.5765e-005
 21.04100,  0.52000, 1.5776e-005
 21.04200,  0.54167, 1.6151e-005
 21.04000,  0.56333, 1.6155e-005
 21.03800,  0.58500, 1.6270e-005
 21.04000,  0.60667, 1.6340e-005
 21.03900,  0.62833, 1.6388e-005
 21.04100,  0.65000, 1.6430e-005
 21.04000,  0.67167, 1.6413e-005
 21.03700,  0.69333, 1.6567e-005
 21.03900,  0.71500, 1.6572e-005
 21.03700,  0.73667, 1.6696e-005
 21.03900,  0.75833, 1.6876e-005
 21.04000,  0.78000, 1.6938e-005
 21.03800,  0.80167, 1.6961e-005
 21.03800,  0.82333, 1.7007e-005
 21.03500,  0.84500, 1.7087e-005
 21.04100,  0.86667, 1.7379e-005
 21.03600,  0.88833, 1.7057e-005
 21.03800,  0.91000, 1.7283e-005
 21.03100,  0.93167, 1.7215e-005
 21.03400,  0.95333, 1.7439e-005
 21.03600,  0.97500, 1.7242e-005
 21.03300,  0.99667, 1.7616e-005
 21.03600,  1.01833, 1.7546e-005
 21.03000,  1.04000, 1.7678e-005
 21.03800,  1.06167, 1.7634e-005
 21.03600,  1.08333, 1.7711e-005
 21.03500,  1.10500, 1.7713e-005
 21.03200,  1.12667, 1.7766e-005
 21.03500,  1.14833, 1.7842e-005
 21.03800,  1.17000, 1.8067e-005
 21.03700,  1.19167, 1.7958e-005
 21.03700,  1.21333, 1.7967e-005
 21.04000,  1.23500, 1.8053e-005
 21.04000,  1.25667, 1.7979e-005
 21.04200,  1.27833, 1.8224e-005
 21.04200,  1.30000, 1.8436e-005
 21.04200,  1.32167, 1.7920e-005
 21.04000,  1.34333, 1.8099e-005
 21.04200,  1.36500, 1.7938e-005
 21.04000,  1.38667, 1.7989e-005
 21.04100,  1.40833, 1.8171e-005
 21.03700,  1.43000, 1.8253e-005
 21.04200,  1.45167, 1.8150e-005
 21.03800,  1.47333, 1.8334e-005
 21.04000,  1.49500, 1.8118e-005
 21.04200,  1.51667, 1.8243e-005
 21.04200,  1.53833, 1.8307e-005
 21.04300,  1.56000, 1.8360e-005
 21.04400,  1.58167, 1.8155e-005
 21.04300,  1.60333, 1.8222e-005
 21.04400,  1.62500, 1.8294e-005
 21.03800,  1.64667, 1.8260e-005
 21.04600,  1.66833, 1.8188e-005
 21.04200,  1.69000, 1.8381e-005
 21.04300,  1.71167, 1.8415e-005
