,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.779,0.0,1.6966e-05,7.46915163433266e-05,-0.00020873054226564804,0.0003003880586089746,0.0,inf,0.0002726141310187925,-1.1873981354675097e-05
0,21.781,0.02167,1.7358e-05,7.470276079886082e-05,-0.00020870330688156462,0.0003007640676804254,0.0019999999999988916,0.15038203384029605,0.0002725903833864068,-1.1873651032041522e-05
0,21.777,0.04333,1.7753e-05,7.468027193950535e-05,-0.00020875777762690596,0.00030119104956641133,-0.0019999999999988916,-0.15059552478328914,0.00027263787931182924,-1.1874311682597766e-05
0,21.778,0.065,1.87e-05,7.468589413495152e-05,-0.00020874415994913062,0.0003021300540840821,-0.0010000000000012221,-0.30213005408371285,0.0002726260050827288,-1.1874146517975294e-05
0,21.774,0.08667,1.9123e-05,7.466340543073498e-05,-0.00020879863062599202,0.000302585036056727,-0.004999999999999005,-0.06051700721135744,0.00027267350299012673,-1.1874807184398901e-05
0,21.77,0.10833,1.95e-05,7.464091693337033e-05,-0.00020885310121154972,0.00030299401814492003,-0.009000000000000341,-0.03366600201610095,0.0002727210035402323,-1.1875467871979274e-05
0,21.757,0.13,2.0088e-05,7.45678307455264e-05,-0.0002090301299840329,0.0003036859607295593,-0.021999999999998465,-0.013803907305890022,0.0002728753985803008,-1.1877615252733278e-05
0,21.756,0.15167,2.0671e-05,7.456220882157659e-05,-0.00020904374754197007,0.00030427695636354665,-0.022999999999999687,-0.013229432885371773,0.00027288727627814975,-1.1877780445124744e-05
0,21.756,0.17333,2.1095e-05,7.456220882157659e-05,-0.00020904374754197007,0.00030470095636354666,-0.022999999999999687,-0.01324786766798047,0.00027288727627814975,-1.1877780445124744e-05
0,21.748,0.195,2.1388e-05,7.451723389541916e-05,-0.00020915268780002765,0.0003050579216954468,-0.030999999999998806,-0.00984057811920834,0.0002729823038080013,-1.1879102031862874e-05
0,21.74,0.21667,2.1791e-05,7.447225979671356e-05,-0.00020926162769285654,0.0003055248874895701,-0.03900000000000148,-0.007833971474091244,0.0002730773419108853,-1.1880423703236423e-05
0,21.733,0.23833,2.2432e-05,7.443290813912481e-05,-0.00020935694979947947,0.0003062218579386043,-0.045999999999999375,-0.0066569969117088795,0.00027316050892463165,-1.18815802351178e-05
0,21.732,0.26,2.283e-05,7.442728652547279e-05,-0.00020937056722045676,0.00030662785374592955,-0.0470000000000006,-0.006523996888211184,0.00027317239058747894,-1.1881745459247972e-05
0,21.729,0.28167,2.3269e-05,7.441042176209011e-05,-0.00020941141944914518,0.0003070908412112353,-0.05000000000000071,-0.006141816824224619,0.00027320803656737385,-1.1882241139573557e-05
0,21.724,0.30333,2.3611e-05,7.4382314081709e-05,-0.0002094795063828231,0.0003074728204645321,-0.054999999999999716,-0.005590414917536975,0.0002732674498384588,-1.1883067299900083e-05
0,21.718,0.325,2.4048e-05,7.434858529192876e-05,-0.00020956121051491326,0.000307957795806842,-0.06099999999999994,-0.005048488455849874,0.00027333875121654256,-1.1884058735936094e-05
0,21.711,0.34667,2.4431e-05,7.430923562548597e-05,-0.00020965653174269058,0.00030839676736817655,-0.06800000000000139,-0.00453524657894368,0.0002734219436762306,-1.188521547148887e-05
0,21.705,0.36833,2.4719e-05,7.427550784423059e-05,-0.00020973823542964724,0.0003087327432738778,-0.07400000000000162,-0.0041720640982955545,0.0002734932579436534,-1.1886207010687429e-05
0,21.701,0.39,2.5023e-05,7.425302291532744e-05,-0.00020979270444014715,0.0003090687273554746,-0.0779999999999994,-0.003962419581480474,0.00027354080409379433,-1.1886868063272625e-05
0,21.695,0.41167,2.5486e-05,7.421929590987857e-05,-0.00020987440778469021,0.0003095797036945688,-0.08399999999999963,-0.003685472663030597,0.0002736121282770058,-1.1887859681830467e-05
0,21.695,0.43333,2.5975e-05,7.421929590987857e-05,-0.00020987440778469021,0.0003100687036945688,-0.08399999999999963,-0.003691294091602026,0.0002736121282770058,-1.1887859681830467e-05
0,21.689,0.455,2.6402e-05,7.418556936992018e-05,-0.00020995611092378477,0.000310543680293705,-0.08999999999999986,-0.0034504853365967276,0.00027368345841007155,-1.188885134800532e-05
0,21.685,0.47667,2.676e-05,7.416308526855733e-05,-0.0002100105795690404,0.00031093366483759773,-0.0940000000000012,-0.003307804945080785,0.00027373101513773095,-1.1889512485242985e-05
0,21.679,0.49833,2.7003e-05,7.412935950443147e-05,-0.00021009228236571788,0.00031122464187014934,-0.10000000000000142,-0.0031122464187014493,0.00027380235518785533,-1.1890504230781941e-05
0,21.672,0.52,2.7211e-05,7.40900133679662e-05,-0.00021018760203550535,0.0003114886154034715,-0.10699999999999932,-0.0029111085551726495,0.0002738855927672712,-1.1891661327430401e-05
0,21.671,0.54167,2.7848e-05,7.408439254305132e-05,-0.0002102012191083618,0.00031213361165141314,-0.10800000000000054,-0.0028901260338093666,0.00027389748451125083,-1.1891826632242813e-05
0,21.666,0.56333,2.7933e-05,7.405628861244413e-05,-0.00021026930438703545,0.0003122585929994796,-0.11299999999999955,-0.002763350380526379,0.0002739569457107581,-1.1892653176147198e-05
0,21.665,0.585,2.8349e-05,7.405066786511563e-05,-0.00021028292142564846,0.0003126825892907641,-0.11400000000000077,-0.002742829730620719,0.00027396883844659056,-1.1892818488896578e-05
0,21.654,0.60667,2.8704e-05,7.398884049795995e-05,-0.00021043270847372758,0.00031312554897168753,-0.125,-0.0025050043917735003,0.0002740996694517233,-1.189463701644865e-05
0,21.654,0.62833,2.8952e-05,7.398884049795995e-05,-0.00021043270847372758,0.00031337354897168754,-0.125,-0.0025069883917735003,0.0002740996694517233,-1.189463701644865e-05
0,21.646,0.65,2.9199e-05,7.394387612281311e-05,-0.00021054164407495295,0.00031368452019776605,-0.13299999999999912,-0.0023585302270508882,0.0002741948318384623,-1.1895959682481148e-05
0,21.641,0.67167,2.9375e-05,7.391577380862213e-05,-0.00021060972864023718,0.0003139005024488593,-0.13800000000000168,-0.0022746413220931555,0.0002742543137036344,-1.1896786391746884e-05
0,21.634,0.69333,2.9648e-05,7.387643111188714e-05,-0.0002107050467919317,0.00031422947790381886,-0.14499999999999957,-0.00216709984761255,0.00027433759525940854,-1.1897943840283629e-05
0,21.627,0.715,2.9911e-05,7.383708904881714e-05,-0.00021080036466397493,0.00031454845371279205,-0.15200000000000102,-0.0020693977217946706,0.00027442088491754955,-1.1899101353647443e-05
0,21.625,0.73667,3.0109e-05,7.382584857575612e-05,-0.0002108275982903359,0.00031476244686609204,-0.15399999999999991,-0.0020439119926369625,0.0002744446834509858,-1.1899432083658643e-05
0,21.616,0.75833,3.021e-05,7.377526708712747e-05,-0.00021095014932645192,0.0003149354164135794,-0.16300000000000026,-0.0019321191191017113,0.000274551785037236,-1.1900920434200428e-05
0,21.614,0.78,3.0445e-05,7.376402689857758e-05,-0.00021097738282725362,0.0003151864097258312,-0.16499999999999915,-0.0019102206650050474,0.0002745755872088626,-1.1901251193319153e-05
0,21.611,0.80167,3.0958e-05,7.374716671274331e-05,-0.0002110182330356484,0.0003157233997483917,-0.16799999999999926,-0.0018793059508832922,0.0002746112917066624,-1.1901747341920513e-05
0,21.608,0.82333,3.101e-05,7.373030664330378e-05,-0.00021105908319267973,0.0003157993898359835,-0.17099999999999937,-0.0018467800575203781,0.000274646997692926,-1.1902243502429926e-05
0,21.6,0.845,3.1109e-05,7.368534702716523e-05,-0.00021116801669364242,0.00031596236372080763,-0.1789999999999985,-0.001765152869948661,0.0002747422209335007,-1.1903566655339867e-05
