,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.064,0.0,1.9002e-05,7.629437251548913e-05,-0.00020484926992165794,0.0003001456424371471,0.0,inf,2.9644081444800966e-05,-2.55353083552399e-05
0,22.065,0.02167,1.9426e-05,7.629999842024508e-05,-0.00020483565060630017,0.00030056164902654526,0.0010000000000012221,0.30056164902617793,2.9618546272831684e-05,-2.553503558372127e-05
0,22.069,0.04333,1.948e-05,7.632250216848407e-05,-0.00020478117328781228,0.00030058367545629636,0.004999999999999005,0.06011673509127123,2.9516408312650123e-05,-2.553394451128404e-05
0,22.069,0.065,1.9697e-05,7.632250216848407e-05,-0.00020478117328781228,0.00030080067545629636,0.004999999999999005,0.06016013509127124,2.9516408312650123e-05,-2.553394451128404e-05
0,22.069,0.08667,1.983e-05,7.632250216848407e-05,-0.00020478117328781228,0.00030093367545629634,0.004999999999999005,0.06018673509127124,2.9516408312650123e-05,-2.553394451128404e-05
0,22.066,0.10833,2.0276e-05,7.630562433792471e-05,-0.00020482203128523516,0.0003014036556231599,0.0019999999999988916,0.15070182781166347,2.9593011373633873e-05,-2.5534762813566378e-05
0,22.075,0.13,2.0382e-05,7.635625817845743e-05,-0.00020469945713892483,0.00030143771531738225,0.010999999999999233,0.02740342866521848,2.9363209555309435e-05,-2.553230794353963e-05
0,22.072,0.15167,2.0577e-05,7.633938011532802e-05,-0.00020474031523903986,0.0003016566953543679,0.007999999999999119,0.037707086919300144,2.943980770655309e-05,-2.553312622127514e-05
0,22.075,0.17333,2.0899e-05,7.635625817845743e-05,-0.00020469945713892483,0.00030195471531738226,0.010999999999999233,0.027450428665218483,2.9363209555309435e-05,-2.553230794353963e-05
0,22.071,0.195,2.1154e-05,7.63337541201262e-05,-0.00020475393459433618,0.0003022416887144624,0.0070000000000014495,0.04317738410205711,2.946534096915523e-05,-2.5533398983247727e-05
0,22.078,0.21667,2.1204e-05,7.637313635787055e-05,-0.00020465859898746198,0.0003022357353453325,0.013999999999999346,0.021588266810381902,2.9286613858879747e-05,-2.5531489678077394e-05
0,22.077,0.23833,2.1472e-05,7.63675102851448e-05,-0.00020467221837698613,0.00030251172866213095,0.013000000000001677,0.023270132974007072,2.9312145484934843e-05,-2.5531762431867786e-05
0,22.086,0.26,2.1744e-05,7.641814540479581e-05,-0.00020454964366586718,0.00030271178907066297,0.021999999999998465,0.013759626775940186,2.9082370669437842e-05,-2.552930769684689e-05
0,22.085,0.28167,2.1946e-05,7.641251922871004e-05,-0.00020456326310103537,0.0003029217823297454,0.021000000000000796,0.014424846777606378,2.9107900113506006e-05,-2.552958043972785e-05
0,22.085,0.30333,2.2263e-05,7.641251922871004e-05,-0.00020456326310103537,0.0003032387823297454,0.021000000000000796,0.014439942015701616,2.9107900113506006e-05,-2.552958043972785e-05
0,22.087,0.325,2.2252e-05,7.642377159380268e-05,-0.00020453602422499696,0.00030321179581879965,0.022999999999999687,0.013183121557339294,2.9056841498111712e-05,-2.5529034955329605e-05
0,22.086,0.34667,2.2345e-05,7.641814540479581e-05,-0.00020454964366586718,0.000303312789070663,0.021999999999998465,0.013786944957758372,2.9082370669437842e-05,-2.552930769684689e-05
0,22.078,0.36833,2.2388e-05,7.637313635787055e-05,-0.00020465859898746198,0.00030341973534533256,0.013999999999999346,0.021672838238953336,2.9286613858879747e-05,-2.5531489678077394e-05
0,22.084,0.39,2.2531e-05,7.640689306554361e-05,-0.00020457688253049805,0.00030351477559604166,0.019999999999999574,0.015175738779802406,2.9133429830317695e-05,-2.5529853183972465e-05
0,22.081,0.41167,2.2693e-05,7.639001465356478e-05,-0.00020461774078465132,0.0003037007554382161,0.01699999999999946,0.017864750319895633,2.9210020617228953e-05,-2.5530671424888372e-05
0,22.08,0.43333,2.2719e-05,7.638438854207924e-05,-0.00020463136019129372,0.00030373474873337294,0.015999999999998238,0.0189834217958379,2.9235551425028943e-05,-2.5530944174587697e-05
0,22.079,0.455,2.2912e-05,7.637876244351478e-05,-0.0002046449795922306,0.00030393574203574537,0.015000000000000568,0.020262382802382257,2.9261082505577853e-05,-2.5531216925650697e-05
0,22.079,0.47667,2.2962e-05,7.637876244351478e-05,-0.0002046449795922306,0.0003039857420357454,0.015000000000000568,0.02026571613571559,2.9261082505577853e-05,-2.5531216925650697e-05
0,22.08,0.49833,2.3261e-05,7.638438854207924e-05,-0.00020463136019129372,0.00030427674873337296,0.015999999999998238,0.019017296795837905,2.9235551425028943e-05,-2.5530944174587697e-05
0,22.08,0.52,2.3228e-05,7.638438854207924e-05,-0.00020463136019129372,0.000304243748733373,0.015999999999998238,0.019015234295837905,2.9235551425028943e-05,-2.5530944174587697e-05
0,22.082,0.54167,2.3325e-05,7.639564077797142e-05,-0.00020460412137230516,0.00030432476215027656,0.018000000000000682,0.016906931230570278,2.918449008217853e-05,-2.5530398676552723e-05
