#EXPORTTYPE:           ,DATA ALL                     
#FILE:                 ,sapph14mm1022218.ngb-cle     
#FORMAT:               ,NETZSCH5                     
#FTYPE:                ,ANSI                         
#IDENTITY:             ,saph 14                      
#DECIMAL:              ,POINT                        
#SEPARATOR:            ,COMMA                        
#MTYPE:                ,DIL                          
#INSTRUMENT:           ,NETZSCH DIL 402C             
#PROJECT:              ,morb                         
#DATE/TIME:            ,10/22/2018 9:54:27 AM (UTC-5)
#CORR. FILE:           ,                             
#TEMPCAL:              ,TCALZERO.TMX                 
#LABORATORY:           ,min phys                     
#OPERATOR:             ,amh                          
#REMARK:               ,bare, norm start, try again  
#SAMPLE:               ,sapphire stnd                
#SAMPLE LENGTH /mm:    ,14.059                       
#MATERIAL:             ,sapphire stnd                
#MEASMODE:             ,Standard Expansion           
#PURGE GAS 1:          ,ARGON                        
#FLOW RATE 1 /(ml/min):,75                           
#M.RANGE /µm:          ,500                          
#CORR. CODE:           ,010                          
#RANGE:                ,20.0°C/3.0(K/min)/1100.0°C   
#SEGMENT:              ,S1/1                         
#SEG. 1:               ,20.0°C/3.0(K/min)/1100.0°C   

##Temp./°C,Time/min,dL/Lo
 21.79600,  0.00000, 1.7087e-005
 21.79300,  0.02167, 1.7092e-005
 21.79700,  0.04333, 1.7459e-005
 21.79400,  0.06500, 1.7384e-005
 21.79300,  0.08667, 1.7635e-005
 21.80000,  0.10833, 1.7898e-005
 21.80900,  0.13000, 1.8123e-005
 21.80400,  0.15167, 1.8327e-005
 21.80900,  0.17333, 1.8407e-005
 21.82100,  0.19500, 1.8653e-005
 21.82100,  0.21667, 1.8635e-005
 21.82100,  0.23833, 1.8937e-005
 21.82300,  0.26000, 1.8889e-005
 21.82600,  0.28167, 1.9115e-005
 21.83000,  0.30333, 1.9260e-005
 21.82400,  0.32500, 1.9243e-005
 21.82900,  0.34667, 1.9519e-005
 21.82400,  0.36833, 1.9537e-005
 21.82400,  0.39000, 1.9635e-005
 21.82500,  0.41167, 1.9695e-005
 21.83200,  0.43333, 1.9772e-005
 21.83300,  0.45500, 1.9966e-005
 21.83000,  0.47667, 2.0024e-005
 21.82800,  0.49833, 1.9939e-005
 21.83200,  0.52000, 1.9914e-005
 21.83700,  0.54167, 2.0208e-005
 21.83600,  0.56333, 2.0272e-005
 21.84100,  0.58500, 2.0183e-005
 21.84300,  0.60667, 2.0597e-005
 21.84300,  0.62833, 2.0544e-005
 21.83900,  0.65000, 2.0542e-005
 21.83800,  0.67167, 2.0508e-005
 21.84100,  0.69333, 2.0707e-005
 21.83900,  0.71500, 2.0640e-005
 21.84200,  0.73667, 2.0768e-005
 21.84200,  0.75833, 2.0697e-005
 21.84100,  0.78000, 2.0894e-005
 21.83800,  0.80167, 2.0686e-005
 21.84200,  0.82333, 2.0999e-005
 21.84400,  0.84500, 2.0809e-005
 21.84400,  0.86667, 2.1040e-005
 21.84000,  0.88833, 2.1065e-005
 21.83600,  0.91000, 2.1027e-005
 21.84100,  0.93167, 2.1036e-005
 21.84200,  0.95333, 2.1026e-005
 21.85000,  0.97500, 2.1110e-005
 21.85000,  0.99667, 2.1376e-005
 21.84700,  1.01833, 2.1364e-005
 21.84400,  1.04000, 2.1405e-005
 21.85100,  1.06167, 2.1490e-005
 21.84900,  1.08333, 2.1583e-005
 21.84600,  1.10500, 2.1517e-005
 21.85000,  1.12667, 2.1634e-005
 21.85800,  1.14833, 2.1762e-005
 21.85700,  1.17000, 2.1809e-005
 21.86000,  1.19167, 2.1794e-005
 21.86000,  1.21333, 2.1946e-005
 21.86600,  1.23500, 2.1811e-005
 21.85700,  1.25667, 2.1800e-005
 21.86100,  1.27833, 2.2033e-005
 21.86300,  1.30000, 2.1869e-005
 21.86400,  1.32167, 2.1770e-005
 21.85900,  1.34333, 2.1778e-005
 21.86300,  1.36500, 2.1976e-005
 21.86300,  1.38667, 2.1834e-005
 21.86200,  1.40833, 2.1809e-005
 21.86300,  1.43000, 2.2056e-005
 21.86500,  1.45167, 2.1777e-005
 21.86400,  1.47333, 2.2045e-005
 21.86300,  1.49500, 2.1967e-005
 21.87000,  1.51667, 2.2186e-005
 21.87100,  1.53833, 2.1829e-005
 21.86900,  1.56000, 2.1725e-005
 21.86400,  1.58167, 2.1912e-005
 21.86700,  1.60333, 2.1978e-005
 21.86900,  1.62500, 2.1877e-005
 21.86900,  1.64667, 2.1877e-005
 21.87000,  1.66833, 2.1990e-005
 21.87000,  1.69000, 2.1964e-005
 21.86700,  1.71167, 2.1871e-005
 21.87000,  1.73333, 2.1706e-005
 21.86500,  1.75500, 2.1741e-005
 21.86700,  1.77667, 2.1702e-005
 21.86900,  1.79833, 2.1814e-005
 21.86900,  1.82000, 2.1734e-005
 21.87400,  1.84167, 2.1806e-005
 21.87500,  1.86333, 2.1831e-005
 21.87500,  1.88500, 2.1644e-005
 21.87300,  1.90667, 2.1852e-005
 21.87300,  1.92833, 2.1701e-005
 21.87100,  1.95000, 2.1900e-005
 21.87400,  1.97167, 2.1903e-005
 21.87500,  1.99333, 2.1697e-005
 21.87300,  2.01500, 2.1985e-005
 21.87500,  2.03667, 2.1777e-005
 21.88000,  2.05833, 2.1760e-005
 21.88200,  2.08000, 2.2049e-005
 21.87400,  2.10167, 2.1708e-005
 21.87400,  2.12333, 2.1992e-005
 21.88000,  2.14500, 2.1760e-005
 21.88200,  2.16667, 2.1747e-005
 21.87600,  2.18833, 2.1740e-005
 21.88100,  2.21000, 2.1856e-005
 21.88200,  2.23167, 2.1658e-005
 21.86800,  2.25333, 2.1727e-005
 21.87400,  2.27500, 2.1379e-005
 21.87400,  2.29667, 2.1770e-005
 21.87500,  2.31833, 2.1430e-005
 21.86900,  2.34000, 2.1681e-005
 21.87700,  2.36167, 2.1525e-005
 21.87900,  2.38333, 2.1610e-005
 21.88800,  2.40500, 2.1763e-005
 21.88400,  2.42667, 2.1735e-005
 21.88700,  2.44833, 2.1658e-005
 21.88800,  2.47000, 2.1648e-005
 21.89400,  2.49167, 2.1637e-005
 21.88900,  2.51333, 2.1495e-005
 21.89300,  2.53500, 2.1612e-005
 21.89200,  2.55667, 2.1481e-005
 21.89100,  2.57833, 2.1269e-005
 21.89000,  2.60000, 2.1475e-005
 21.89500,  2.62167, 2.1422e-005
 21.88900,  2.64333, 2.1557e-005
 21.90200,  2.66500, 2.1703e-005
 21.90100,  2.68667, 2.1678e-005
 21.90100,  2.70833, 2.1598e-005
 21.90600,  2.73000, 2.1536e-005
 21.91200,  2.75167, 2.1544e-005
 21.91000,  2.77333, 2.1556e-005
 21.90900,  2.79500, 2.1593e-005
 21.91200,  2.81667, 2.1437e-005
 21.90800,  2.83833, 2.1551e-005
 21.90500,  2.86000, 2.1449e-005
 21.91500,  2.88167, 2.1503e-005
 21.92000,  2.90333, 2.0703e-005
