#EXPORTTYPE:           ,DATA ALL                                                                                 
#FILE:                 ,bytownA1r1.ngb-sle                                                                       
#FORMAT:               ,NETZSCH5                                                                                 
#FTYPE:                ,ANSI                                                                                     
#IDENTITY:             ,bytownite#3                                                                              
#DECIMAL:              ,POINT                                                                                    
#SEPARATOR:            ,COMMA                                                                                    
#MTYPE:                ,DIL                                                                                      
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                         
#PROJECT:              ,feldspar                                                                                 
#DATE/TIME:            ,9/15/2019 9:30:55 AM (UTC-5)                                                             
#CORR. FILE:           ,                                                                                         
#TEMPCAL:              ,TCALZERO.TMX                                                                             
#LABORATORY:           ,Mineral Physics                                                                          
#OPERATOR:             ,PAG                                                                                      
#REMARK:               ,bare, norm start, for bytown and rocks , long stnd, thin, should be 100* hope tc holds up
#SAMPLE:               ,bytownite-A                                                                              
#SAMPLE LENGTH /mm:    ,16.048                                                                                   
#MATERIAL:             ,sapphire stnd                                                                            
#MEASMODE:             ,Standard Expansion                                                                       
#PURGE GAS 1:          ,ARGON                                                                                    
#FLOW RATE 1 /(ml/min):,75                                                                                       
#M.RANGE /µm:          ,500                                                                                      
#CORR. CODE:           ,010                                                                                      
#RANGE:                ,20.0°C/3.0(K/min)/1200.0°C                                                               
#SEGMENT:              ,S1/1                                                                                     
#SEG. 1:               ,20.0°C/3.0(K/min)/1200.0°C                                                               

##Temp./°C,Time/min,dL/Lo
 20.09500,  0.00000, 4.9400e-006
 20.09900,  0.02167, 5.1010e-006
 20.10200,  0.04333, 5.4106e-006
 20.09900,  0.06500, 5.4359e-006
 20.10100,  0.08667, 5.5125e-006
 20.10600,  0.10833, 5.6962e-006
 20.10700,  0.13000, 5.8358e-006
 20.11400,  0.15167, 5.7299e-006
 20.11600,  0.17333, 5.9156e-006
 20.11200,  0.19500, 5.9727e-006
 20.11300,  0.21667, 6.0422e-006
 20.11600,  0.23833, 6.4219e-006
 20.11800,  0.26000, 6.2959e-006
 20.12300,  0.28167, 6.4095e-006
 20.11500,  0.30333, 6.4537e-006
 20.11600,  0.32500, 6.6166e-006
 20.11900,  0.34667, 6.6692e-006
 20.11300,  0.36833, 6.5407e-006
 20.11900,  0.39000, 6.9028e-006
 20.11500,  0.41167, 6.9210e-006
 20.12200,  0.43333, 6.9242e-006
 20.12700,  0.45500, 7.0067e-006
 20.13000,  0.47667, 7.0904e-006
 20.12200,  0.49833, 7.1112e-006
 20.11600,  0.52000, 7.1073e-006
 20.12500,  0.54167, 7.1248e-006
 20.12200,  0.56333, 7.2047e-006
 20.12400,  0.58500, 7.2735e-006
 20.11600,  0.60667, 7.2942e-006
 20.11500,  0.62833, 7.3416e-006
 20.11600,  0.65000, 7.2397e-006
 20.11100,  0.67167, 7.2741e-006
 20.11400,  0.69333, 7.4280e-006
 20.11700,  0.71500, 7.4727e-006
 20.11900,  0.73667, 7.5104e-006
 20.12000,  0.75833, 7.6577e-006
 20.11800,  0.78000, 7.4487e-006
 20.12000,  0.80167, 7.4163e-006
 20.12500,  0.82333, 7.5221e-006
 20.12500,  0.84500, 7.4130e-006
 20.12400,  0.86667, 7.4682e-006
 20.12200,  0.88833, 7.5318e-006
 20.12200,  0.91000, 7.4461e-006
 20.12200,  0.93167, 7.3137e-006
 20.12300,  0.95333, 7.4688e-006
