#EXPORTTYPE:           ,DATA ALL                                                                                                 
#FILE:                 ,sapph17mm10282019s.ngb-cle                                                                               
#FORMAT:               ,NETZSCH5                                                                                                 
#FTYPE:                ,ANSI                                                                                                     
#IDENTITY:             ,sapphire 17                                                                                              
#DECIMAL:              ,POINT                                                                                                    
#SEPARATOR:            ,COMMA                                                                                                    
#MTYPE:                ,DIL                                                                                                      
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                                         
#PROJECT:              ,feldspar                                                                                                 
#DATE/TIME:            ,10/28/2019 9:58:07 AM (UTC-5)                                                                            
#CORR. FILE:           ,                                                                                                         
#TEMPCAL:              ,TCALZERO.TMX                                                                                             
#LABORATORY:           ,Mineral Physics                                                                                          
#OPERATOR:             ,PAG                                                                                                      
#REMARK:               ,bare, norm start, for bytown and rocks , long stnd, new thermocouple, new pushrod, redo again for check  
#SAMPLE:               ,sapph standar                                                                                            
#SAMPLE LENGTH /mm:    ,16.592                                                                                                   
#MATERIAL:             ,sapphire stnd                                                                                            
#MEASMODE:             ,Standard Expansion                                                                                       
#PURGE GAS 1:          ,ARGON                                                                                                    
#FLOW RATE 1 /(ml/min):,75                                                                                                       
#M.RANGE /µm:          ,500                                                                                                      
#CORR. CODE:           ,010                                                                                                      
#RANGE:                ,20.0°C/3.0(K/min)/1170.0°C                                                                               
#SEGMENT:              ,S1/1                                                                                                     
#SEG. 1:               ,20.0°C/3.0(K/min)/1170.0°C                                                                               

##Temp./°C,Time/min,dL/Lo
  22.28200,  0.00000,2.0560e-005
  22.28900,  0.02167,2.1409e-005
  22.29000,  0.04333,2.1710e-005
  22.29300,  0.06500,2.1995e-005
  22.29900,  0.08667,2.2098e-005
  22.30100,  0.10833,2.2444e-005
  22.29800,  0.13000,2.2912e-005
  22.30300,  0.15167,2.3030e-005
  22.31100,  0.17333,2.3464e-005
  22.31300,  0.19500,2.3697e-005
  22.31500,  0.21667,2.3922e-005
  22.31900,  0.23833,2.4358e-005
  22.32600,  0.26000,2.4596e-005
  22.32100,  0.28167,2.4741e-005
  22.33300,  0.30333,2.5023e-005
  22.34000,  0.32500,2.5367e-005
  22.33900,  0.34667,2.5480e-005
  22.34000,  0.36833,2.5962e-005
  22.33700,  0.39000,2.5925e-005
  22.34200,  0.41167,2.6225e-005
  22.34600,  0.43333,2.6479e-005
  22.35200,  0.45500,2.6643e-005
  22.35400,  0.47667,2.7049e-005
  22.35700,  0.49833,2.7093e-005
  22.35900,  0.52000,2.7213e-005
  22.35700,  0.54167,2.7515e-005
  22.36200,  0.56333,2.7550e-005
  22.36300,  0.58500,2.7708e-005
  22.37700,  0.60667,2.7944e-005
  22.36700,  0.62833,2.8083e-005
  22.37100,  0.65000,2.8082e-005
  22.37000,  0.67167,2.8225e-005
  22.37700,  0.69333,2.8509e-005
  22.37700,  0.71500,2.8675e-005
  22.38400,  0.73667,2.8996e-005
  22.38800,  0.75833,2.9251e-005
  22.38400,  0.78000,2.9192e-005
  22.38900,  0.80167,2.9378e-005
  22.38500,  0.82333,2.9508e-005
  22.38600,  0.84500,2.9575e-005
  22.39000,  0.86667,2.9770e-005
  22.39300,  0.88833,2.9859e-005
  22.40000,  0.91000,3.0007e-005
  22.40000,  0.93167,3.0188e-005
  22.40400,  0.95333,3.0201e-005
  22.40300,  0.97500,3.0367e-005
  22.40900,  0.99667,3.0486e-005
  22.40800,  1.01833,3.0727e-005
  22.40900,  1.04000,3.0779e-005
  22.41100,  1.06167,3.0733e-005
  22.41300,  1.08333,3.1019e-005
  22.41700,  1.10500,3.0995e-005
  22.41900,  1.12667,3.1122e-005
  22.42200,  1.14833,3.1121e-005
  22.42900,  1.17000,3.1389e-005
  22.43100,  1.19167,3.1343e-005
  22.43300,  1.21333,3.1486e-005
  22.43600,  1.23500,3.1522e-005
  22.43100,  1.25667,3.1554e-005
  22.43500,  1.27833,3.1568e-005
  22.43400,  1.30000,3.1606e-005
  22.43400,  1.32167,3.1455e-005
  22.43500,  1.34333,3.1741e-005
  22.43600,  1.36500,3.1726e-005
  22.43900,  1.38667,3.1830e-005
  22.43900,  1.40833,3.1913e-005
  22.43900,  1.43000,3.1951e-005
  22.44200,  1.45167,3.1934e-005
  22.44000,  1.47333,3.2108e-005
  22.44400,  1.49500,3.2182e-005
  22.44600,  1.51667,3.2257e-005
  22.44600,  1.53833,3.2317e-005
  22.44300,  1.56000,3.2258e-005
  22.44400,  1.58167,3.2363e-005
  22.44600,  1.60333,3.2438e-005
  22.44600,  1.62500,3.2415e-005
  22.45100,  1.64667,3.2300e-005
  22.44100,  1.66833,3.2424e-005
  22.44200,  1.69000,3.2334e-005
  22.44800,  1.71167,3.2505e-005
  22.45200,  1.73333,3.2578e-005
  22.45200,  1.75500,3.2608e-005
  22.45100,  1.77667,3.2526e-005
  22.45000,  1.79833,3.2767e-005
  22.44600,  1.82000,3.2648e-005
  22.45000,  1.84167,3.2579e-005
  22.45000,  1.86333,3.2745e-005
  22.44800,  1.88500,3.2633e-005
  22.45100,  1.90667,3.2503e-005
  22.45100,  1.92833,3.2624e-005
  22.45700,  1.95000,3.2697e-005
  22.45400,  1.97167,3.2841e-005
  22.45400,  1.99333,3.2668e-005
  22.45300,  2.01500,3.2623e-005
  22.45600,  2.03667,3.2758e-005
  22.46000,  2.05833,3.2749e-005
  22.46500,  2.08000,3.2656e-005
  22.46600,  2.10167,3.2852e-005
  22.46600,  2.12333,3.2746e-005
  22.47100,  2.14500,3.2918e-005
  22.46600,  2.16667,3.2852e-005
  22.46800,  2.18833,3.2776e-005
  22.47300,  2.21000,3.2977e-005
  22.47600,  2.23167,3.3157e-005
  22.47700,  2.25333,3.2938e-005
  22.47400,  2.27500,3.3007e-005
  22.47300,  2.29667,3.2924e-005
  22.47300,  2.31833,3.2736e-005
  22.48000,  2.34000,3.3087e-005
  22.48200,  2.36167,3.2989e-005
  22.48500,  2.38333,3.2807e-005
  22.48500,  2.40500,3.2897e-005
  22.48400,  2.42667,3.3041e-005
  22.48300,  2.44833,3.2928e-005
  22.48200,  2.47000,3.2913e-005
  22.48600,  2.49167,3.2904e-005
  22.48800,  2.51333,3.2994e-005
  22.48500,  2.53500,3.2837e-005
  22.48200,  2.55667,3.2996e-005
  22.48600,  2.57833,3.2799e-005
  22.48800,  2.60000,3.2941e-005
  22.49100,  2.62167,3.2895e-005
  22.48600,  2.64333,3.2889e-005
  22.49200,  2.66500,3.2970e-005
  22.48800,  2.68667,3.2843e-005
  22.49400,  2.70833,3.2969e-005
  22.50100,  2.73000,3.2959e-005
  22.49400,  2.75167,3.2781e-005
  22.50000,  2.77333,3.2914e-005
  22.50100,  2.79500,3.2974e-005
  22.49800,  2.81667,3.2847e-005
  22.50200,  2.83833,3.2747e-005
  22.50100,  2.86000,3.2853e-005
  22.50400,  2.88167,3.3086e-005
  22.50500,  2.90333,3.2919e-005
  22.50900,  2.92500,3.2993e-005
  22.50600,  2.94667,3.3100e-005
  22.50000,  2.96833,3.3095e-005
  22.50800,  2.99000,3.2971e-005
  22.50800,  3.01167,3.3046e-005
  22.50100,  3.03333,3.2929e-005
  22.50600,  3.05500,3.2964e-005
  22.51100,  3.07667,3.3038e-005
  22.51400,  3.09833,3.2991e-005
  22.51300,  3.12000,3.3007e-005
  22.51300,  3.14167,3.2962e-005
  22.51100,  3.16333,3.2736e-005
  22.51400,  3.18500,3.2720e-005
  22.51100,  3.20667,3.2729e-005
  22.51700,  3.22833,3.2817e-005
  22.51600,  3.25000,3.2765e-005
  22.50800,  3.27167,3.2647e-005
  22.52200,  3.29333,3.2815e-005
  22.51500,  3.31500,3.2742e-005
  22.52200,  3.33667,3.2860e-005
  22.52300,  3.35833,3.2784e-005
  22.52200,  3.38000,3.2672e-005
  22.51600,  3.40167,3.2832e-005
  22.51800,  3.42333,3.2696e-005
  22.52800,  3.44500,3.2752e-005
  22.52300,  3.46667,3.2852e-005
  22.53000,  3.48833,3.2533e-005
  22.53100,  3.51000,3.2616e-005
  22.53400,  3.53167,3.2607e-005
  22.53100,  3.55333,3.2382e-005
  22.54000,  3.57500,3.2439e-005
  22.54600,  3.59667,3.2527e-005
  22.54500,  3.61833,3.2731e-005
  22.55000,  3.64000,3.2608e-005
  22.54300,  3.66167,3.2641e-005
  22.55100,  3.68333,3.2246e-005
  22.55000,  3.70500,3.2314e-005
  22.55600,  3.72667,3.2259e-005
  22.56400,  3.74833,3.2279e-005
  22.56800,  3.77000,3.2232e-005
  22.57100,  3.79167,3.2110e-005
  22.57900,  3.81333,3.2077e-005
  22.58200,  3.83500,3.2008e-005
  22.58500,  3.85667,3.1811e-005
  22.58700,  3.87833,3.1713e-005
  22.59100,  3.90000,3.1590e-005
  22.59300,  3.92167,3.1755e-005
  22.58900,  3.94333,3.1343e-005
  22.59600,  3.96500,3.1317e-005
  22.61000,  3.98667,3.1395e-005
  22.61200,  4.00833,3.0927e-005
  22.61800,  4.03000,3.0849e-005
  22.63000,  4.05167,3.0973e-005
  22.63800,  4.07333,3.0834e-005
  22.64700,  4.09500,3.0687e-005
  22.66700,  4.11667,3.0635e-005
  22.67500,  4.13833,3.0533e-005
  22.68200,  4.16000,3.0305e-005
  22.69400,  4.18167,3.0323e-005
  22.70700,  4.20333,3.0077e-005
  22.72500,  4.22500,3.0107e-005
  22.73900,  4.24667,3.0019e-005
  22.75200,  4.26833,2.9781e-005
  22.76100,  4.29000,2.9559e-005
  22.78600,  4.31167,2.9526e-005
  22.79500,  4.33333,2.9372e-005
  22.81900,  4.35500,2.9227e-005
  22.83400,  4.37667,2.9071e-005
  22.85500,  4.39833,2.8980e-005
  22.86800,  4.42000,2.8817e-005
  22.88500,  4.44167,2.8660e-005
  22.90200,  4.46333,2.8427e-005
  22.92700,  4.48500,2.8365e-005
  22.95000,  4.50667,2.8183e-005
  22.96800,  4.52833,2.8078e-005
  22.99000,  4.55000,2.7685e-005
  23.01700,  4.57167,2.7584e-005
  23.03500,  4.59333,2.7140e-005
  23.06300,  4.61500,2.6986e-005
  23.08500,  4.63667,2.6888e-005
  23.11400,  4.65833,2.6643e-005
  23.14300,  4.68000,2.6519e-005
  23.16800,  4.70167,2.6434e-005
  23.19700,  4.72333,2.6182e-005
  23.22800,  4.74500,2.5944e-005
  23.25900,  4.76667,2.5728e-005
  23.29300,  4.78833,2.5731e-005
  23.32100,  4.81000,2.5328e-005
  23.35100,  4.83167,2.5143e-005
  23.38900,  4.85333,2.4737e-005
  23.41800,  4.87500,2.4613e-005
  23.44900,  4.89667,2.4398e-005
  23.49300,  4.91833,2.4147e-005
  23.52300,  4.94000,2.3797e-005
  23.56100,  4.96167,2.3586e-005
  23.60100,  4.98333,2.3285e-005
  23.65100,  5.00500,2.3379e-005
  23.69400,  5.02667,2.2971e-005
  23.73500,  5.04833,2.2812e-005
  23.77800,  5.07000,2.2667e-005
  23.81300,  5.09167,2.2292e-005
  23.85900,  5.11333,2.2117e-005
  23.90700,  5.13500,2.2008e-005
  23.95300,  5.15667,2.1523e-005
  23.99400,  5.17833,2.1154e-005
  24.04600,  5.20000,2.1111e-005
  24.10000,  5.22167,2.1129e-005
  24.13900,  5.24333,2.0654e-005
  24.19000,  5.26500,2.0386e-005
  24.23700,  5.28667,2.0173e-005
  24.28700,  5.30833,2.0018e-005
  24.33800,  5.33000,1.9765e-005
  24.39300,  5.35167,1.9451e-005
  24.45000,  5.37333,1.9256e-005
  24.50600,  5.39500,1.9197e-005
  24.56000,  5.41667,1.8981e-005
  24.62200,  5.43833,1.8746e-005
  24.67100,  5.46000,1.8419e-005
  24.73900,  5.48167,1.8280e-005
  24.80100,  5.50333,1.8031e-005
  24.84900,  5.52500,1.7787e-005
  24.91400,  5.54667,1.7642e-005
  24.97600,  5.56833,1.7272e-005
  25.03400,  5.59000,1.6987e-005
  25.09200,  5.61167,1.6822e-005
  25.15500,  5.63333,1.6685e-005
  25.21400,  5.65500,1.6437e-005
  25.28200,  5.67667,1.6291e-005
  25.34800,  5.69833,1.6040e-005
  25.41100,  5.72000,1.5828e-005
  25.47200,  5.74167,1.5512e-005
  25.55200,  5.76333,1.5603e-005
  25.61800,  5.78500,1.5269e-005
  25.69000,  5.80667,1.5054e-005
  25.76300,  5.82833,1.4869e-005
  25.82500,  5.85000,1.4740e-005
  25.89800,  5.87167,1.4577e-005
  25.96800,  5.89333,1.4461e-005
  26.03800,  5.91500,1.4103e-005
  26.11800,  5.93667,1.4149e-005
  26.19000,  5.95833,1.4032e-005
  26.27300,  5.98000,1.4024e-005
  26.34000,  6.00167,1.3947e-005
  26.41100,  6.02333,1.3642e-005
  26.49400,  6.04500,1.3679e-005
  26.57600,  6.06667,1.3694e-005
  26.64400,  6.08833,1.3375e-005
  26.72600,  6.11000,1.3375e-005
  26.80700,  6.13167,1.3398e-005
  26.88700,  6.15333,1.3466e-005
  26.96800,  6.17500,1.3068e-005
  27.05300,  6.19667,1.2984e-005
  27.13000,  6.21833,1.3038e-005
  27.21200,  6.24000,1.2918e-005
  27.29200,  6.26167,1.2791e-005
  27.37600,  6.28333,1.2813e-005
  27.46500,  6.30500,1.2758e-005
  27.54900,  6.32667,1.2569e-005
  27.62800,  6.34833,1.2578e-005
  27.71000,  6.37000,1.2525e-005
  27.79800,  6.39167,1.2478e-005
  27.88700,  6.41333,1.2544e-005
  27.98100,  6.43500,1.2638e-005
  28.05800,  6.45667,1.2693e-005
  28.15700,  6.47833,1.2582e-005
  28.24400,  6.50000,1.2663e-005
  28.33200,  6.52167,1.2880e-005
  28.42000,  6.54333,1.2909e-005
  28.50400,  6.56500,1.2871e-005
  28.60300,  6.58667,1.2926e-005
  28.68800,  6.60833,1.3053e-005
  28.78000,  6.63000,1.3096e-005
  28.87500,  6.65167,1.3333e-005
  28.96500,  6.67333,1.3074e-005
  29.05900,  6.69500,1.3470e-005
  29.14600,  6.71667,1.3680e-005
  29.24400,  6.73833,1.3653e-005
  29.34200,  6.76000,1.3806e-005
  29.42900,  6.78167,1.3858e-005
  29.52600,  6.80333,1.4177e-005
  29.63600,  6.82500,1.4485e-005
  29.72100,  6.84667,1.4590e-005
  29.82200,  6.86833,1.4826e-005
  29.91300,  6.89000,1.4876e-005
  30.01300,  6.91167,1.5180e-005
  30.10500,  6.93333,1.5358e-005
  30.19500,  6.95500,1.5507e-005
  30.29200,  6.97667,1.5623e-005
  30.39100,  6.99833,1.5807e-005
  30.48500,  7.02000,1.6218e-005
  30.59400,  7.04167,1.6376e-005
  30.68300,  7.06333,1.6555e-005
  30.78500,  7.08500,1.6881e-005
  30.88200,  7.10667,1.7133e-005
  30.98100,  7.12833,1.7212e-005
  31.07600,  7.15000,1.7691e-005
  31.18000,  7.17167,1.8084e-005
  31.27800,  7.19333,1.8388e-005
  31.37300,  7.21500,1.8566e-005
