#EXPORTTYPE:           ,DATA ALL                                
#FILE:                 ,sapph8mm08192019.ngb-cle                
#FORMAT:               ,NETZSCH5                                
#FTYPE:                ,ANSI                                    
#IDENTITY:             ,sapphire 8 mm                           
#DECIMAL:              ,POINT                                   
#SEPARATOR:            ,COMMA                                   
#MTYPE:                ,DIL                                     
#INSTRUMENT:           ,NETZSCH DIL 402C                        
#PROJECT:              ,feldspar                                
#DATE/TIME:            ,8/19/2019 9:42:37 AM (UTC-5)            
#CORR. FILE:           ,                                        
#TEMPCAL:              ,TCALZERO.TMX                            
#LABORATORY:           ,Mineral Physics                         
#OPERATOR:             ,PAG                                     
#REMARK:               ,bare, norm start, for short plageioclase
#SAMPLE:               ,stnd saph 8                             
#SAMPLE LENGTH /mm:    ,8.092                                   
#MATERIAL:             ,sapphire stnd                           
#MEASMODE:             ,Standard Expansion                      
#PURGE GAS 1:          ,ARGON                                   
#FLOW RATE 1 /(ml/min):,75                                      
#M.RANGE /µm:          ,500                                     
#CORR. CODE:           ,010                                     
#RANGE:                ,20.0°C/3.0(K/min)/1100.0°C              
#SEGMENT:              ,S1/1                                    
#SEG. 1:               ,20.0°C/3.0(K/min)/1100.0°C              

##Temp./°C,Time/min,dL/Lo
  22.72300,  0.00000, 2.3712e-005
  23.22300,  4.55022, 4.8934e-006
  23.72300,  4.94387,-5.2525e-006
  24.22300,  5.21500,-1.3680e-005
  24.72300,  5.43176,-2.1070e-005
  25.22300,  5.61926,-2.7381e-005
  25.72300,  5.78680,-3.3490e-005
  26.22300,  5.94050,-3.8866e-005
  26.72300,  6.08430,-4.2922e-005
  27.22300,  6.22039,-4.7312e-005
  27.72300,  6.34995,-5.1259e-005
  28.22300,  6.47447,-5.4775e-005
  28.72300,  6.59507,-5.7284e-005
  29.22300,  6.71223,-5.9935e-005
  29.72300,  6.82665,-6.2106e-005
  30.22300,  6.93874,-6.3464e-005
  30.72300,  7.04938,-6.4779e-005
  31.22300,  7.15879,-6.5739e-005
  31.72300,  7.26669,-6.6601e-005
  32.22300,  7.37352,-6.7108e-005
  32.72300,  7.47973,-6.7204e-005
  33.22300,  7.58521,-6.6570e-005
  33.72300,  7.69010,-6.5938e-005
  34.22300,  7.79422,-6.5670e-005
  34.72300,  7.89803,-6.4276e-005
  35.22300,  8.00172,-6.2472e-005
  35.72300,  8.10546,-6.0626e-005
  36.22300,  8.20896,-5.9012e-005
  36.72300,  8.31233,-5.6771e-005
  37.22300,  8.41607,-5.4597e-005
  37.72300,  8.51990,-5.1937e-005
  38.22300,  8.62358,-4.8943e-005
  38.72300,  8.72736,-4.5857e-005
  39.22300,  8.83095,-4.2687e-005
  39.72300,  8.93460,-3.9350e-005
  40.22300,  9.03787,-3.5605e-005
  40.72300,  9.14082,-3.2204e-005
  41.22300,  9.24368,-2.8247e-005
  41.72300,  9.34642,-2.4520e-005
  42.22300,  9.44908,-2.0608e-005
  42.72300,  9.55156,-1.6446e-005
  43.22300,  9.65412,-1.2299e-005
  43.72300,  9.75684,-8.5400e-006
  44.22300,  9.85913,-4.1983e-006
  44.72300,  9.96115, 2.4172e-007
  45.22300, 10.06285, 4.3187e-006
  45.72300, 10.16423, 8.8578e-006
  46.22300, 10.26535, 1.3214e-005
  46.72300, 10.36597, 1.8212e-005
  47.22300, 10.46622, 2.2023e-005
  47.72300, 10.56597, 2.7281e-005
  48.22300, 10.66543, 3.1597e-005
  48.72300, 10.76465, 3.6463e-005
  49.22300, 10.86353, 4.0940e-005
  49.72300, 10.96194, 4.5733e-005
  50.22300, 11.06004, 5.0353e-005
  50.72300, 11.15780, 5.5326e-005
  51.22300, 11.25539, 5.9722e-005
  51.72300, 11.35280, 6.4504e-005
  52.22300, 11.44971, 6.9837e-005
  52.72300, 11.54627, 7.4878e-005
  53.22300, 11.64255, 7.9737e-005
  53.72300, 11.73841, 8.4578e-005
  54.22300, 11.83416, 9.0095e-005
  54.72300, 11.92972, 9.5354e-005
  55.22300, 12.02502, 1.0092e-004
  55.72300, 12.12022, 1.0577e-004
  56.22300, 12.21524, 1.1114e-004
  56.72300, 12.31000, 1.1668e-004
  57.22300, 12.40470, 1.2187e-004
  57.72300, 12.49933, 1.2759e-004
  58.22300, 12.59365, 1.3326e-004
  58.72300, 12.68793, 1.3858e-004
  59.22300, 12.78180, 1.4442e-004
  59.72300, 12.87566, 1.4999e-004
  60.22300, 12.96948, 1.5578e-004
