,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.924,0.0,2.5149e-05,8.11374203678085e-05,-0.0003953668003184446,0.0005016532206862531,0.0,inf,0.0003755265485143593,-3.0495663329073796e-06
0,22.923,0.02167,2.5376e-05,8.113178337378242e-05,-0.0003953822779970105,0.000501890061370793,-0.0010000000000012221,-0.5018900613701796,0.00037552959813110334,-3.0496671548656667e-06
0,22.933,0.04333,2.5656e-05,8.118815389447122e-05,-0.00039522750054696125,0.0005020716544414325,0.009000000000000341,0.05578573938237927,0.0003754991065005632,-3.0486589635878862e-06
0,22.936,0.065,2.5886e-05,8.120506530219247e-05,-0.00039518106702405957,0.0005022721323262521,0.012000000000000455,0.041856011027186085,0.00037548996097734144,-3.048356518469942e-06
0,22.937,0.08667,2.6101e-05,8.121070246389604e-05,-0.0003951655891535639,0.0005024772916174599,0.013000000000001677,0.03865209935518423,0.0003754869126712302,-3.048255704688599e-06
0,22.927,0.10833,2.6381e-05,8.11543314272788e-05,-0.0003953203671941564,0.0005028556986214352,0.0030000000000001137,0.16761856620713872,0.000375517400269055,-3.0492638708065517e-06
0,22.927,0.13,2.6303e-05,8.11543314272788e-05,-0.0003953203671941564,0.0005027776986214352,0.0030000000000001137,0.1675925662071387,0.000375517400269055,-3.0492638708065517e-06
0,22.921,0.15167,2.639e-05,8.112050942442328e-05,-0.0003954132333098565,0.0005029237427342799,-0.0030000000000001137,-0.16764124757808693,0.000375535697667058,-3.049868800669266e-06
0,22.925,0.17333,2.6836e-05,8.114305737473397e-05,-0.00039535132262511277,0.0005033303799998468,0.0010000000000012221,0.5033303799992316,0.000375523498998437,-3.0494655115780993e-06
0,22.925,0.195,2.6966e-05,8.114305737473397e-05,-0.00039535132262511277,0.0005034603799998468,0.0010000000000012221,0.5034603799992314,0.000375523498998437,-3.0494655115780993e-06
0,22.922,0.21667,2.7179e-05,8.112614639265402e-05,-0.00039539775566081563,0.0005037029020534696,-0.0019999999999988916,-0.2518514510268744,0.0003755326478486693,-3.0497679774529604e-06
0,22.926,0.23833,2.7312e-05,8.114869439455798e-05,-0.00039533584491701496,0.000503796539311573,0.0019999999999988916,0.2518982696559261,0.0003755204495833361,-3.049364690877824e-06
0,22.927,0.26,2.7358e-05,8.11543314272788e-05,-0.0003953203671941564,0.0005038326986214352,0.0030000000000001137,0.16794423287380536,0.000375517400269055,-3.0492638708065517e-06
0,22.925,0.28167,2.7409e-05,8.114305737473397e-05,-0.00039535132262511277,0.0005039033799998467,0.0010000000000012221,0.5039033799992308,0.000375523498998437,-3.0494655115780993e-06
0,22.92,0.30333,2.7855e-05,8.111487246909195e-05,-0.00039542871094413144,0.0005043985834132234,-0.003999999999997783,-0.12609964585337574,0.0003755387475862708,-3.049969624514583e-06
0,22.916,0.325,2.737e-05,8.109232477674939e-05,-0.00039549062133359576,0.0005039529461103451,-0.007999999999999119,-0.06299411826380008,0.00037555094827136887,-3.050372926186015e-06
0,22.917,0.34667,2.756e-05,8.109796168048744e-05,-0.00039547514375837603,0.0005041331054388635,-0.006999999999997897,-0.07201901506271642,0.00037554789794885584,-3.050272099824627e-06
0,22.918,0.36833,2.7736e-05,8.110359859712316e-05,-0.00039545966616839207,0.0005042992647655152,-0.006000000000000227,-0.08404987746091602,0.00037554484772716907,-3.0501712740922646e-06
