#EXPORTTYPE:           ,DATA ALL                                                               
#FILE:                 ,albAmel010Trun1.ngb-sle                                                
#FORMAT:               ,NETZSCH5                                                               
#FTYPE:                ,ANSI                                                                   
#IDENTITY:             ,albite 010                                                             
#DECIMAL:              ,POINT                                                                  
#SEPARATOR:            ,COMMA                                                                  
#MTYPE:                ,DIL                                                                    
#INSTRUMENT:           ,NETZSCH DIL 402C                                                       
#PROJECT:              ,feldspar                                                               
#DATE/TIME:            ,8/22/2019 10:14:26 AM (UTC-5)                                          
#CORR. FILE:           ,                                                                       
#TEMPCAL:              ,TCALZERO.TMX                                                           
#LABORATORY:           ,Mineral Physics                                                        
#OPERATOR:             ,PAG                                                                    
#REMARK:               ,bare, norm start, for short plageioclase, sapphire, amel alb 010 twin  
#SAMPLE:               ,amelia twin                                                            
#SAMPLE LENGTH /mm:    ,8.715                                                                  
#MATERIAL:             ,sapphire stnd                                                          
#MEASMODE:             ,Standard Expansion                                                     
#PURGE GAS 1:          ,ARGON                                                                  
#FLOW RATE 1 /(ml/min):,75                                                                     
#M.RANGE /µm:          ,500                                                                    
#CORR. CODE:           ,010                                                                    
#RANGE:                ,20.0°C/3.0(K/min)/1020.0°C                                             
#SEGMENT:              ,S1/1                                                                   
#SEG. 1:               ,20.0°C/3.0(K/min)/1020.0°C                                             

##Temp./°C,Time/min,dL/Lo
  21.35100,  0.00000, 1.3908e-005
  21.85100,  3.99217,-3.1942e-006
  22.35100,  4.37447,-1.4410e-005
  22.85100,  4.64006,-2.3377e-005
  23.35100,  4.85549,-3.1753e-005
  23.85100,  5.04219,-3.9835e-005
  24.35100,  5.21024,-4.6434e-005
  24.85100,  5.36457,-5.4983e-005
  25.35100,  5.50896,-6.1246e-005
  25.85100,  5.64558,-6.7038e-005
  26.35100,  5.77580,-7.2192e-005
  26.85100,  5.90102,-7.6966e-005
  27.35100,  6.02247,-8.2118e-005
  27.85100,  6.14044,-8.6282e-005
  28.35100,  6.25585,-8.9865e-005
  28.85100,  6.36941,-9.2889e-005
  29.35100,  6.48119,-9.6370e-005
  29.85100,  6.59155,-9.9256e-005
  30.35100,  6.70053,-1.0161e-004
  30.85100,  6.80871,-1.0319e-004
  31.35100,  6.91626,-1.0480e-004
  31.85100,  7.02302,-1.0663e-004
  32.35100,  7.12899,-1.0733e-004
  32.85100,  7.23488,-1.0790e-004
  33.35100,  7.34043,-1.0805e-004
  33.85100,  7.44578,-1.0774e-004
  34.35100,  7.55066,-1.0758e-004
  34.85100,  7.65542,-1.0740e-004
  35.35100,  7.76022,-1.0624e-004
  35.85100,  7.86499,-1.0526e-004
  36.35100,  7.96935,-1.0420e-004
  36.85100,  8.07412,-1.0260e-004
  37.35100,  8.17866,-1.0092e-004
  37.85100,  8.28324,-9.9050e-005
  38.35100,  8.38786,-9.7164e-005
  38.85100,  8.49220,-9.5223e-005
  39.35100,  8.59657,-9.2588e-005
  39.85100,  8.70094,-8.9701e-005
  40.35100,  8.80518,-8.7067e-005
  40.85100,  8.90943,-8.4341e-005
  41.35100,  9.01350,-8.1518e-005
  41.85100,  9.11718,-7.8452e-005
  42.35100,  9.22073,-7.5103e-005
  42.85100,  9.32392,-7.2113e-005
  43.35100,  9.42709,-6.8734e-005
  43.85100,  9.52999,-6.5611e-005
  44.35100,  9.63251,-6.2055e-005
  44.85100,  9.73480,-5.8534e-005
  45.35100,  9.83683,-5.5478e-005
  45.85100,  9.93828,-5.2122e-005
  46.35100, 10.03929,-4.8416e-005
  46.85100, 10.13974,-4.4877e-005
  47.35100, 10.23964,-4.1082e-005
  47.85100, 10.33918,-3.7697e-005
  48.35100, 10.43822,-3.3832e-005
  48.85100, 10.53698,-3.0236e-005
  49.35100, 10.63545,-2.6517e-005
  49.85100, 10.73372,-2.2345e-005
  50.35100, 10.83164,-1.8845e-005
  50.85100, 10.92918,-1.4533e-005
  51.35100, 11.02638,-1.0494e-005
  51.85100, 11.12328,-6.6876e-006
  52.35100, 11.21981,-2.7391e-006
  52.85100, 11.31602, 1.6796e-006
  53.35100, 11.41207, 5.6240e-006
  53.85100, 11.50780, 9.4644e-006
  54.35100, 11.60335, 1.3539e-005
  54.85100, 11.69874, 1.8390e-005
  55.35100, 11.79399, 2.2519e-005
  55.85100, 11.88925, 2.7081e-005
  56.35100, 11.98442, 3.1806e-005
  56.85100, 12.07949, 3.5815e-005
  57.35100, 12.17432, 4.0225e-005
  57.85100, 12.26891, 4.4944e-005
  58.35100, 12.36358, 4.9224e-005
  58.85100, 12.45834, 5.4122e-005
  59.35100, 12.55310, 5.9040e-005
  59.85100, 12.64743, 6.3601e-005
  60.35100, 12.74168, 6.8854e-005
  60.85100, 12.83580, 7.4277e-005
  61.35100, 12.93009, 7.9040e-005
  61.85100, 13.02441, 8.3854e-005
  62.35100, 13.11860, 8.9183e-005
  62.85100, 13.21256, 9.4104e-005
  63.35100, 13.30671, 9.9706e-005
  63.85100, 13.40114, 1.0482e-004
  64.35100, 13.49553, 1.0953e-004
  64.85100, 13.59001, 1.1522e-004
  65.35100, 13.68449, 1.2054e-004
  65.85100, 13.77899, 1.2627e-004
  66.35100, 13.87369, 1.3169e-004
  66.85100, 13.96837, 1.3714e-004
  67.35100, 14.06298, 1.4270e-004
  67.85100, 14.15775, 1.4901e-004
  68.35100, 14.25262, 1.5402e-004
  68.85100, 14.34733, 1.6018e-004
  69.35100, 14.44215, 1.6578e-004
  69.85100, 14.53684, 1.7172e-004
  70.35100, 14.63173, 1.7717e-004
  70.85100, 14.72662, 1.8354e-004
  71.35100, 14.82141, 1.8918e-004
  71.85100, 14.91623, 1.9494e-004
  72.35100, 15.01108, 2.0089e-004
  72.85100, 15.10614, 2.0693e-004
  73.35100, 15.20117, 2.1279e-004
  73.85100, 15.29620, 2.1871e-004
  74.35100, 15.39126, 2.2475e-004
  74.85100, 15.48654, 2.3047e-004
  75.35100, 15.58193, 2.3641e-004
  75.85100, 15.67746, 2.4237e-004
  76.35100, 15.77295, 2.4906e-004
  76.85100, 15.86853, 2.5473e-004
  77.35100, 15.96417, 2.6071e-004
  77.85100, 16.05976, 2.6727e-004
  78.35100, 16.15524, 2.7353e-004
  78.85100, 16.25063, 2.7966e-004
  79.35100, 16.34600, 2.8611e-004
  79.85100, 16.44165, 2.9236e-004
  80.35100, 16.53751, 2.9870e-004
  80.85100, 16.63363, 3.0488e-004
  81.35100, 16.73000, 3.1128e-004
  81.85100, 16.82645, 3.1717e-004
  82.35100, 16.92303, 3.2318e-004
  82.85100, 17.01963, 3.2955e-004
  83.35100, 17.11661, 3.3638e-004
  83.85100, 17.21315, 3.4236e-004
  84.35100, 17.30973, 3.4854e-004
  84.85100, 17.40620, 3.5519e-004
  85.35100, 17.50239, 3.6150e-004
  85.85100, 17.59872, 3.6774e-004
  86.35100, 17.69522, 3.7376e-004
  86.85100, 17.79164, 3.8058e-004
  87.35100, 17.88823, 3.8716e-004
  87.85100, 17.98506, 3.9384e-004
  88.35100, 18.08194, 3.9996e-004
  88.85100, 18.17937, 4.0623e-004
  89.35100, 18.27716, 4.1286e-004
  89.85100, 18.37493, 4.1932e-004
  90.35100, 18.47262, 4.2560e-004
  90.85100, 18.57043, 4.3224e-004
  91.35100, 18.66845, 4.3900e-004
  91.85100, 18.76642, 4.4533e-004
  92.35100, 18.86440, 4.5173e-004
  92.85100, 18.96229, 4.5834e-004
  93.35100, 19.06034, 4.6516e-004
  93.85100, 19.15862, 4.7158e-004
  94.35100, 19.25700, 4.7853e-004
  94.85100, 19.35554, 4.8515e-004
  95.35100, 19.45413, 4.9189e-004
  95.85100, 19.55277, 4.9830e-004
  96.35100, 19.65167, 5.0459e-004
  96.85100, 19.75065, 5.1159e-004
  97.35100, 19.84981, 5.1859e-004
  97.85100, 19.94917, 5.2497e-004
  98.35100, 20.04840, 5.3155e-004
  98.85100, 20.14776, 5.3814e-004
  99.35100, 20.24735, 5.4496e-004
  99.85100, 20.34709, 5.5205e-004
 100.35100, 20.44689, 5.5841e-004
 100.85100, 20.54664, 5.6550e-004
 101.35100, 20.64660, 5.7191e-004
 101.85100, 20.74687, 5.7859e-004
 102.35100, 20.84705, 5.8579e-004
 102.85100, 20.94714, 5.9218e-004
 103.35100, 21.04713, 5.9919e-004
 103.85100, 21.14712, 6.0564e-004
 104.35100, 21.24714, 6.1332e-004
 104.85100, 21.34724, 6.1950e-004
 105.35100, 21.44734, 6.2653e-004
 105.85100, 21.54729, 6.3337e-004
 106.35100, 21.64762, 6.4027e-004
 106.85100, 21.74793, 6.4725e-004
 107.35100, 21.84841, 6.5418e-004
 107.85100, 21.94917, 6.6115e-004
 108.35100, 22.05010, 6.6813e-004
 108.85100, 22.15122, 6.7492e-004
 109.35100, 22.25269, 6.8198e-004
 109.85100, 22.35434, 6.8823e-004
 110.35100, 22.45608, 6.9527e-004
 110.85100, 22.55811, 7.0226e-004
 111.35100, 22.66002, 7.0959e-004
 111.85100, 22.76149, 7.1612e-004
 112.35100, 22.86288, 7.2292e-004
 112.85100, 22.96431, 7.2954e-004
 113.35100, 23.06571, 7.3685e-004
 113.85100, 23.16714, 7.4372e-004
 114.35100, 23.26847, 7.5072e-004
 114.85100, 23.36986, 7.5772e-004
 115.35100, 23.47155, 7.6501e-004
 115.85100, 23.57338, 7.7179e-004
 116.35100, 23.67527, 7.7865e-004
 116.85100, 23.77720, 7.8572e-004
 117.35100, 23.87939, 7.9237e-004
 117.85100, 23.98168, 7.9968e-004
 118.35100, 24.08413, 8.0636e-004
 118.85100, 24.18697, 8.1330e-004
 119.35100, 24.28969, 8.2077e-004
 119.85100, 24.39253, 8.2809e-004
 120.35100, 24.49542, 8.3474e-004
 120.85100, 24.59832, 8.4190e-004
 121.35100, 24.70123, 8.4873e-004
 121.85100, 24.80418, 8.5600e-004
 122.35100, 24.90704, 8.6326e-004
 122.85100, 25.01009, 8.7005e-004
 123.35100, 25.11319, 8.7776e-004
 123.85100, 25.21640, 8.8404e-004
 124.35100, 25.31978, 8.9138e-004
 124.85100, 25.42334, 8.9821e-004
 125.35100, 25.52701, 9.0500e-004
 125.85100, 25.63064, 9.1208e-004
 126.35100, 25.73445, 9.1937e-004
 126.85100, 25.83803, 9.2682e-004
 127.35100, 25.94189, 9.3339e-004
 127.85100, 26.04574, 9.4062e-004
 128.35100, 26.14944, 9.4781e-004
 128.85100, 26.25307, 9.5453e-004
 129.35100, 26.35678, 9.6193e-004
 129.85100, 26.46060, 9.6944e-004
 130.35100, 26.56478, 9.7649e-004
 130.85100, 26.66877, 9.8361e-004
 131.35100, 26.77276, 9.9027e-004
 131.85100, 26.87721, 9.9750e-004
 132.35100, 26.98191, 1.0048e-003
 132.85100, 27.08674, 1.0119e-003
 133.35100, 27.19139, 1.0187e-003
 133.85100, 27.29616, 1.0259e-003
 134.35100, 27.40117, 1.0332e-003
 134.85100, 27.50624, 1.0402e-003
 135.35100, 27.61128, 1.0475e-003
 135.85100, 27.71621, 1.0544e-003
 136.35100, 27.82130, 1.0618e-003
 136.85100, 27.92648, 1.0688e-003
 137.35100, 28.03171, 1.0759e-003
 137.85100, 28.13691, 1.0830e-003
 138.35100, 28.24229, 1.0903e-003
 138.85100, 28.34769, 1.0976e-003
 139.35100, 28.45321, 1.1049e-003
 139.85100, 28.55876, 1.1117e-003
 140.35100, 28.66414, 1.1191e-003
 140.85100, 28.76949, 1.1261e-003
 141.35100, 28.87504, 1.1332e-003
 141.85100, 28.98033, 1.1410e-003
 142.35100, 29.08576, 1.1479e-003
 142.85100, 29.19129, 1.1553e-003
 143.35100, 29.29691, 1.1624e-003
 143.85100, 29.40282, 1.1693e-003
 144.35100, 29.50860, 1.1767e-003
 144.85100, 29.61441, 1.1834e-003
 145.35100, 29.72046, 1.1909e-003
 145.85100, 29.82654, 1.1981e-003
 146.35100, 29.93255, 1.2055e-003
 146.85100, 30.03865, 1.2124e-003
 147.35100, 30.14486, 1.2196e-003
 147.85100, 30.25118, 1.2271e-003
 148.35100, 30.35761, 1.2341e-003
 148.85100, 30.46383, 1.2413e-003
 149.35100, 30.57016, 1.2490e-003
 149.85100, 30.67659, 1.2563e-003
 150.35100, 30.78303, 1.2630e-003
 150.85100, 30.88954, 1.2703e-003
 151.35100, 30.99606, 1.2773e-003
 151.85100, 31.10292, 1.2848e-003
 152.35100, 31.20995, 1.2921e-003
 152.85100, 31.31679, 1.2990e-003
 153.35100, 31.42338, 1.3067e-003
 153.85100, 31.53032, 1.3139e-003
 154.35100, 31.63760, 1.3210e-003
 154.85100, 31.74500, 1.3280e-003
 155.35100, 31.85235, 1.3355e-003
 155.85100, 31.95981, 1.3424e-003
 156.35100, 32.06760, 1.3503e-003
 156.85100, 32.17570, 1.3574e-003
 157.35100, 32.28352, 1.3648e-003
 157.85100, 32.39111, 1.3716e-003
 158.35100, 32.49862, 1.3789e-003
 158.85100, 32.60616, 1.3861e-003
 159.35100, 32.71380, 1.3937e-003
 159.85100, 32.82144, 1.4009e-003
 160.35100, 32.92903, 1.4082e-003
 160.85100, 33.03659, 1.4154e-003
 161.35100, 33.14453, 1.4224e-003
 161.85100, 33.25296, 1.4301e-003
 162.35100, 33.36107, 1.4373e-003
 162.85100, 33.46918, 1.4443e-003
 163.35100, 33.57737, 1.4518e-003
 163.85100, 33.68564, 1.4587e-003
 164.35100, 33.79407, 1.4662e-003
 164.85100, 33.90236, 1.4733e-003
 165.35100, 34.01047, 1.4808e-003
 165.85100, 34.11892, 1.4884e-003
 166.35100, 34.22731, 1.4954e-003
 166.85100, 34.33584, 1.5028e-003
 167.35100, 34.44458, 1.5101e-003
 167.85100, 34.55337, 1.5173e-003
 168.35100, 34.66224, 1.5242e-003
 168.85100, 34.77132, 1.5313e-003
 169.35100, 34.88020, 1.5387e-003
 169.85100, 34.98938, 1.5459e-003
 170.35100, 35.09853, 1.5532e-003
 170.85100, 35.20751, 1.5608e-003
 171.35100, 35.31680, 1.5679e-003
 171.85100, 35.42579, 1.5754e-003
 172.35100, 35.53518, 1.5828e-003
 172.85100, 35.64475, 1.5902e-003
 173.35100, 35.75425, 1.5972e-003
 173.85100, 35.86416, 1.6047e-003
 174.35100, 35.97424, 1.6123e-003
 174.85100, 36.08449, 1.6199e-003
 175.35100, 36.19459, 1.6271e-003
 175.85100, 36.30464, 1.6351e-003
 176.35100, 36.41472, 1.6421e-003
 176.85100, 36.52486, 1.6498e-003
 177.35100, 36.63473, 1.6571e-003
 177.85100, 36.74473, 1.6647e-003
 178.35100, 36.85474, 1.6719e-003
 178.85100, 36.96496, 1.6795e-003
 179.35100, 37.07532, 1.6882e-003
 179.85100, 37.18596, 1.6961e-003
 180.35100, 37.29635, 1.7037e-003
 180.85100, 37.40680, 1.7111e-003
 181.35100, 37.51738, 1.7187e-003
 181.85100, 37.62801, 1.7265e-003
 182.35100, 37.73868, 1.7341e-003
 182.85100, 37.84912, 1.7413e-003
 183.35100, 37.95997, 1.7492e-003
 183.85100, 38.07094, 1.7567e-003
 184.35100, 38.18183, 1.7634e-003
 184.85100, 38.29300, 1.7706e-003
 185.35100, 38.40436, 1.7776e-003
 185.85100, 38.51582, 1.7850e-003
 186.35100, 38.62746, 1.7927e-003
 186.85100, 38.73923, 1.8000e-003
 187.35100, 38.85119, 1.8076e-003
 187.85100, 38.96313, 1.8148e-003
 188.35100, 39.07479, 1.8227e-003
 188.85100, 39.18640, 1.8301e-003
 189.35100, 39.29804, 1.8379e-003
 189.85100, 39.40937, 1.8452e-003
 190.35100, 39.52089, 1.8525e-003
 190.85100, 39.63224, 1.8602e-003
 191.35100, 39.74386, 1.8676e-003
 191.85100, 39.85606, 1.8754e-003
 192.35100, 39.96806, 1.8831e-003
 192.85100, 40.08005, 1.8904e-003
 193.35100, 40.19205, 1.8977e-003
 193.85100, 40.30419, 1.9057e-003
 194.35100, 40.41624, 1.9132e-003
 194.85100, 40.52803, 1.9205e-003
 195.35100, 40.64019, 1.9286e-003
 195.85100, 40.75225, 1.9360e-003
 196.35100, 40.86448, 1.9438e-003
 196.85100, 40.97675, 1.9511e-003
 197.35100, 41.08925, 1.9591e-003
 197.85100, 41.20211, 1.9662e-003
 198.35100, 41.31501, 1.9738e-003
 198.85100, 41.42827, 1.9816e-003
 199.35100, 41.54176, 1.9890e-003
 199.85100, 41.65534, 1.9968e-003
 200.35100, 41.76915, 2.0045e-003
 200.85100, 41.88276, 2.0123e-003
 201.35100, 41.99655, 2.0201e-003
 201.85100, 42.11007, 2.0277e-003
 202.35100, 42.22382, 2.0354e-003
 202.85100, 42.33758, 2.0429e-003
 203.35100, 42.45113, 2.0506e-003
 203.85100, 42.56480, 2.0583e-003
 204.35100, 42.67834, 2.0658e-003
 204.85100, 42.79216, 2.0736e-003
 205.35100, 42.90591, 2.0819e-003
 205.85100, 43.01959, 2.0894e-003
 206.35100, 43.13320, 2.0964e-003
 206.85100, 43.24707, 2.1042e-003
 207.35100, 43.36094, 2.1122e-003
 207.85100, 43.47475, 2.1192e-003
 208.35100, 43.58875, 2.1272e-003
 208.85100, 43.70280, 2.1347e-003
 209.35100, 43.81719, 2.1422e-003
 209.85100, 43.93159, 2.1495e-003
 210.35100, 44.04610, 2.1575e-003
 210.85100, 44.16097, 2.1651e-003
 211.35100, 44.27580, 2.1726e-003
 211.85100, 44.39071, 2.1804e-003
 212.35100, 44.50562, 2.1880e-003
 212.85100, 44.62067, 2.1951e-003
 213.35100, 44.73570, 2.2028e-003
 213.85100, 44.85072, 2.2109e-003
 214.35100, 44.96560, 2.2182e-003
 214.85100, 45.08044, 2.2258e-003
 215.35100, 45.19530, 2.2332e-003
 215.85100, 45.31021, 2.2408e-003
 216.35100, 45.42526, 2.2488e-003
 216.85100, 45.54029, 2.2561e-003
 217.35100, 45.65561, 2.2640e-003
 217.85100, 45.77109, 2.2718e-003
 218.35100, 45.88689, 2.2796e-003
 218.85100, 46.00257, 2.2873e-003
 219.35100, 46.11831, 2.2952e-003
 219.85100, 46.23416, 2.3027e-003
 220.35100, 46.35008, 2.3104e-003
 220.85100, 46.46609, 2.3178e-003
 221.35100, 46.58215, 2.3261e-003
 221.85100, 46.69832, 2.3338e-003
 222.35100, 46.81458, 2.3415e-003
 222.85100, 46.93088, 2.3487e-003
 223.35100, 47.04748, 2.3567e-003
 223.85100, 47.16402, 2.3645e-003
 224.35100, 47.28066, 2.3723e-003
 224.85100, 47.39745, 2.3868e-003
 225.35100, 47.51436, 2.3939e-003
 225.85100, 47.63188, 2.4017e-003
 226.35100, 47.74939, 2.4093e-003
 226.85100, 47.86689, 2.4174e-003
 227.35100, 47.98422, 2.4247e-003
 227.85100, 48.10136, 2.4323e-003
 228.35100, 48.21835, 2.4418e-003
 228.85100, 48.33491, 2.4504e-003
 229.35100, 48.45130, 2.4582e-003
 229.85100, 48.56819, 2.4663e-003
 230.35100, 48.68513, 2.4738e-003
 230.85100, 48.80238, 2.4815e-003
 231.35100, 48.91978, 2.4889e-003
 231.85100, 49.03740, 2.4968e-003
 232.35100, 49.15521, 2.5047e-003
 232.85100, 49.27292, 2.5119e-003
 233.35100, 49.39077, 2.5199e-003
 233.85100, 49.50864, 2.5272e-003
 234.35100, 49.62653, 2.5353e-003
 234.85100, 49.74461, 2.5432e-003
 235.35100, 49.86273, 2.5506e-003
 235.85100, 49.98084, 2.5585e-003
 236.35100, 50.09922, 2.5680e-003
 236.85100, 50.21764, 2.5761e-003
 237.35100, 50.33623, 2.5834e-003
 237.85100, 50.45507, 2.5915e-003
 238.35100, 50.57412, 2.6014e-003
 238.85100, 50.69324, 2.6087e-003
 239.35100, 50.81237, 2.6171e-003
 239.85100, 50.93187, 2.6250e-003
 240.35100, 51.05161, 2.6331e-003
 240.85100, 51.17143, 2.6410e-003
 241.35100, 51.29118, 2.6527e-003
 241.85100, 51.41108, 2.6615e-003
 242.35100, 51.53117, 2.6715e-003
 242.85100, 51.65143, 2.6815e-003
 243.35100, 51.77201, 2.6896e-003
 243.85100, 51.89257, 2.6981e-003
 244.35100, 52.01358, 2.7071e-003
 244.85100, 52.13482, 2.7153e-003
 245.35100, 52.25616, 2.7233e-003
 245.85100, 52.37723, 2.7314e-003
 246.35100, 52.49833, 2.7396e-003
 246.85100, 52.61958, 2.7479e-003
 247.35100, 52.74062, 2.7560e-003
 247.85100, 52.86173, 2.7641e-003
 248.35100, 52.98292, 2.7746e-003
 248.85100, 53.10424, 2.7830e-003
 249.35100, 53.22543, 2.7908e-003
 249.85100, 53.34663, 2.7988e-003
 250.35100, 53.46785, 2.8065e-003
 250.85100, 53.58900, 2.8141e-003
 251.35100, 53.70992, 2.8219e-003
 251.85100, 53.83096, 2.8293e-003
 252.35100, 53.95179, 2.8373e-003
 252.85100, 54.07223, 2.8458e-003
 253.35100, 54.19248, 2.8530e-003
 253.85100, 54.31241, 2.8611e-003
 254.35100, 54.43215, 2.8693e-003
 254.85100, 54.55145, 2.8765e-003
 255.35100, 54.67041, 2.8839e-003
 255.85100, 54.78910, 2.8909e-003
 256.35100, 54.90761, 2.8981e-003
 256.85100, 55.02580, 2.9057e-003
 257.35100, 55.14372, 2.9130e-003
 257.85100, 55.26126, 2.9207e-003
 258.35100, 55.37859, 2.9280e-003
 258.85100, 55.49576, 2.9350e-003
 259.35100, 55.61256, 2.9431e-003
 259.85100, 55.72922, 2.9505e-003
 260.35100, 55.84576, 2.9580e-003
 260.85100, 55.96242, 2.9652e-003
 261.35100, 56.07882, 2.9723e-003
 261.85100, 56.19512, 2.9809e-003
 262.35100, 56.31143, 2.9885e-003
 262.85100, 56.42769, 2.9976e-003
 263.35100, 56.54393, 3.0049e-003
 263.85100, 56.66000, 3.0122e-003
 264.35100, 56.77640, 3.0199e-003
 264.85100, 56.89297, 3.0278e-003
