,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.351,0.0,1.3908e-05,7.228639284590291e-05,-0.0004196948997628597,0.0005058892926087626,0.0,inf,0.0003046106100471472,-2.2740555924354764e-06
0,21.851,3.99217,-3.1942e-06,7.509634931980851e-05,-0.00041196584713043376,0.00048386799645024227,0.5,0.0009677359929004845,0.000303480946678392,-2.2446061955740344e-06
0,22.351,4.37447,-1.441e-05,7.790953735702273e-05,-0.0004042330889626935,0.00046773262631971625,1.0,0.00046773262631971625,0.0003023659955427929,-2.2152066513959143e-06
0,22.851,4.64006,-2.3377e-05,8.072595370231701e-05,-0.00039649663205094596,0.000453845585753263,1.5,0.00030256372383550867,0.00030126573172662915,-2.1858569094178015e-06
0,23.351,4.85549,-3.1753e-05,8.354559510227993e-05,-0.0003887564831806592,0.00044054907828293914,2.0,0.00022027453914146957,0.00030018013034142227,-2.156556919156402e-06
0,23.851,5.04219,-3.9835e-05,8.636845830532584e-05,-0.0003810126491314795,0.00042754610743680533,2.5,0.00017101844297472214,0.0002991091665239336,-2.127306630128408e-06
0,24.351,5.21024,-4.6434e-05,8.919454006169319e-05,-0.0003732651366772158,0.000416025676738909,3.0,0.00013867522557963632,0.0002980528154361687,-2.0981059918505038e-06
0,24.851,5.36457,-5.4983e-05,9.202383712344445e-05,-0.0003655139525858449,0.00040255478970928934,3.5,0.0001150156542026541,0.0002970110522653724,-2.0689549538393965e-06
0,25.351,5.50896,-6.1246e-05,9.485634624446185e-05,-0.00035775910361951664,0.0003913694498639785,4.0,9.784236246599463e-05,0.0002959838522240323,-2.039853465611777e-06
0,25.851,5.64558,-6.7038e-05,9.769206418045687e-05,-0.00035000059653454187,0.00038065466071499874,4.5,8.458992460333305e-05,0.0002949711905498773,-2.010801476684329e-06
0,26.351,5.7758,-7.2192e-05,0.00010053098768895985,-0.0003422384380814096,0.00037057742577036945,5.0,7.411548515407389e-05,0.00029397304250587805,-1.981798936573764e-06
0,26.851,5.90102,-7.6966e-05,0.00010337311352932692,-0.00033447263500476984,0.0003608797485340968,5.5,6.561449973347215e-05,0.0002929893833802477,-1.9528457947967633e-06
0,27.351,6.02247,-8.2118e-05,0.00010621843846273654,-0.00032670319404344735,0.0003508036325061839,6.0,5.846727208436398e-05,0.00029202018848644004,-1.9239420008700284e-06
0,27.851,6.14044,-8.6282e-05,0.00010906695925219298,-0.00031893012193042955,0.0003417150811826225,6.5,5.2571550951172693e-05,0.00029106543316314995,-1.8950875043102532e-06
0,28.351,6.25585,-8.9865e-05,0.00011191867266252022,-0.0003111534253928735,0.0003332070980553937,7.0,4.760101400791339e-05,0.0002901250927743156,-1.8662822546341266e-06
0,28.851,6.36941,-9.2889e-05,0.0001147735754603689,-0.00030337311115210923,0.00032525768661247816,7.5,4.336769154833042e-05,0.0002891991427091153,-1.8375262013583477e-06
0,29.351,6.48119,-9.637e-05,0.00011763166441421287,-0.000295589185923633,0.00031685085033784585,8.0,3.960635629223073e-05,0.0002882875583819712,-1.8088192939996123e-06
0,29.851,6.59155,-9.9256e-05,0.0001204929362943483,-0.00028780165641710716,0.00030903859271145547,8.5,3.635748149546535e-05,0.0002873903152325443,-1.780161482074611e-06
0,30.351,6.70053,-0.00010161,0.00012335738787289541,-0.00028001052933636535,0.00030175791720926074,9.0,3.352865746769564e-05,0.0002865073887257379,-1.7515527151000397e-06
0,30.851,6.80871,-0.00010319,0.00012622501592379678,-0.0002722158113794091,0.00029525082730320586,9.5,3.107903445296904e-05,0.0002856387543516991,-1.7229929425925922e-06
0,31.351,6.91626,-0.0001048,0.00012909581722282248,-0.0002644175092384078,0.0002887133264612303,10.0,2.887133264612303e-05,0.00028478438762581486,-1.6944821140689626e-06
0,31.851,7.02302,-0.00010663,0.00013196978854756146,-0.0002566156295997022,0.00028195541814726363,10.5,2.685289696640606e-05,0.0002839442640887131,-1.6660201790458485e-06
0,32.351,7.12899,-0.00010733,0.00013484692667742933,-0.00024881017914379737,0.0002763271058212267,11.0,2.5120645983747884e-05,0.0002831183593062659,-1.637607087039942e-06
0,32.851,7.23488,-0.0001079,0.00013772722839366144,-0.00024100116454536802,0.0002708283929390295,11.5,2.3550295038176476e-05,0.00028230664886958433,-1.6092427875679374e-06
