#EXPORTTYPE:           ,DATA ALL                                                        
#FILE:                 ,fmtl010Crun1.ngb-sle                                            
#FORMAT:               ,NETZSCH5                                                        
#FTYPE:                ,ANSI                                                            
#IDENTITY:             ,fmt short                                                       
#DECIMAL:              ,POINT                                                           
#SEPARATOR:            ,COMMA                                                           
#MTYPE:                ,DIL                                                             
#INSTRUMENT:           ,NETZSCH DIL 402C                                                
#PROJECT:              ,feldspar                                                        
#DATE/TIME:            ,8/21/2019 9:53:35 AM (UTC-5)                                    
#CORR. FILE:           ,                                                                
#TEMPCAL:              ,TCALZERO.TMX                                                    
#LABORATORY:           ,Mineral Physics                                                 
#OPERATOR:             ,PAG                                                             
#REMARK:               ,bare, norm start, for short plageioclase, fmt short probably 010
#SAMPLE:               ,fmt 3rd orientation                                             
#SAMPLE LENGTH /mm:    ,8.776                                                           
#MATERIAL:             ,sapphire stnd                                                   
#MEASMODE:             ,Standard Expansion                                              
#PURGE GAS 1:          ,ARGON                                                           
#FLOW RATE 1 /(ml/min):,75                                                              
#M.RANGE /µm:          ,500                                                             
#CORR. CODE:           ,010                                                             
#RANGE:                ,20.0°C/3.0(K/min)/1010.0°C                                      
#SEGMENT:              ,S1/1                                                            
#SEG. 1:               ,20.0°C/3.0(K/min)/1010.0°C                                      

##Temp./°C,Time/min,dL/Lo
  22.55400,  0.00000, 2.2540e-005
  23.05400,  4.46260, 5.5262e-007
  23.55400,  4.87844,-1.0073e-005
  24.05400,  5.15461,-1.9112e-005
  24.55400,  5.37597,-2.6883e-005
  25.05400,  5.56571,-3.3662e-005
  25.55400,  5.73550,-3.9907e-005
  26.05400,  5.89117,-4.5797e-005
  26.55400,  6.03567,-5.0770e-005
  27.05400,  6.17217,-5.5165e-005
  27.55400,  6.30227,-5.9795e-005
  28.05400,  6.42751,-6.3243e-005
  28.55400,  6.54825,-6.6485e-005
  29.05400,  6.66528,-6.9793e-005
  29.55400,  6.77958,-7.2492e-005
  30.05400,  6.89169,-7.4676e-005
  30.55400,  7.00237,-7.6570e-005
  31.05400,  7.11155,-7.8400e-005
  31.55400,  7.21955,-7.9426e-005
  32.05400,  7.32656,-8.0780e-005
  32.55400,  7.43246,-8.1333e-005
  33.05400,  7.53752,-8.1863e-005
  33.55400,  7.64201,-8.1602e-005
  34.05400,  7.74574,-8.1478e-005
  34.55400,  7.84897,-8.0933e-005
  35.05400,  7.95194,-8.0143e-005
  35.55400,  8.05495,-7.9813e-005
  36.05400,  8.15814,-7.7966e-005
  36.55400,  8.26129,-7.6894e-005
  37.05400,  8.36443,-7.5154e-005
  37.55400,  8.46723,-7.3682e-005
  38.05400,  8.57032,-7.1378e-005
  38.55400,  8.67313,-6.8935e-005
  39.05400,  8.77597,-6.7097e-005
  39.55400,  8.87892,-6.4413e-005
  40.05400,  8.98186,-6.1711e-005
  40.55400,  9.08473,-5.8458e-005
  41.05400,  9.18767,-5.5921e-005
  41.55400,  9.29026,-5.2799e-005
  42.05400,  9.39294,-4.9522e-005
  42.55400,  9.49546,-4.6321e-005
  43.05400,  9.59780,-4.2873e-005
  43.55400,  9.69993,-3.9634e-005
  44.05400,  9.80196,-3.6063e-005
  44.55400,  9.90369,-3.2667e-005
  45.05400, 10.00526,-2.9012e-005
  45.55400, 10.10675,-2.5500e-005
  46.05400, 10.20820,-2.1848e-005
  46.55400, 10.30908,-1.8352e-005
  47.05400, 10.40961,-1.4666e-005
  47.55400, 10.50970,-1.0755e-005
  48.05400, 10.60944,-6.7847e-006
  48.55400, 10.70885,-2.9476e-006
  49.05400, 10.80762, 9.3179e-007
  49.55400, 10.90581, 4.6976e-006
  50.05400, 11.00362, 8.6950e-006
  50.55400, 11.10079, 1.3292e-005
  51.05400, 11.19761, 1.7081e-005
  51.55400, 11.29393, 2.1107e-005
  52.05400, 11.38997, 2.5589e-005
  52.55400, 11.48607, 2.9728e-005
  53.05400, 11.58195, 3.3933e-005
  53.55400, 11.67741, 3.7791e-005
  54.05400, 11.77310, 4.2025e-005
  54.55400, 11.86863, 4.6583e-005
  55.05400, 11.96398, 5.1162e-005
  55.55400, 12.05928, 5.5498e-005
  56.05400, 12.15431, 6.0272e-005
  56.55400, 12.24900, 6.4568e-005
  57.05400, 12.34370, 6.9447e-005
  57.55400, 12.43817, 7.3859e-005
  58.05400, 12.53258, 7.8799e-005
  58.55400, 12.62678, 8.4151e-005
  59.05400, 12.72081, 8.8615e-005
  59.55400, 12.81481, 9.3550e-005
  60.05400, 12.90879, 9.8328e-005
  60.55400, 13.00271, 1.0344e-004
  61.05400, 13.09653, 1.0846e-004
  61.55400, 13.19024, 1.1316e-004
  62.05400, 13.28416, 1.1874e-004
  62.55400, 13.37831, 1.2418e-004
  63.05400, 13.47237, 1.2947e-004
  63.55400, 13.56639, 1.3477e-004
  64.05400, 13.66058, 1.4013e-004
  64.55400, 13.75466, 1.4575e-004
  65.05400, 13.84868, 1.5075e-004
  65.55400, 13.94273, 1.5617e-004
  66.05400, 14.03644, 1.6237e-004
  66.55400, 14.12995, 1.6742e-004
  67.05400, 14.22343, 1.7360e-004
  67.55400, 14.31685, 1.7926e-004
  68.05400, 14.41029, 1.8498e-004
  68.55400, 14.50389, 1.9082e-004
  69.05400, 14.59761, 1.9704e-004
  69.55400, 14.69132, 2.0305e-004
  70.05400, 14.78537, 2.0894e-004
  70.55400, 14.87946, 2.1488e-004
  71.05400, 14.97405, 2.2051e-004
  71.55400, 15.06882, 2.2678e-004
  72.05400, 15.16366, 2.3297e-004
  72.55400, 15.25856, 2.3902e-004
  73.05400, 15.35345, 2.4529e-004
  73.55400, 15.44828, 2.5138e-004
  74.05400, 15.54328, 2.5776e-004
  74.55400, 15.63821, 2.6402e-004
  75.05400, 15.73294, 2.7018e-004
  75.55400, 15.82767, 2.7636e-004
  76.05400, 15.92249, 2.8262e-004
  76.55400, 16.01746, 2.8941e-004
  77.05400, 16.11252, 2.9554e-004
  77.55400, 16.20767, 3.0200e-004
  78.05400, 16.30287, 3.0835e-004
  78.55400, 16.39825, 3.1478e-004
  79.05400, 16.49376, 3.2129e-004
