,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.53,0.0,1.5194e-05,7.329198569394364e-05,-0.00041692832518056173,0.0005054143108745054,0.0,inf,0.00017238749502442984,2.7753672080281725e-06
0,22.03,4.02318,1.3623e-05,7.610309944171365e-05,-0.00040919794518568496,0.0004989240446273987,0.5,0.0009978480892547973,0.00017377703714415967,2.7827999850155296e-06
0,22.53,4.42213,2.9747e-06,7.89174435872099e-05,-0.0004014638620874495,0.0004833560056746594,1.0,0.0004833560056746594,0.0001751702937238921,2.7902250486849212e-06
0,23.03,4.69738,-6.6556e-06,8.173501487585607e-05,-0.0003937260826750756,0.0004688054975509317,1.5,0.0003125369983672878,0.00017656726090793835,2.797642402915732e-06
0,23.53,4.91933,-1.5849e-05,8.455581005489387e-05,-0.0003859846137319479,0.00045469142378684173,2.0,0.00022734571189342087,0.00017796793484254779,2.805052051587344e-06
0,24.03,5.1101,-2.3285e-05,8.737982587339078e-05,-0.0003782394620356188,0.0004423342879090096,2.5,0.00017693371516360384,0.0001793723116759122,2.8124539985791426e-06
0,24.53,5.28089,-3.0397e-05,9.020705908223663e-05,-0.00037049063435781043,0.0004303006934400471,3.0,0.0001434335644800157,0.00018078038755816065,2.8198482477705136e-06
0,25.03,5.43715,-3.6482e-05,9.303750643414703e-05,-0.00036273813746441445,0.0004192936438985615,3.5,0.00011979818397101756,0.0001821921586413625,2.827234803040839e-06
0,25.53,5.58283,-4.2443e-05,9.587116468365905e-05,-0.0003549819781154921,0.0004084101427991512,4.0,0.0001021025356997878,0.00018360762107952735,2.834613668269503e-06
0,26.03,5.72085,-4.7754e-05,9.870803058713469e-05,-0.0003472221630652691,0.00039817619365240377,4.5,8.848359858942306e-05,0.0001850267710286047,2.8419848473358908e-06
0,26.53,5.85218,-5.2422e-05,0.00010154810090275915,-0.0003394586990621423,0.0003885847999649015,5.0,7.771695999298029e-05,0.00018644960464648305,2.8493483441193868e-06
0,27.03,5.97858,-5.6522e-05,0.0001043913723905391,-0.0003316915928486767,0.0003795609652392158,5.5,6.901108458894832e-05,0.00018787611809299026,2.856704162499375e-06
