,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,19.021,0.0,-1.3971e-06,5.9234708293545366e-05,-0.0004556632180159753,0.0005135008263095207,0.0,inf,-4.768364261446595e-05,-6.06930762785798e-07
0,19.521,3.04405,-6.7591e-06,6.202956269967669e-05,-0.00044795152291119897,0.0005032219856108757,0.5,0.0010064439712217513,-4.798377956712432e-05,-5.936197241074382e-07
0,20.021,3.39071,-1.7653e-05,6.482766386255341e-05,-0.000440236090546723,0.0004874107544092764,1.0,0.0004874107544092764,-4.827726501419895e-05,-5.803247391804708e-07
0,20.521,3.64194,-2.6744e-05,6.762900851844077e-05,-0.0004325169277410359,0.00047340193625947666,1.5,0.0003156012908396511,-4.8564106980656394e-05,-5.670458003650398e-07
0,21.021,3.84818,-3.455e-05,7.043359340543672e-05,-0.00042479404130677835,0.00046067763471221507,2.0,0.00023033881735610754,-4.8844313487642456e-05,-5.537829000213002e-07
0,21.521,4.02822,-4.1899e-05,7.324141526345376e-05,-0.0004170674380507694,0.0004484098533142232,2.5,0.00017936394132568928,-4.911789255248309e-05,-5.405360305094003e-07
0,22.021,4.18986,-4.798e-05,7.605247083423538e-05,-0.00040933712477398895,0.00043740959560822435,3.0,0.00014580319853607477,-4.938485218868396e-05,-5.273051841894891e-07
0,22.521,4.33812,-5.3714e-05,7.886675686134305e-05,-0.0004016031082715952,0.00042675586513293823,3.5,0.0001219302471808395,-4.964520040593129e-05,-5.14090353421719e-07
0,23.021,4.47667,-5.8441e-05,8.168427009016405e-05,-0.0003938653953329072,0.00041710866542307126,4.0,0.00010427716635576782,-4.989894521009101e-05,-5.008915305662374e-07
0,23.521,4.60819,-6.3163e-05,8.450500726791231e-05,-0.00038612399274141375,0.0004074660000093261,4.5,9.054800000207247e-05,-5.014609460320964e-05,-4.877087079831968e-07
0,24.021,4.73379,-6.7057e-05,8.732896514361977e-05,-0.00037837890727477654,0.0003986508724183963,5.0,7.973017448367925e-05,-5.038665658351296e-05,-4.745418780327454e-07
0,24.521,4.8549,-7.1093e-05,9.015614046814502e-05,-0.00037063014570482174,0.00038969328617296676,5.5,7.085332475872122e-05,-5.062063914540774e-05,-4.6139103307503475e-07
0,25.021,4.97289,-7.4157e-05,9.298652999416984e-05,-0.00036287771479754337,0.0003817072447917132,6.0,6.36178741319522e-05,-5.0848050279480054e-05,-4.4825616547021227e-07
0,25.521,5.08768,-7.6646e-05,9.582013047619749e-05,-0.0003551216213131085,0.000374295751789306,6.5,5.7583961813739385e-05,-5.106889797249696e-05,-4.3513726757843377e-07
0,26.021,5.19972,-7.9227e-05,9.865693867055873e-05,-0.0003473618720058469,0.0003667918106764056,7.0,5.2398830096629376e-05,-5.128319020740392e-05,-4.2203433175984156e-07
0,26.521,5.30956,-8.1312e-05,0.00010149695133540408,-0.0003395984736242665,0.0003597834249596706,7.5,4.797112332795608e-05,-5.1490934963328286e-05,-4.089473503745906e-07
0,27.021,5.41747,-8.3237e-05,0.0001043401652307107,-0.0003318314329110294,0.0003529345981417401,8.0,4.411682476771751e-05,-5.169214021557753e-05,-3.9587631578283086e-07
0,27.521,5.52384,-8.4967e-05,0.00010718657711827548,-0.00032406075660298093,0.0003462803337212564,8.5,4.073886279073605e-05,-5.188681393563711e-05,-3.8282122034470965e-07
0,28.021,5.6287,-8.6155e-05,0.00011003618376172284,-0.0003162864514311258,0.0003401676351928487,9.0,3.779640391031652e-05,-5.2074964091174776e-05,-3.6978205642038114e-07
0,28.521,5.73268,-8.772e-05,0.00011288898192649693,-0.00030850852412063826,0.0003336775060471352,9.5,3.5123948004961596e-05,-5.2256598646036696e-05,-3.56758816369991e-07
0,29.021,5.83593,-8.8607e-05,0.0001157449683798703,-0.00030072698139086557,0.0003278649497707359,10.0,3.278649497707359e-05,-5.243172556025004e-05,-3.4375149255369e-07
0,29.521,5.93834,-8.9837e-05,0.00011860413989093436,-0.00029294182995532117,0.00032170896984625553,10.5,3.0638949509167195e-05,-5.2600352790022975e-05,-3.307600773316314e-07
0,30.021,6.04006,-9.1211e-05,0.00012146649323060803,-0.0002851530765216846,0.00031540856975229264,11.0,2.8673506341117514e-05,-5.276248828774079e-05,-3.1778456306396344e-07
0,30.521,6.14136,-9.2777e-05,0.00012433202517162737,-0.00027736072779180505,0.00030891575296343243,11.5,2.686223938812456e-05,-5.291814000197236e-05,-3.048249421108335e-07
0,31.021,6.24201,-9.4947e-05,0.00012720073248855945,-0.0002695647904617047,0.0003018185229502641,12.0,2.5151543579188677e-05,-5.306731587746455e-05,-2.918812068323974e-07
0,31.521,6.34256,-9.7249e-05,0.0001300726119577893,-0.0002617652712215684,0.0002945888831793577,12.5,2.3567110654348616e-05,-5.321002385514392e-05,-2.7895334958879914e-07
0,32.021,6.44266,-0.00010167,0.0001329476603575304,-0.00025396217675575407,0.00028523983711328446,13.0,2.194152593179111e-05,-5.3346271872118474e-05,-2.66041362740192e-07
0,32.521,6.5426,-0.00010742,0.00013582587446781588,-0.0002461555137427858,0.0002745613882106017,13.5,2.0337880608192718e-05,-5.347606786167678e-05,-2.5314523864672675e-07
0,33.021,6.64231,-0.00011588,0.000138707251070503,-0.00023834528885535375,0.00026117253992585674,14.0,1.865518142327548e-05,-5.359941975328496e-05,-2.4026496966855075e-07
0,33.521,6.74204,-0.00012788,0.00014159178694927305,-0.00023053150876032463,0.00024424329570959765,14.5,1.684436522135156e-05,-5.371633547259099e-05,-2.2740054816581645e-07
0,34.021,6.84166,-0.00014167,0.00014447947888963225,-0.00022271418011872435,0.0002255236590083566,15.0,1.5034910600557106e-05,-5.3826822941423e-05,-2.1455196649867123e-07
0,34.521,6.94135,-0.0001591,0.0001473703236789083,-0.00021489330958575706,0.00020316363326466536,15.5,1.3107331178365507e-05,-5.393089007778881e-05,-2.0171921702726753e-07
0,35.021,7.04077,-0.00017776,0.00015026431810625466,-0.00020706890381078265,0.0001795732219170373,16.0,1.1223326369814831e-05,-5.4028544795875965e-05,-1.8890229211175526e-07
0,35.521,7.14027,-0.00019877,0.00015316145896264368,-0.00019924096943734274,0.00015363242839998642,16.5,9.311056266665844e-06,-5.4119795006053436e-05,-1.7610118411228433e-07
0,36.021,7.23956,-0.00022182,0.0001560617430408761,-0.0001914095131031416,0.0001256512561440177,17.0,7.391250361412806e-06,-5.4204648614868166e-05,-1.6331588538900127e-07
0,36.521,7.33918,-0.00024646,0.00015896516713557584,-0.00018357454144004963,9.607970857562547e-05,17.5,5.490269061464313e-06,-5.428311352504854e-05,-1.5054638830206276e-07
0,37.021,7.43872,-0.0002707,0.0001618717280431883,-0.00017573606107411377,6.690778911730205e-05,18.0,3.7170993954056695e-06,-5.435519763550309e-05,-1.3779268521161362e-07
0,37.521,7.53851,-0.0002928,0.00016478142256198033,-0.0001678940786255384,3.987550118751871e-05,18.5,2.155432496622633e-06,-5.4420908841319596e-05,-1.2505476847780462e-07
0,38.021,7.63826,-0.00031304,0.0001676942474920489,-0.0001600486007087027,1.4702848200751615e-05,19.0,7.738341158290324e-07,-5.448025503376687e-05,-1.1233263046078736e-07
0,38.521,7.73811,-0.00032927,0.000170610199635309,-0.00015219963393216067,-6.460166432530317e-06,19.5,-3.31290586283606e-07,-5.4533244100292986e-05,-9.962626352071006e-08
0,39.021,7.8377,-0.00034369,0.00017352927579550054,-0.00014434718489862372,-2.5813539305875747e-05,20.0,-1.2906769652937874e-06,-5.457988392452702e-05,-8.6935660017726e-08
0,39.521,7.93713,-0.00035636,0.00017645147277818747,-0.00013649126020497462,-4.3417267016837915e-05,20.5,-2.117915464235996e-06,-5.462018238627732e-05,-7.426081231198088e-08
0,40.021,8.03641,-0.000368,0.00017937678739075782,-0.0001286318664422692,-5.999134616697298e-05,21.0,-2.856730769855856e-06,-5.465414736153195e-05,-6.160171276362798e-08
0,40.521,8.13526,-0.00037759,0.0001823052164424202,-0.00012076901019572941,-7.45157733618504e-05,21.5,-3.4658499238069957e-06,-5.46817867224604e-05,-4.895835373281637e-08
0,41.021,8.23388,-0.00038577,0.00018523675674421165,-0.00011290269804474853,-8.763054521103983e-05,22.0,-3.983206600501811e-06,-5.470310833741144e-05,-3.6330727579695954e-08
0,41.521,8.33232,-0.00039312,0.0001881714051089889,-0.00010503293656287903,-9.991565832813209e-05,22.5,-4.440695925694759e-06,-5.471812007091267e-05,-2.37188266644158e-08
0,42.021,8.43068,-0.00039819,0.0001911091583514336,-9.715973231785163e-05,-0.00010992110933071475,23.0,-4.7791786665528154e-06,-5.4726829783675315e-05,-1.1122643347129205e-08
0,42.521,8.52918,-0.0004016,0.0001940500132880489,-8.928309187156494e-05,-0.00011826689484038615,23.5,-5.032633822995155e-06,-5.472924533258638e-05,1.4578300120181577e-09
0,43.021,8.62751,-0.00040475,0.00019699396673716462,-8.14030217800802e-05,-0.00012635301148275518,24.0,-5.2647088117814655e-06,-5.472537457071607e-05,1.4022601052873836e-08
0,43.521,8.72557,-0.00040619,0.00019994101551893285,-7.351952859363173e-05,-0.00013272945588743544,24.5,-5.417528811732059e-06,-5.4715225347313394e-05,2.6571677415287073e-08
0,44.021,8.82345,-0.00040648,0.00020289115645532978,-6.56326188566217e-05,-0.00013795622468804855,25.0,-5.5182489875219424e-06,-5.4698805507807534e-05,3.91050667391105e-08
0,44.521,8.92089,-0.00040587,0.00020584438637015132,-5.77422991076184e-05,-0.0001422833145222303,25.5,-5.579737824401188e-06,-5.467612289380736e-05,5.162277666418997e-08
0,45.021,9.01796,-0.00040501000000000003,0.00020880070208902438,-4.9848575879364934e-05,-0.00014636072203161072,26.0,-5.629258539677335e-06,-5.464718534310274e-05,6.412481483038066e-08
0,45.521,9.11464,-0.00040332,0.00021176010043939212,-4.195145569876879e-05,-0.00014960844386183907,26.5,-5.645601655163739e-06,-5.461200068966371e-05,7.661118887752843e-08
0,46.021,9.21086,-0.00040137,0.00021472257825052438,-3.405094508690011e-05,-0.00015259647666257553,27.0,-5.651721357873168e-06,-5.457057676363868e-05,8.90819064454842e-08
