,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,23.465,0.0,2.9017e-05,8.418892448522862e-05,-0.00038699121309855415,0.0005001971375837828,0.0,inf,0.00046711308899466007,-4.7615145494060055e-05
0,23.469,0.02167,2.8213e-05,8.421150048694166e-05,-0.0003869292703196081,0.0004993537708065498,0.004000000000001336,0.12483844270159576,0.0004669226639213864,-4.7597391774144584e-05
0,23.464,0.04333,2.8435e-05,8.418328051701136e-05,-0.00038700669875645424,0.0004996249792734656,-0.0010000000000012221,-0.49962497927285504,0.0004671607063596454,-4.761958451598725e-05
0,23.465,0.065,2.8902e-05,8.418892448522862e-05,-0.00038699121309855415,0.0005000821375837828,0.0,inf,0.00046711308899466007,-4.7615145494060055e-05
0,23.462,0.08667,2.822e-05,8.417199261922907e-05,-0.00038703767002805194,0.000499429662647281,-0.0030000000000001137,-0.16647655421575402,0.00046725595440727367,-4.76284632702251e-05
0,23.457,0.10833,2.8213e-05,8.414377310024881e-05,-0.00038711509794918386,0.0004994718710494327,-0.007999999999999119,-0.06243398388118596,0.00046749415222373236,-4.765066430002698e-05
0,23.45,0.13,2.822e-05,8.4104266314825e-05,-0.00038722349641990075,0.0004995477627347258,-0.015000000000000568,-0.03330318418231379,0.0004678278156869241,-4.768175568912164e-05
0,23.458,0.15167,2.8105e-05,8.414941697827607e-05,-0.0003870996123944287,0.0004993540293727048,-0.0070000000000014495,-0.07133628991037164,0.0004674465037797919,-4.764622362041692e-05
0,23.453,0.17333,2.8615e-05,8.412119771698551e-05,-0.0003871770400208623,0.0004999132377378478,-0.012000000000000455,-0.04165943647815241,0.00046768479040984305,-4.7668429386910866e-05
0,23.452,0.195,2.8407e-05,8.411555390338069e-05,-0.0003871925255019438,0.0004997150794053245,-0.012999999999998124,-0.038439621492722814,0.000467732461060142,-4.767287125077524e-05
0,23.447,0.21667,2.6561e-05,8.408733502862642e-05,-0.00038726995268632304,0.0004979182877149495,-0.018000000000000682,-0.027662127095273922,0.0004679708809461098,-4.76950841232828e-05
0,23.441,0.23833,2.807e-05,8.40534728041185e-05,-0.00038736286482130185,0.0004994863376254204,-0.02400000000000091,-0.020811930734391727,0.0004682571314363796,-4.7721747388158685e-05
0,23.444,0.26,2.7631e-05,8.407040385839237e-05,-0.000387316408820124,0.0004990178126785163,-0.021000000000000796,-0.02376275298469035,0.00046811398619379604,-4.7708414689569946e-05
0,23.442,0.28167,2.7588e-05,8.405911647599122e-05,-0.00038734737950231295,0.0004989944959783042,-0.022999999999999687,-0.021695412868622217,0.0004682094119112459,-4.771730291836253e-05
0,23.44,0.30333,2.8178e-05,8.404782914513045e-05,-0.00038737835012555774,0.0004996041792706882,-0.02499999999999858,-0.019984167170828664,0.0004683048554061011,-4.772619209489673e-05
0,23.437,0.325,2.6892e-05,8.403089824547683e-05,-0.0003874248059499083,0.0004983477041953852,-0.027999999999998693,-0.01779813229269316,0.0004684480539851656,-4.773952763682739e-05
0,23.433,0.34667,2.7352e-05,8.400832389299489e-05,-0.0003874867468427346,0.0004988470707357295,-0.03200000000000003,-0.015588970960491534,0.00046863904766252944,-4.775731167698283e-05
0,23.431,0.36833,2.7021e-05,8.399703679406404e-05,-0.00038751771720073325,0.0004985357539947973,-0.03399999999999892,-0.014662816293965092,0.00046873457117916733,-4.776620511899814e-05
0,23.431,0.39,2.6504e-05,8.399703679406404e-05,-0.00038751771720073325,0.0004980187539947973,-0.03399999999999892,-0.01464761041161215,0.00046873457117916733,-4.776620511899814e-05
0,23.427,0.41167,2.6504e-05,8.397446275082345e-05,-0.00038757965773988934,0.0004980581204907128,-0.038000000000000256,-0.013106792644492354,0.0004689256715778355,-4.778399484716408e-05
