,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.81,0.0,2.4334e-05,8.049488613324357e-05,-0.00019468767560103066,0.0002995165617342742,0.0,inf,0.00014902438164544722,9.411387301058288e-06
0,22.813,0.02167,2.4378e-05,8.051179278099462e-05,-0.0001946468048735512,0.00029953659765454585,0.0030000000000001137,0.0998455325515115,0.00014905261605385745,9.411551639032686e-06
0,22.808,0.04333,2.4252e-05,8.048361509924856e-05,-0.0001947149227241752,0.00029945053782342375,-0.0019999999999988916,-0.14972526891179486,0.0001490055589804043,9.411277741255618e-06
0,22.812,0.065,2.4595e-05,8.050615721884227e-05,-0.00019466042845507972,0.00029976158567392196,0.0020000000000024443,0.1498807928367778,0.00014904320452960654,9.411496859938499e-06
0,22.813,0.08667,2.4344e-05,8.051179278099462e-05,-0.0001946468048735512,0.0002995025976545458,0.0030000000000001137,0.09983419921817815,0.00014905261605385745,9.411551639032686e-06
0,22.813,0.10833,2.4625e-05,8.051179278099462e-05,-0.0001946468048735512,0.00029978359765454583,0.0030000000000001137,0.09992786588484483,0.00014905261605385745,9.411551639032686e-06
0,22.807,0.13,2.4503e-05,8.047797960160277e-05,-0.00019472854627719527,0.000299709525878798,-0.0030000000000001137,-0.09990317529292889,0.00014899614773005235,9.411222961008361e-06
0,22.815,0.15167,2.4437e-05,8.052306394400188e-05,-0.0001946195576933915,0.0002995796216373934,0.005000000000002558,0.05991592432744802,0.00014907143926669308,9.411661196529218e-06
0,22.813,0.17333,2.4501e-05,8.051179278099462e-05,-0.0001946468048735512,0.00029965959765454583,0.0030000000000001137,0.09988653255151149,0.00014905261605385745,9.411551639032686e-06
0,22.807,0.195,2.4717e-05,8.047797960160277e-05,-0.00019472854627719527,0.00029992352587879804,-0.0030000000000001137,-0.09997450862626223,0.00014899614773005235,9.411222961008361e-06
0,22.808,0.21667,2.4769e-05,8.048361509924856e-05,-0.0001947149227241752,0.00029996753782342376,-0.0019999999999988916,-0.14998376891179502,0.0001490055589804043,9.411277741255618e-06
0,22.815,0.23833,2.4673e-05,8.052306394400188e-05,-0.0001946195576933915,0.0002998156216373934,0.005000000000002558,0.059963124327448006,0.00014907143926669308,9.411661196529218e-06
0,22.818,0.26,2.4391e-05,8.053997078527001e-05,-0.0001945786868803867,0.00029950965766565674,0.008000000000002672,0.03743870720819459,0.00014909967449678457,9.411825531044427e-06
0,22.813,0.28167,2.467e-05,8.051179278099462e-05,-0.0001946468048735512,0.0002998285976545458,0.0030000000000001137,0.0999428658848448,0.00014905261605385745,9.411551639032686e-06
0,22.816,0.30333,2.4703e-05,8.052869954485679e-05,-0.0001946059340947586,0.0002998376336396154,0.006000000000000227,0.04997293893993401,0.00014908085095527782,9.411715974931567e-06
0,22.809,0.325,2.454e-05,8.04892506097955e-05,-0.00019470129916545308,0.00029973054977524855,-0.0009999999999976694,-0.2997305497759471,0.00014901497028553534,9.41133252127226e-06
0,22.812,0.34667,2.4753e-05,8.050615721884227e-05,-0.00019466042845507972,0.00029991958567392196,0.0020000000000024443,0.1499597928367777,0.00014904320452960654,9.411496859938499e-06
0,22.812,0.36833,2.4988e-05,8.050615721884227e-05,-0.00019466042845507972,0.00030015458567392197,0.0020000000000024443,0.15007729283677756,0.00014904320452960654,9.411496859938499e-06
0,22.813,0.39,2.4984e-05,8.051179278099462e-05,-0.0001946468048735512,0.00030014259765454585,0.0030000000000001137,0.1000475325515115,0.00014905261605385745,9.411551639032686e-06
0,22.815,0.41167,2.5066e-05,8.052306394400188e-05,-0.0001946195576933915,0.0003002086216373934,0.005000000000002558,0.06004172432744796,0.00014907143926669308,9.411661196529218e-06
0,22.817,0.43333,2.4946e-05,8.05343351586137e-05,-0.00019459231049042368,0.00030007264564903735,0.0070000000000014495,0.04286752080699646,0.00014909026269864338,9.411770753103304e-06
0,22.817,0.455,2.4844e-05,8.05343351586137e-05,-0.00019459231049042368,0.00029997064564903737,0.0070000000000014495,0.042852949378425036,0.00014909026269864338,9.411770753103304e-06
0,22.816,0.47667,2.5219e-05,8.052869954485679e-05,-0.0001946059340947586,0.0003003536336396154,0.006000000000000227,0.050058938939934,0.00014908085095527782,9.411715974931567e-06
0,22.818,0.49833,2.5177e-05,8.053997078527001e-05,-0.0001945786868803867,0.00030029565766565675,0.008000000000002672,0.03753695720819456,0.00014909967449678457,9.411825531044427e-06
0,22.826,0.52,2.5571e-05,8.058505626296671e-05,-0.000194469697794835,0.0003006257540578017,0.01600000000000179,0.018789109628610506,0.0001491749708539044,9.412263746271487e-06
0,22.826,0.54167,2.565e-05,8.058505626296671e-05,-0.000194469697794835,0.0003007047540578017,0.01600000000000179,0.018794047128610505,0.0001491749708539044,9.412263746271487e-06
0,22.822,0.56333,2.561e-05,8.056251342091099e-05,-0.0001945241923832254,0.0003006967058041364,0.012000000000000455,0.02505805881701042,0.00014913732223712992,9.412044640502826e-06
0,22.818,0.585,2.5694e-05,8.053997078527001e-05,-0.0001945786868803867,0.0003008126576656567,0.008000000000002672,0.03760158220819453,0.00014909967449678457,9.411825531044427e-06
0,22.821,0.60667,2.5592e-05,8.055687774264925e-05,-0.0001945378160160688,0.00030068669375871805,0.011000000000002785,0.027335153978058354,0.0001491279102198758,9.41198986348414e-06
0,22.822,0.62833,2.5588e-05,8.056251342091099e-05,-0.0001945241923832254,0.0003006747058041364,0.012000000000000455,0.025056225483677082,0.00014913732223712992,9.412044640502826e-06
0,22.822,0.65,2.5678e-05,8.056251342091099e-05,-0.0001945241923832254,0.0003007647058041364,0.012000000000000455,0.025063725483677083,0.00014913732223712992,9.412044640502826e-06
0,22.817,0.67167,2.5698e-05,8.05343351586137e-05,-0.00019459231049042368,0.00030082464564903737,0.0070000000000014495,0.04297494937842501,0.00014909026269864338,9.411770753103304e-06
0,22.823,0.69333,2.5763e-05,8.056814911207386e-05,-0.00019451056874468,0.00030084171785675385,0.013000000000001677,0.023141670604362695,0.00014914673430915792,9.412099417290905e-06
0,22.823,0.715,2.5887e-05,8.056814911207386e-05,-0.00019451056874468,0.00030096571785675385,0.013000000000001677,0.023151209065901155,0.00014914673430915792,9.412099417290905e-06
0,22.822,0.73667,2.5958e-05,8.056251342091099e-05,-0.0001945241923832254,0.00030104470580413637,0.012000000000000455,0.025087058817010413,0.00014913732223712992,9.412044640502826e-06
0,22.827,0.75833,2.6163e-05,8.059069200573414e-05,-0.00019445607413348664,0.0003012097661392208,0.017000000000003013,0.017718221537598083,0.0001491843831450384,9.412318522137135e-06
0,22.832,0.78,2.5974e-05,8.061887091307708e-05,-0.0001943879557412074,0.0003009808266542845,0.022000000000002018,0.013680946666102586,0.00014923144542234104,9.41259239800628e-06
0,22.824,0.80167,2.6141e-05,8.057378481613788e-05,-0.000194496945100436,0.0003012117299165739,0.014000000000002899,0.02151512356546511,0.0001491561464359633,9.412154193848374e-06
0,22.836,0.82333,2.6328e-05,8.064141427116533e-05,-0.00019433346092475462,0.00030130287519591995,0.0259999999999998,0.011588572122920087,0.00014926909623012678,9.412811494550724e-06
0,22.832,0.845,2.6221e-05,8.061887091307708e-05,-0.0001943879557412074,0.00030122782665428446,0.022000000000002018,0.013692173938829856,0.00014923144542234104,9.41259239800628e-06
0,22.825,0.86667,2.6182e-05,8.057942053310216e-05,-0.00019448332145048826,0.00030124474198359045,0.015000000000000568,0.020082982798905268,0.00014916555861754603,9.412208970175232e-06
0,22.829,0.88833,2.6211e-05,8.060196352996894e-05,-0.00019442882679367862,0.00030124179032364756,0.019000000000001904,0.015854831069664073,0.00014920320789163326,9.412428073176608e-06
0,22.829,0.91,2.6278e-05,8.060196352996894e-05,-0.00019442882679367862,0.0003013087903236476,0.019000000000001904,0.015858357385453548,0.00014920320789163326,9.412428073176608e-06
0,22.831,0.93167,2.6214e-05,8.061323510580656e-05,-0.00019440157943106592,0.0003012288145368725,0.021000000000000796,0.01434422926366005,0.00014922203285733064,9.412537623293663e-06
0,22.828,0.95333,2.6484e-05,8.059632776140097e-05,-0.00019444245046643452,0.0003015227782278355,0.018000000000000682,0.016751265457101337,0.000149193795490948,9.412373297772175e-06
