,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,20.095,0.0,4.94e-06,6.524205845459628e-05,-0.0001368892120865335,0.00020707127054112978,0.0,inf,7.930679326227609e-05,4.021621401093031e-06
0,20.099,0.02167,5.101e-06,6.526446018600626e-05,-0.00013684096038865407,0.00020720642057466034,0.004000000000001336,0.05180160514364778,7.932287993256838e-05,4.0217137449590385e-06
0,20.102,0.04333,5.4106e-06,6.528126162076969e-05,-0.00013680477146271047,0.00020749663308348016,0.0070000000000014495,0.02964237615477674,7.93349451776895e-05,4.021783001943125e-06
0,20.099,0.065,5.4359e-06,6.526446018600626e-05,-0.00013684096038865407,0.00020754132057466035,0.004000000000001336,0.05188533014364776,7.932287993256838e-05,4.0217137449590385e-06
0,20.101,0.08667,5.5125e-06,6.527566112954353e-05,-0.0001368168344525536,0.00020760499558209714,0.006000000000000227,0.03460083259701488,7.93309234062298e-05,4.021759916368946e-06
0,20.106,0.10833,5.6962e-06,6.530366371539434e-05,-0.00013675651935807654,0.00020775638307347086,0.011000000000002785,0.018886943915765297,7.935103249438052e-05,4.021875343368024e-06
0,20.107,0.13,5.8358e-06,6.53092642714792e-05,-0.0001367444562956014,0.0002078895205670806,0.012000000000000455,0.017324126713922725,7.935505438126612e-05,4.021898428506295e-06
0,20.114,0.15167,5.7299e-06,6.534846852728534e-05,-0.0001366600144515305,0.00020773838297881582,0.019000000000001904,0.010933599104147106,7.938320823584581e-05,4.022060022033123e-06
0,20.116,0.17333,5.9156e-06,6.535966985997486e-05,-0.0001366358880796302,0.00020791115793960505,0.021000000000000796,0.009900531330457008,7.939125240205829e-05,4.022106190827592e-06
0,20.112,0.195,5.9727e-06,6.533726724648314e-05,-0.00013668414076532624,0.00020799410801180938,0.01699999999999946,0.012234947530106823,7.93751641619705e-05,4.022013852889932e-06
0,20.113,0.21667,6.0422e-06,6.534286788039811e-05,-0.00013667207761569253,0.00020805714549609064,0.018000000000000682,0.011558730305337932,7.937918618736595e-05,4.022036937505117e-06
0,20.116,0.23833,6.4219e-06,6.535966985997486e-05,-0.0001366358880796302,0.00020841745793960507,0.021000000000000796,0.009924640854266531,7.939125240205829e-05,4.022106190827592e-06
0,20.118,0.26,6.2959e-06,6.537087124454909e-05,-0.00013661176164962447,0.00020827853289417356,0.022999999999999687,0.009055588386703322,7.93992966606088e-05,4.022152359273344e-06
0,20.123,0.28167,6.4095e-06,6.53988749329858e-05,-0.00013655144532040333,0.00020835982025338914,0.028000000000002245,0.007441422151906158,7.941940771095512e-05,4.022267778862089e-06
0,20.115,0.30333,6.4537e-06,6.535406918714484e-05,-0.00013664795127284277,0.0002084557204599876,0.019999999999999574,0.010422786022999602,7.938723030740964e-05,4.022083106473947e-06
0,20.116,0.325,6.6166e-06,6.535966985997486e-05,-0.0001366358880796302,0.00020861215793960505,0.021000000000000796,0.00993391228283796,7.939125240205829e-05,4.022106190827592e-06
0,20.119,0.34667,6.6692e-06,6.537647195629329e-05,-0.00013659969841283304,0.00020864537036912635,0.02400000000000091,0.008693557098713268,7.940331882451022e-05,4.022175443365451e-06
0,20.113,0.36833,6.5407e-06,6.534286788039811e-05,-0.00013667207761569253,0.00020855564549609063,0.018000000000000682,0.011586424749782373,7.937918618736595e-05,4.022036937505117e-06
0,20.119,0.39,6.9028e-06,6.537647195629329e-05,-0.00013659969841283304,0.00020887897036912632,0.02400000000000091,0.0087032904320466,7.940331882451022e-05,4.022175443365451e-06
0,20.115,0.41167,6.921e-06,6.535406918714484e-05,-0.00013664795127284277,0.00020892302045998762,0.019999999999999574,0.010446151022999603,7.938723030740964e-05,4.022083106473947e-06
0,20.122,0.43333,6.9242e-06,6.539327416935515e-05,-0.00013656350861530105,0.00020888098278465622,0.027000000000001023,0.007736332695727715,7.941538545471827e-05,4.022244695118698e-06
0,20.127,0.455,7.0067e-06,6.54212781172189e-05,-0.0001365031919955623,0.0002089311701127812,0.03200000000000003,0.006529099066024407,7.943549696673912e-05,4.022360112963874e-06
0,20.13,0.47667,7.0904e-06,6.543808064159076e-05,-0.00013646700184940987,0.00020899548249100062,0.03500000000000014,0.005971299499742851,7.94475641509528e-05,4.022429362624847e-06
0,20.122,0.49833,7.1112e-06,6.539327416935515e-05,-0.00013656350861530105,0.00020906798278465618,0.027000000000001023,0.007743258621653639,7.941538545471827e-05,4.022244695118698e-06
0,20.116,0.52,7.1073e-06,6.535966985997486e-05,-0.0001366358880796302,0.00020910285793960507,0.021000000000000796,0.009957278949504626,7.939125240205829e-05,4.022106190827592e-06
0,20.125,0.54167,7.1248e-06,6.541007649915956e-05,-0.00013652731868703423,0.0002090621951861938,0.030000000000001137,0.006968739839539529,7.942745229268027e-05,4.022313946087338e-06
0,20.122,0.56333,7.2047e-06,6.539327416935515e-05,-0.00013656350861530105,0.0002091614827846562,0.027000000000001023,0.007746721584616602,7.941538545471827e-05,4.022244695118698e-06
