Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
25.076,5.4383300000000006,-5.44e-06,9.33e-05,-0.000120374,0.000208237,3.886,5.36e-05,-2.0181854097390227e-05,4.88e-06,2.7164753636113245e-05,-1.2426854113943454e-05,0.00020974695050200623
25.149,5.46,-5.62e-06,9.37e-05,-0.000119397,0.000207488,3.959,5.24e-05,-1.9754241527382595e-05,4.88e-06,2.7508846089221994e-05,-1.2008159308436322e-05,0.0002089020240128912
25.226,5.4816699999999985,-5.83e-06,9.41e-05,-0.000118367,0.000206681,4.0360000000000005,5.12e-05,-1.9303145445333757e-05,4.88e-06,2.787192113468725e-05,-1.1566464471765342e-05,0.0002080188528887378
25.297,5.50333,-5.96e-06,9.46e-05,-0.000117416,0.000206011,4.107,5.02e-05,-1.888715177679294e-05,4.88e-06,2.8206821226678044e-05,-1.1159134787468323e-05,0.00020721179387245324
25.378,5.525,-6.12e-06,9.5e-05,-0.000116332,0.000205225,4.188,4.9e-05,-1.841251129463227e-05,4.88e-06,2.8589026929629405e-05,-1.0694373067784698e-05,0.00020629957067337532
25.462,5.54667,-6.29e-06,9.55e-05,-0.000115208,0.0002044,4.272,4.78e-05,-1.792022832233786e-05,4.88e-06,2.89855421053151e-05,-1.0212328547027933e-05,0.00020536309103545513
25.545,5.56833,-6.44e-06,9.6e-05,-0.000114096,0.000203613,4.355,4.68e-05,-1.7433742647846723e-05,4.88e-06,2.9377490525929473e-05,-9.735953248247753e-06,0.00020444724194034343
25.624,5.59,-6.75e-06,9.64e-05,-0.000113039,0.000202689,4.434,4.57e-05,-1.6970643703682203e-05,4.88e-06,2.97506916963914e-05,-9.282471719755903e-06,0.00020358424070185545
25.709,5.6116699999999975,-6.88e-06,9.69e-05,-0.0001119,0.000201902,4.519,4.47e-05,-1.6472309121365672e-05,4.89e-06,3.015239169239063e-05,-8.794478768923292e-06,0.00020266513448536478
25.785,5.63333,-6.96e-06,9.73e-05,-0.000110883,0.000201237,4.595,4.38e-05,-1.6026683584232336e-05,4.89e-06,3.0511694257346483e-05,-8.358094408287205e-06,0.0002018515896831641
25.858,5.655,-7.1e-06,9.77e-05,-0.000109905,0.000200542,4.668,4.3e-05,-1.559859893538601e-05,4.89e-06,3.085693424607558e-05,-7.938881301682694e-06,0.00020107745134441158
25.945,5.67667,-7.299999999999999e-06,9.82e-05,-0.00010874,0.000199668,4.755,4.2e-05,-1.508835239644006e-05,4.89e-06,3.1268538701625936e-05,-7.439201490426508e-06,0.0002001641350787525
26.034,5.69833,-7.38e-06,9.87e-05,-0.000107548,0.000198902,4.8439999999999985,4.11e-05,-1.4566304640753307e-05,4.89e-06,3.1689778627667226e-05,-6.9279563941790285e-06,0.00019924021871290545
26.115,5.72,-7.79e-06,9.92e-05,-0.000106463,0.000197868,4.925,4.02e-05,-1.409111975333565e-05,4.89e-06,3.20733065806416e-05,-6.462597005301421e-06,0.00019840843995818885
26.2,5.74167,-7.75e-06,9.97e-05,-0.000105325,0.000197245,5.01,3.94e-05,-1.3592404626902935e-05,4.89e-06,3.247593018007849e-05,-5.974186302461053e-06,0.00019754484850322332
26.287,5.7633300000000025,-7.92e-06,0.000100167,-0.000104159,0.00019641,5.097,3.85e-05,-1.3081886819604586e-05,4.89e-06,3.2888192653293506e-05,-5.474208712821379e-06,0.00019667070745463882
26.367,5.785,-7.94e-06,0.000100622,-0.000103088,0.000195766,5.1770000000000005,3.78e-05,-1.2612384265330012e-05,4.9000000000000005e-06,3.326743218099847e-05,-5.014392365898091e-06,0.0001958755752029412
26.464,5.80667,-8.1e-06,0.000101173,-0.000101788,0.000194864,5.274,3.69e-05,-1.204303417019336e-05,4.9000000000000005e-06,3.3727449717494036e-05,-4.4567791574940946e-06,0.0001949225627046819
26.547,5.82833,-8.02e-06,0.000101645,-0.000100676,0.000194296,5.357,3.63e-05,-1.1555790230531084e-05,4.9000000000000005e-06,3.412123790304169e-05,-3.979571475301764e-06,0.00019411668998157205
26.63,5.85,-8.16e-06,0.000102116,-9.96e-05,0.000193519,5.44,3.5600000000000005e-05,-1.1068483505330753e-05,4.9000000000000005e-06,3.451517813711849e-05,-3.5022948809216027e-06,0.00019331961189320652
26.719,5.87167,-8.37e-06,0.000102622,-9.84e-05,0.000192621,5.529,3.48e-05,-1.0545880034617053e-05,4.9000000000000005e-06,3.4937764851124785e-05,-2.990439805973416e-06,0.00019247463008342097
26.81,5.8933300000000015,-8.27e-06,0.00010314,-9.72e-05,0.000192018,5.62,3.4200000000000005e-05,-1.0011458032391403e-05,4.9000000000000005e-06,3.537002852778241e-05,-2.4670004576910443e-06,0.0001916209961738516
26.901,5.915,-8.41e-06,0.000103658,-9.59e-05,0.000191181,5.711,3.35e-05,-9.476960572590669e-06,4.9000000000000005e-06,3.580247477410602e-05,-1.94347829472789e-06,0.00019077775028007786
26.986,5.93667,-8.69e-06,0.000104141,-9.48e-05,0.000190247,5.796,3.28e-05,-8.97763654921814e-06,4.9000000000000005e-06,3.620657292958008e-05,-1.454399279069296e-06,0.00018999943008256293
27.066,5.95833,-8.88e-06,0.000104596,-9.37e-05,0.00018944,5.876,3.2200000000000003e-05,-8.507624394795896e-06,4.91e-06,3.6587046007664076e-05,-9.940236251600576e-07,0.0001892750756925191
27.174,5.98,-8.7e-06,0.000105211,-9.23e-05,0.000188781,5.984,3.15e-05,-7.873015497873205e-06,4.91e-06,3.710090823275027e-05,-3.7241499384228977e-07,0.00018830970516786776
27.26,6.00167,-8.76e-06,0.0001057,-9.11e-05,0.000188064,6.07,3.1e-05,-7.367602790037814e-06,4.91e-06,3.751027845827742e-05,1.2265305169523218e-07,0.00018755119780749038
27.34800000000001,6.0233300000000005,-8.88e-06,0.000106201,-8.99e-05,0.000187261,6.158,3.04e-05,-6.850366558766065e-06,4.91e-06,3.7929337392424677e-05,6.293108370837306e-07,0.00018678436374989027
27.437,6.045,-8.8e-06,0.000106708,-8.87e-05,0.00018666,6.247000000000001,2.99e-05,-6.327180899545759e-06,4.91e-06,3.8353331618948966e-05,1.1418048239448956e-06,0.00018601833866714517
27.533,6.0666699999999985,-8.99e-06,0.000107255,-8.75e-05,0.000185727,6.343,2.93e-05,-5.762764927899969e-06,4.91e-06,3.881086896421245e-05,1.694696075218855e-06,0.00018520273254019293
27.622,6.08833,-8.89e-06,0.000107762,-8.63e-05,0.000185142,6.432,2.88e-05,-5.239429311366603e-06,4.91e-06,3.9235225162490527e-05,2.2073546091694432e-06,0.00018445642451743146
27.714,6.11,-8.97e-06,0.000108286,-8.499999999999999e-05,0.000184352,6.524,2.8300000000000014e-05,-4.698377345860316e-06,4.91e-06,3.967406843745271e-05,2.737376964218841e-06,0.00018369483364182897
27.805,6.13167,-9.18e-06,0.000108805,-8.379999999999999e-05,0.000183438,6.615,2.77e-05,-4.163130557879348e-06,4.92e-06,4.010832455319819e-05,3.261721400445836e-06,0.00018295133145053582
27.893,6.15333,-8.91e-06,0.000109306,-8.26e-05,0.000183032,6.7029999999999985,2.730000000000001e-05,-3.645457553347678e-06,4.92e-06,4.0528437449491306e-05,3.7688584417622957e-06,0.00018224156004943375
27.988000000000003,6.175,-8.83e-06,0.000109848,-8.14e-05,0.000182381,6.797999999999999,2.68e-05,-3.0865268699402718e-06,4.92e-06,4.0982159186101104e-05,4.3164227642023145e-06,0.0001814854381371012
28.081,6.19667,-8.75e-06,0.000110378,-8.01e-05,0.000181739,6.891,2.64e-05,-2.5392835585266726e-06,4.92e-06,4.142652066724869e-05,4.8525467377162216e-06,0.00018075533289448463
28.186,6.21833,-8.7e-06,0.000110977,-7.87e-05,0.000180981,6.996,2.59e-05,-1.9213335745275895e-06,4.92e-06,4.192844706443679e-05,5.457951820188389e-06,0.00017994294267806478
28.271,6.24,-8.86e-06,0.000111462,-7.759999999999999e-05,0.000180165,7.081,2.54e-05,-1.4210148425158192e-06,4.92e-06,4.233494543901938e-05,5.948122291773913e-06,0.00017929449053114295
28.368,6.26167,-8.58e-06,0.000112016,-7.63e-05,0.000179692,7.178,2.5e-05,-8.499825310363807e-07,4.92e-06,4.279902523093154e-05,6.507581444943311e-06,0.0001785644745533189
28.466,6.28333,-8.67e-06,0.000112575,-7.49e-05,0.000178853,7.276,2.46e-05,-2.7297632120351634e-07,4.93e-06,4.326809863132615e-05,7.072903623305608e-06,0.0001778376630689599
28.566,6.305,-8.61e-06,0.000113146,-7.36e-05,0.000178145,7.376,2.42e-05,3.158956264938395e-07,4.93e-06,4.37469617056924e-05,7.649861828975627e-06,0.00017710705446922923
28.66800000000001,6.32667,-8.61e-06,0.000113728,-7.219999999999999e-05,0.00017735,7.478,2.37e-05,9.16638765852823e-07,4.93e-06,4.423562749530062e-05,8.238462041854158e-06,0.00017637323070666697
28.765,6.3483300000000025,-8.22e-06,0.000114282,-7.09e-05,0.000176995,7.575,2.34e-05,1.4880215385695492e-06,4.93e-06,4.470055020882897e-05,8.798305642673583e-06,0.00017568597493927997
