,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.19,0.0,1.2758e-05,7.138227521021924e-05,-0.0001723084579889813,0.0002564487331992005,0.0,inf,6.257838621103948e-05,4.818359582440927e-06
0,21.197,0.02167,1.3034e-05,7.142157769689326e-05,-0.0001722150435811247,0.00025667062127801793,0.006999999999997897,0.03666723161115643,6.261211509254148e-05,4.818463703570518e-06
0,21.201,0.04333,1.3141e-05,7.144403654545887e-05,-0.00017216166369763558,0.00025674670024309444,0.010999999999999233,0.023340609113010214,6.263138906634994e-05,4.818523200796677e-06
0,21.208,0.065,1.3471e-05,7.148334002876275e-05,-0.00017206824851328552,0.0002570225885420483,0.01799999999999713,0.014279032696782738,6.266511909317363e-05,4.818627319958651e-06
0,21.203,0.08667,1.3474e-05,7.145526604740264e-05,-0.00017213497369538387,0.0002570642397427865,0.012999999999998124,0.019774172287909505,6.264102614250006e-05,4.818552949256436e-06
0,21.21,0.10833,1.3711e-05,7.149456971190706e-05,-0.00017204155836985854,0.0002572471280817656,0.019999999999999574,0.012862356404088556,6.267475637756256e-05,4.818657068060664e-06
0,21.21,0.13,1.3626e-05,7.149456971190706e-05,-0.00017204155836985854,0.0002571621280817656,0.019999999999999574,0.012858106404088554,6.267475637756256e-05,4.818657068060664e-06
0,21.211,0.15167,1.4022e-05,7.150018457289554e-05,-0.0001720282132830174,0.00025755039785591293,0.020999999999997243,0.012264304659806987,6.26795750420673e-05,4.8186719420733406e-06
0,21.212,0.17333,1.4255e-05,7.150579944682506e-05,-0.0001720148681860923,0.0002577756676329174,0.021999999999998465,0.011717075801497062,6.268439372144555e-05,4.818686816060465e-06
0,21.213,0.195,1.4239e-05,7.151141433369736e-05,-0.000172001523079085,0.00025775193741278235,0.022999999999999687,0.01120660597446895,6.268921241569907e-05,4.818701690022035e-06
0,21.217,0.21667,1.4221e-05,7.153387401061858e-05,-0.00017194814255021458,0.0002577030165608332,0.02699999999999747,0.009544556168920642,6.270848734145004e-05,4.818761185612786e-06
0,21.222,0.23833,1.4599e-05,7.156194889798226e-05,-0.00017188141666224337,0.00025804236556022564,0.03200000000000003,0.008063823923757044,6.273258133330118e-05,4.81883555452628e-06
0,21.225,0.26,1.4652e-05,7.157879398571234e-05,-0.00017184138100845812,0.00025807217499417045,0.03500000000000014,0.007373490714119126,6.274703790689565e-05,4.81888017556774e-06
0,21.229,0.28167,1.4961e-05,7.160125428387967e-05,-0.00017178799999557556,0.0002583502542794552,0.038999999999997925,0.006624365494345357,6.276631354658682e-05,4.81893966993195e-06
0,21.233,0.30333,1.4896e-05,7.162371478912962e-05,-0.00017173461882136025,0.0002582543336104899,0.04299999999999926,0.006005914735127775,6.27855894242543e-05,4.818999163887313e-06
0,21.234,0.325,1.5051e-05,7.162932994779665e-05,-0.00017172127350259872,0.00025840160345039535,0.04400000000000048,0.0058727637147816475,6.279040843085518e-05,4.819014037312272e-06
0,21.238,0.34667,1.5243e-05,7.165179071189163e-05,-0.00017166789212671833,0.00025856268283861,0.047999999999998266,0.005386722559137903,6.28096846059913e-05,4.819073530756583e-06
0,21.244,0.36833,1.5395e-05,7.168548224629947e-05,-0.00017158781976041142,0.00025866830200671086,0.053999999999998494,0.00479015374086515,6.283859931489454e-05,4.819162770156472e-06
0,21.246,0.39,1.548e-05,7.169671286130688e-05,-0.00017156112889097838,0.00025873784175228526,0.055999999999997385,0.004620318602719596,6.284823767018204e-05,4.819192516418682e-06
0,21.248,0.41167,1.5743e-05,7.17079435280819e-05,-0.0001715344379812165,0.0002589853815092984,0.05799999999999983,0.004465265198436193,6.285787608496015e-05,4.819222262578683e-06
0,21.253,0.43333,1.5639e-05,7.173602042150149e-05,-0.0001714677105303635,0.000258842730951865,0.06299999999999883,0.004108614777013807,6.288197238218593e-05,4.819296627531519e-06
0,21.252,0.455,1.5795e-05,7.173040501693394e-05,-0.00017148105604069923,0.00025900646105763315,0.06199999999999761,0.004177523565445857,6.287715309299512e-05,4.819281754592055e-06
0,21.261,0.47667,1.5992e-05,7.178094412394788e-05,-0.00017136094608471118,0.00025913389020865905,0.07099999999999795,0.0036497731015305143,6.292052723113738e-05,4.81941561012734e-06
0,21.257,0.49833,1.6049e-05,7.175848216919162e-05,-0.00017141432838819505,0.00025922181055738664,0.06700000000000017,0.0038689822471251636,6.290124968767914e-05,4.819356119033846e-06
0,21.257,0.52,1.6057e-05,7.175848216919162e-05,-0.00017141432838819505,0.00025922981055738665,0.06700000000000017,0.003869101650110239,6.290124968767914e-05,4.819356119033846e-06
0,21.256,0.54167,1.5987e-05,7.175286671285558e-05,-0.00017142767393886135,0.0002591675406517169,0.06599999999999895,0.00392678091896547,6.289643033899686e-05,4.8193412461965935e-06
0,21.258,0.56333,1.6258e-05,7.176409763846783e-05,-0.00017140098282744827,0.0002594230804659161,0.06799999999999784,0.0038150453009694755,6.290606905123494e-05,4.819370991845548e-06
0,21.26,0.585,1.6296e-05,7.177532861584596e-05,-0.0001713742916757046,0.00025944562029155057,0.07000000000000028,0.003706366004164993,6.291570782296363e-05,4.819400737392295e-06
0,21.259,0.60667,1.6351e-05,7.17697131206868e-05,-0.00017138763725661928,0.0002595083503773061,0.06899999999999906,0.0037609905851784,6.29108884296634e-05,4.819385864631698e-06
0,21.261,0.62833,1.6342e-05,7.178094412394788e-05,-0.00017136094608471118,0.0002594838902086591,0.07099999999999795,0.0036547026789953037,6.292052723113738e-05,4.81941561012734e-06
0,21.266,0.65,1.6432e-05,7.180902185858085e-05,-0.00017129421797850222,0.0002595352398370831,0.07599999999999696,0.003414937366277546,6.29446244950968e-05,4.8194899734192865e-06
0,21.266,0.67167,1.6635e-05,7.180902185858085e-05,-0.00017129421797850222,0.00025973823983708305,0.07599999999999696,0.0034176084189091243,6.29446244950968e-05,4.8194899734192865e-06
0,21.265,0.69333,1.6597e-05,7.180340628577114e-05,-0.00017130756361990844,0.0002597079699056796,0.07499999999999929,0.003462772932075761,6.293980501256066e-05,4.8194751008120014e-06
0,21.271,0.715,1.6678e-05,7.183709991675103e-05,-0.00017122748962024488,0.0002597425895369959,0.08099999999999952,0.003206698636259228,6.296872213087078e-05,4.8195643360724355e-06
0,21.274,0.73667,1.6856e-05,7.185394690694975e-05,-0.00017118745248430843,0.00025989739939125817,0.08399999999999963,0.003094016659419754,6.29831808908049e-05,4.819608953357701e-06
0,21.272,0.75833,1.6787e-05,7.18427155672087e-05,-0.00017121414391834712,0.0002598438594855558,0.08199999999999719,0.0031688275547020086,6.29735417026437e-05,4.8195792085264085e-06
0,21.274,0.78,1.6754e-05,7.185394690694975e-05,-0.00017118745248430843,0.0002597953993912582,0.08399999999999963,0.003092802373705468,6.29831808908049e-05,4.819608953357701e-06
0,21.277,0.80167,1.6714e-05,7.187079401362127e-05,-0.0001711474152576338,0.0002597322092712551,0.08699999999999974,0.002985427692773056,6.299763978459029e-05,4.819653570413003e-06
0,21.276,0.82333,1.6784e-05,7.186517829845581e-05,-0.00017116076100993916,0.00025980993930839496,0.08599999999999852,0.0030210458059116213,6.299282013845671e-05,4.819638698086788e-06
