Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
25.066,5.525,-2.19e-05,9.32e-05,-0.000163938,0.000235234,3.536,6.65e-05,6.207847351083094e-05,1.59e-06,8.941165721445838e-05,-0.00015522139090342184,0.00023509178134800343
25.132,5.54667,-2.24e-05,9.36e-05,-0.00016303799999999998,0.000234255,3.602,6.500000000000001e-05,6.216847180108131e-05,1.59e-06,8.945938039375779e-05,-0.00015491246965162057,0.0002342202425363851
25.205,5.56833,-2.26e-05,9.4e-05,-0.00016204299999999998,0.000233449,3.675,6.35e-05,6.226811268681505e-05,1.59e-06,8.951229847582818e-05,-0.00015457080617392534,0.0002332618421118519
25.275,5.59,-2.32e-05,9.44e-05,-0.000161088,0.000232321,3.745,6.2e-05,6.236375472450095e-05,1.59e-06,8.956317335386162e-05,-0.00015424320550593587,0.0002323483060829915
25.351,5.6116699999999975,-2.35e-05,9.49e-05,-0.00016005200000000002,0.000231411,3.821,6.06e-05,6.246770101782807e-05,1.59e-06,8.961855466731346e-05,-0.0001538875489892946,0.00023136251499532347
25.427,5.63333,-2.4e-05,9.53e-05,-0.000159015,0.000230269,3.897,5.91e-05,6.257175801795438e-05,1.59e-06,8.967408765070016e-05,-0.00015353191766953844,0.000230382994764702
25.506,5.655,-2.43e-05,9.57e-05,-0.000157938,0.00022934,3.976,5.770000000000001e-05,6.268003984496963e-05,1.59e-06,8.973197343826707e-05,-0.0001531622749725352,0.00022937142793532124
25.587,5.67667,-2.45e-05,9.62e-05,-0.000156833,0.000228511,4.057,5.6299999999999986e-05,6.279118711075568e-05,1.6e-06,8.979149472539876e-05,-0.00015278330248498338,0.0002283412262884836
25.665,5.69833,-2.5e-05,9.66e-05,-0.000155769,0.000227446,4.135,5.5e-05,6.28983365576802e-05,1.6e-06,8.98489741777541e-05,-0.0001524183930438905,0.00022735582483361872
25.749,5.72,-2.52e-05,9.71e-05,-0.000154623,0.000226513,4.2189999999999985,5.37e-05,6.301385852336893e-05,1.6e-06,8.991105353575246e-05,-0.0001520254432939965,0.00022630188081109934
25.82,5.74167,-2.6e-05,9.75e-05,-0.000153655,0.000225195,4.29,5.25e-05,6.311160739661719e-05,1.6e-06,8.996366960586271e-05,-0.00015169333116624216,0.00022541689074358608
25.906,5.7633300000000025,-2.61e-05,9.8e-05,-0.000152482,0.000224363,4.376,5.13e-05,6.323013660164759e-05,1.6e-06,9.002757864051778e-05,-0.00015129108390526158,0.00022435206776560051
25.986,5.785,-2.67e-05,9.85e-05,-0.00015139,0.000223142,4.456,5.01e-05,6.334052332679753e-05,1.6e-06,9.008720282818738e-05,-0.00015091692931598125,0.00022336852267430474
26.065,5.80667,-2.69e-05,9.89e-05,-0.00015031299999999998,0.000222307,4.535,4.9e-05,6.344965030415832e-05,1.6e-06,9.014624615928234e-05,-0.00015054747899526623,0.00022240385060595352
26.145,5.82833,-2.72e-05,9.940000000000003e-05,-0.000149221,0.000221377,4.615,4.8e-05,6.356028020516489e-05,1.6e-06,9.020620334178114e-05,-0.00015017337976262423,0.0002214335989919192
26.231,5.85,-2.77e-05,9.98e-05,-0.000148048,0.000220202,4.7010000000000005,4.68e-05,6.36793437470951e-05,1.61e-06,9.027084407500817e-05,-0.00014977125413828197,0.00022039798613102937
26.313,5.87167,-2.81e-05,0.000100315,-0.000146929,0.000219151,4.783,4.58e-05,6.379300102962206e-05,1.61e-06,9.033265841614261e-05,-0.00014938786198579956,0.00021941765522532134
26.397,5.8933300000000015,-2.8300000000000014e-05,0.000100792,-0.000145783,0.00021827,4.867,4.48e-05,6.390956358280327e-05,1.61e-06,9.039616270558031e-05,-0.0001489951491159207,0.00021842057923684353
26.483,5.915,-2.88e-05,0.000101281,-0.00014461,0.000217113,4.953,4.38e-05,6.402904098671549e-05,1.61e-06,9.046137004776501e-05,-0.000148593117710309,0.00021740723919663047
26.572,5.93667,-2.89e-05,0.000101787,-0.000143396,0.000216244,5.042,4.29e-05,6.415283482576325e-05,1.61e-06,9.052905551054126e-05,-0.00014817709578896944,0.00021636647381287824
26.654,5.95833,-2.93e-05,0.000102253,-0.000142277,0.000215211,5.124,4.2e-05,6.426702582687386e-05,1.61e-06,9.059160048674117e-05,-0.0001477938251454823,0.00021541466388148487
26.735,5.98,-2.95e-05,0.000102713,-0.000141171,0.000214341,5.205,4.120000000000001e-05,6.437995015820281e-05,1.61e-06,9.065355504911518e-05,-0.00014741525719957676,0.00021448111096652775
26.821,6.00167,-2.99e-05,0.000103202,-0.00013999799999999998,0.000213304,5.291,4.03e-05,6.449998203956553e-05,1.61e-06,9.071952135427958e-05,-0.0001470133520344306,0.00021349712875970664
26.912,6.0233300000000005,-3e-05,0.00010372,-0.000138756,0.000212452,5.3820000000000014,3.950000000000001e-05,6.462714601568591e-05,1.62e-06,9.078953298287179e-05,-0.00014658811523920697,0.00021246396853346236
26.994,6.045,-3.03e-05,0.000104187,-0.000137637,0.000211547,5.464,3.87e-05,6.474186848055797e-05,1.62e-06,9.085280533100348e-05,-0.00014620496560194528,0.00021154002465975744
27.085,6.0666699999999985,-3.07e-05,0.000104704,-0.000136395,0.000210395,5.555,3.79e-05,6.486933236398741e-05,1.62e-06,9.092322736901437e-05,-0.00014577979709402464,0.00021052243850594286
27.173,6.08833,-3.09e-05,0.000105205,-0.000135194,0.000209468,5.643,3.71e-05,6.499274410585272e-05,1.62e-06,9.099153300174247e-05,-0.0001453686792775765,0.0002095461285474077
