Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
22.059,0.0,1.9e-05,7.63e-05,-0.000204917,0.000300158,0.0,inf,6.516366357000973e-06,8.68e-06,4.6402979184216424e-05,-4.7153391483196745e-05,0.0002942049515534177
22.559,4.24315,4.74e-06,7.91e-05,-0.000198107,0.000281925,0.5,0.000563851,1.085767636888578e-05,8.69e-06,5.013810966985298e-05,-4.2268314927843416e-05,0.0002850054929577015
23.059,4.620419999999998,1.92e-07,8.190000000000001e-05,-0.000191295,0.000273386,1.0,0.000273386,1.520532840840541e-05,8.7e-06,5.3883883507688246e-05,-3.737937678017809e-05,0.0002763961178766727
23.559,4.88485,-3.35e-06,8.47e-05,-0.000184482,0.000265853,1.5,0.000177236,1.95593147215992e-05,8.71e-06,5.7640275494171174e-05,-3.2486578924301266e-05,0.00026835923929578894
24.059,5.0995300000000015,-6.12e-06,8.75e-05,-0.000177667,0.000259089,2.0,0.000129545,2.3919627560460913e-05,8.73e-06,6.140726047154134e-05,-2.7589923244313482e-05,0.0002608772702005077
24.559,5.28512,-8.599999999999999e-06,9.04e-05,-0.000170851,0.000252619,2.5,0.000101048,2.8286259182942232e-05,8.74e-06,6.518481332779685e-05,-2.2689411624315256e-05,0.00025393262357628637
25.059,5.45107,-1.02e-05,9.32e-05,-0.00016403400000000002,0.000247022,3.0,8.23e-05,3.265920185295274e-05,8.75e-06,6.897290899664926e-05,-1.7785045948407087e-05,0.00024750771240858276
25.559,5.60324,-1.16e-05,9.6e-05,-0.000157215,0.00024166,3.5,6.9e-05,3.703844784035473e-05,8.76e-06,7.277152245748451e-05,-1.2876828100689495e-05,0.00024158494968285404
26.059,5.7450800000000015,-1.25e-05,9.89e-05,-0.000150395,0.000236748,4.0,5.920000000000001e-05,4.14239894209684e-05,8.78e-06,7.658062873532132e-05,-7.964759965263022e-06,0.0002361467483845579
26.559,5.87915,-1.32e-05,0.000101713,-0.000143573,0.000232136,4.5,5.16e-05,4.5815818876570116e-05,8.79e-06,8.040020290077214e-05,-3.0488434262281527e-06,0.0002311755214991518
27.059,6.00716,-1.31e-05,0.000104556,-0.00013675,0.000228217,5.0,4.56e-05,5.021392849489329e-05,8.8e-06,8.423022007000326e-05,1.8709196323145487e-06,0.0002266536820120932
27.559,6.13035,-1.31e-05,0.000107403,-0.000129925,0.000224225,5.5,4.08e-05,5.461831056962664e-05,8.82e-06,8.807065540469231e-05,6.794527326264634e-06,0.00022256364290883964
28.059,6.24929,-1.28e-05,0.000110253,-0.000123099,0.000220593,6.0,3.68e-05,5.902895740041419e-05,8.83e-06,9.192148411198923e-05,1.172197777152152e-05,0.00021888781717484864
28.559,6.36512,-1.2e-05,0.000113106,-0.000116272,0.000217359,6.5,3.34e-05,6.344586129285786e-05,8.84e-06,9.578268144447375e-05,1.665326908398473e-05,0.0002156086177955777
29.059,6.47808,-1.09e-05,0.000115962,-0.000109443,0.000214494,7.0,3.06e-05,6.786901455851403e-05,8.85e-06,9.965422270011987e-05,2.1588399379553734e-05,0.00021270845775648423
29.559,6.5887600000000015,-9.5e-06,0.000118822,-0.000102613,0.000211936,7.5,2.8300000000000014e-05,7.229840951489958e-05,8.87e-06,0.00010353608322224896,2.652736677412802e-05,0.00021016975004302586
30.059,6.697610000000001,-7.4999999999999985e-06,0.000121684,-9.58e-05,0.000209962,8.0,2.62e-05,7.673403848548147e-05,8.88e-06,0.00010742823839949428,3.147016938360706e-05,0.0002079749076406601
30.559,6.805039999999999,-5.81e-06,0.00012455,-8.89e-05,0.000207687,8.5,2.44e-05,8.117589379968548e-05,8.89e-06,0.00011133066366575926,3.641680532389033e-05,0.00020610634353484435
31.059,6.91107,-3.64e-06,0.000127419,-8.209999999999999e-05,0.00020589,9.0,2.29e-05,8.562396779289699e-05,8.900000000000001e-06,0.00011524333450017594,4.1367272710877364e-05,0.00020454647071103615
31.559,7.0162,-1.23e-06,0.00013029100000000002,-7.53e-05,0.000204337,9.5,2.15e-05,9.007825280645237e-05,8.91e-06,0.0001191662264270624,4.6321569660467594e-05,0.00020327770215469303
32.059,7.12073,1.33e-06,0.000133166,-6.840000000000001e-05,0.000202936,10.0,2.03e-05,9.453874118764676e-05,8.93e-06,0.0001230993150158899,5.127969428856047e-05,0.00020228245085127244
32.559,7.22467,4.27e-06,0.000136045,-6.159999999999999e-05,0.00020192,10.5,1.92e-05,9.900542528973235e-05,8.94e-06,0.000127042575881235,5.624164471105557e-05,0.000201543129786232
33.059,7.328130000000002,7.34e-06,0.000138926,-5.479999999999999e-05,0.000201023,11.0,1.83e-05,0.00010347829747191402,8.95e-06,0.0001309959846827408,6.120741904385232e-05,0.00020104215194502909
33.559,7.43111,1.06e-05,0.000141811,-4.79e-05,0.000200293,11.5,1.74e-05,0.0001079573500993589,8.96e-06,0.0001349595171250802,6.617701540285022e-05,0.00020076193031312126
34.059,7.53378,1.42e-05,0.000144699,-4.11e-05,0.000199929,12.0,1.67e-05,0.00011244257554318422,8.98e-06,0.00013893314895791018,7.115043190394872e-05,0.00020068487787596595
34.559,7.6361,1.77e-05,0.00014759,-3.4200000000000005e-05,0.000199535,12.5,1.6e-05,0.00011693396618046598,8.99e-06,0.00014291685597583436,7.612766666304736e-05,0.00020079340761902084
35.059,7.7382,2.15e-05,0.000150484,-2.7399999999999995e-05,0.000199401,13.0,1.53e-05,0.00012143151439423724,9e-06,0.00014691061401836316,8.110871779604555e-05,0.0002010699325277432
35.559,7.83989,2.55e-05,0.000153382,-2.05e-05,0.000199467,13.5,1.4800000000000002e-05,0.00012593521257348635,9.01e-06,0.00015091439896987129,8.609358341884282e-05,0.0002014968655875907
36.059,7.9415,2.99e-05,0.00015628200000000002,-1.3699999999999998e-05,0.000199903,14.0,1.4300000000000005e-05,0.00013044505311315697,9.03e-06,0.00015492818675955783,9.108226164733872e-05,0.00020205661978402086
36.559,8.04298,3.47e-05,0.00015918600000000002,-6.84e-06,0.000200756,14.5,1.3800000000000007e-05,0.00013496102841415065,9.04e-06,0.00015895195336140637,9.607475059743257e-05,0.00020273160810249107
