,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.059,0.0,1.8974e-05,7.626624318551097e-05,-0.00020491736641287638,0.00030015760959838735,0.0,inf,6.5163014974709e-06,8.676273845310871e-06
0,22.559,4.24315,4.7375e-06,7.908077459420175e-05,-0.0001981070113683328,0.00028192528596253456,0.5,0.0005638505719250691,1.0857612019158844e-05,8.688965654803347e-06
0,23.059,4.62042,1.921e-07,8.189853295733143e-05,-0.00019129523060677604,0.0002733858635641075,1.0,0.0002733858635641075,1.5205264566628927e-05,8.701641950425164e-06
0,23.559,4.88485,-3.3482e-06,8.471951502224927e-05,-0.00018448202471596162,0.0002658533397382109,1.5,0.00017723555982547393,1.955925138592482e-05,8.71430274408877e-06
0,24.059,5.09953,-6.122e-06,8.754371753812683e-05,-0.00017766739428395906,0.0002590891118220859,2.0,0.00012954455591104294,2.3919564729044628e-05,8.726948047706607e-06
0,24.559,5.28512,-8.6034e-06,9.037113725596235e-05,-0.0001708513398991432,0.00025261907715510553,2.5,0.00010104763086204221,2.8286196853941764e-05,8.739577873191124e-06
0,25.059,5.45107,-1.0214e-05,9.320177092857554e-05,-0.00016403386215019591,0.0002470216330787714,3.0,8.234054435959047e-05,3.265914002453189e-05,8.752192232454764e-06
0,25.559,5.60324,-1.1591e-05,9.603561531061101e-05,-0.0001572149616261096,0.00024165957693672062,3.5,6.90455934104916e-05,3.703838651067902e-05,8.764791137409965e-06
0,26.059,5.74508,-1.2519e-05,9.887266715853313e-05,-0.00015039463891618025,0.00023674830607471338,4.0,5.9187076518678344e-05,4.1423928588208564e-05,8.777374599969182e-06
0,26.559,5.87915,-1.315e-05,0.00010171292323063377,-0.00014357289461001434,0.0002321358178406481,4.5,5.15857372979218e-05,4.581575853890036e-05,8.789942632044852e-06
0,27.059,6.00716,-1.3089e-05,0.00010455638028702974,-0.0001367497292975254,0.00022821710958455515,5.0,4.564342191691103e-05,5.021386865049129e-05,8.80249524554942e-06
0,27.559,6.13035,-1.3103e-05,0.00010740303508965411,-0.00012992514356893053,0.00022422517865858466,5.5,4.0768214301560845e-05,5.461825121667353e-05,8.815032452395337e-06
0,28.059,6.24929,-1.2759e-05,0.00011025288440227096,-0.00012309913801476086,0.00022059302241703182,6.0,3.676550373617197e-05,5.9028898537095455e-05,8.827554264495037e-06
0,28.559,6.36512,-1.2019e-05,0.00011310592499046406,-0.00011627171322585277,0.00021735863821631683,6.5,3.3439790494817976e-05,6.344580291736332e-05,8.840060693760976e-06
0,29.059,6.47808,-1.0911e-05,0.00011596215362164302,-0.00010944286979334798,0.000214494023414991,7.0,3.064200334499871e-05,6.786895666903697e-05,8.85255175210559e-06
0,29.559,6.58876,-9.4982e-06,0.00011882156706503801,-0.000102612608308697,0.00021193597537373502,7.5,2.8258130049831336e-05,7.229835210963414e-05,8.865027451441328e-06
0,30.059,6.69761,-7.5035e-06,0.00012168416209170502,-9.578092936365912e-05,0.00020996159145536414,8.0,2.6245198931920518e-05,7.673398156262876e-05,8.87748780368063e-06
0,30.559,6.80504,-5.8104e-06,0.0001245499354745232,-8.894783355029891e-05,0.0002076873690248221,8.5,2.443380812056731e-05,8.117583735745091e-05,8.889932820735944e-06
