,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.962,0.0,1.8752e-05,7.572059810726124e-05,-0.00041024949458082736,0.0005047220926880886,0.0,inf,0.00035180275227720073,-4.552699201679319e-06
0,22.462,4.22018,6.6201e-06,7.853450310992167e-05,-0.0004025159147056385,0.0004876705178155601,0.5,0.0009753410356311202,0.0003495324086240964,-4.528669587102705e-06
0,22.962,4.57854,-1.2497e-06,8.135163569824438e-05,-0.00039477863759332377,0.00047488057329156814,1.0,0.00047488057329156814,0.000347274088488371,-4.504605182887327e-06
0,23.462,4.8369,-8.0046e-06,8.417199261922907e-05,-0.00038703767002805194,0.000463205062647281,1.5,0.00030880337509818734,0.00034502780918875845,-4.480506293375606e-06
0,23.962,5.04719,-1.3848e-05,8.699557062169083e-05,-0.0003792930187881752,0.000452440589409866,2.0,0.000226220294704933,0.0003427935878918211,-4.456373222909967e-06
0,24.462,5.23072,-1.9763e-05,8.982236645627573e-05,-0.00037154469064621005,0.0004416040571024858,2.5,0.0001766416228409943,0.00034057144161195026,-4.432206275832831e-06
0,24.962,5.39636,-2.5506e-05,9.265237687544788e-05,-0.00036379269236883754,0.0004309390692442854,3.0,0.0001436463564147618,0.0003383613872113665,-4.408005756486624e-06
0,25.462,5.54909,-3.0614e-05,9.548559863349626e-05,-0.0003560370307169134,0.0004209086293504097,3.5,0.00012025960838583134,0.0003361634414001182,-4.383771969213766e-06
0,25.962,5.69234,-3.4968e-05,9.832202848653569e-05,-0.00034827771244545606,0.00041163174093199173,4.0,0.00010290793523299793,0.0003339776207360833,-4.359505218356681e-06
0,26.462,5.82779,-3.9614e-05,0.00010116166319250417,-0.0003405147443036535,0.0004020624074961577,4.5,8.934720166581283e-05,0.00033180394162496846,-4.335205808257794e-06
0,26.962,5.95739,-4.3751e-05,0.00010400449951116116,-0.0003327481330348686,0.00039300163254602974,5.0,7.860032650920594e-05,0.00032964242032030883,-4.310874043259526e-06
0,27.462,6.08196,-4.7448e-05,0.00010685053420409017,-0.0003249778853766268,0.00038438041958071693,5.5,6.98873490146758e-05,0.0003274930729234684,-4.286510227704301e-06
0,27.962,6.20229,-5.0725e-05,0.00010969976403469792,-0.00031720400806062136,0.0003761787720953193,6.0,6.269646201588655e-05,0.00032535591538364024,-4.2621146659345395e-06
0,28.462,6.31952,-5.3655e-05,0.00011255218576821692,-0.0003094265078127205,0.0003683236935809374,6.5,5.666518362783652e-05,0.00032323096349784594,-4.237687662292667e-06
0,28.962,6.43391,-5.6561e-05,0.00011540779617170028,-0.0003016453913529532,0.0003604921875246535,7.0,5.1498883932093354e-05,0.00032111823291093594,-4.213229521121108e-06
0,29.462,6.54625,-5.9303e-05,0.00011826659201402863,-0.0002938606653955199,0.0003528242574095485,7.5,4.704323432127313e-05,0.00031901773911558937,-4.188740546762282e-06
0,29.962,6.65681,-6.1207e-05,0.00012112857006589973,-0.000286072336648794,0.00034599390671469373,8.0,4.3249238339336716e-05,0.0003169294974523144,-4.164221043558616e-06
0,30.462,6.76596,-6.3445e-05,0.0001239937270998406,-0.0002782804118153098,0.00033882913891515045,8.5,3.9862251637076524e-05,0.0003148535231094479,-4.139671315852529e-06
0,30.962,6.8738,-6.4798e-05,0.00012686205989020146,-0.00027048489759178007,0.0003325489574819815,9.0,3.6949884164664614e-05,0.00031278983112315516,-4.115091667986446e-06
0,31.462,6.98057,-6.678e-05,0.0001297335652131514,-0.00026268580066907306,0.00032563936588222444,9.5,3.427782798760257e-05,0.000310738436377431,-4.090482404302788e-06
0,31.962,7.08655,-6.7865e-05,0.00013260823984668785,-0.00025488312773223887,0.0003196263675789267,10.0,3.1962636757892673e-05,0.0003086993536040983,-4.065843829143983e-06
0,32.462,7.19186,-6.8593e-05,0.00013548608057062893,-0.00024707688546048677,0.0003139699660311157,10.500000000000004,2.9901901526772916e-05,0.00030667259738280904,-4.041176246852447e-06
0,32.962,7.29672,-6.9797e-05,0.0001383670841666202,-0.00023926708052720083,0.000307837164693821,11.000000000000004,2.7985196790347354e-05,0.0003046581821410442,-4.016479961770611e-06
0,33.462,7.40101,-6.9982e-05,0.0001412512474181244,-0.00023145371959992778,0.0003027229670180522,11.500000000000004,2.632373626243931e-05,0.0003026561221541131,-3.991755278240894e-06
0,33.962,7.50478,-7.0379e-05,0.00014413856711043265,-0.00022363680934038566,0.00029739637645081834,12.000000000000004,2.4783031370901522e-05,0.00030066643154515416,-3.967002500605718e-06
0,34.462,7.60866,-7.0276e-05,0.00014702904003065752,-0.0002158163564044656,0.00029256939643512313,12.500000000000004,2.3405551714809845e-05,0.0002986891242851346,-3.942221933207508e-06
0,34.962,7.71188,-7.0295e-05,0.00014992266296773738,-0.0002079923674422196,0.000287620030409957,13.000000000000004,2.212461772384284e-05,0.00029672421419285014,-3.917413880388686e-06
0,35.462,7.81533,-7.0148e-05,0.00015281943271243034,-0.00020016484909787455,0.00028283628181030487,13.500000000000004,2.0950835689652208e-05,0.0002947717149349256,-3.892578646491677e-06
0,35.962,7.91847,-6.9334e-05,0.00015571934605732463,-0.0001923338080098199,0.00027871915406714454,14.000000000000004,1.9908511004796034e-05,0.0002928316400258144,-3.8677165358589e-06
0,36.462,8.02137,-6.8464e-05,0.00015862239979682127,-0.00018449925081061996,0.0002746576506074412,14.500000000000004,1.8941906938444217e-05,0.0002909040028277989,-3.8428278528327805e-06
0,36.962,8.12431,-6.7562e-05,0.00016152859072715662,-0.00017666118412699994,0.00027062777485415654,15.000000000000004,1.8041851656943765e-05,0.00028898881655099,-3.81791290175574e-06
0,37.462,8.22717,-6.6442e-05,0.00016443791564638242,-0.0001688196145798633,0.0002668155302262457,15.500000000000004,1.7213905175886817e-05,0.0002870860942533279,-3.792971986970205e-06
0,37.962,8.32988,-6.4958e-05,0.00016735037135437707,-0.00016097454878427793,0.000263366920138655,16.000000000000004,1.6460432508665935e-05,0.0002851958488405808,-3.768005412818597e-06
0,38.462,8.43275,-6.3449e-05,0.00017026595465284306,-0.00015312599334947434,0.0002599429480023174,16.500000000000004,1.5754118060746507e-05,0.0002833180930663466,-3.743013483643338e-06
0,38.962,8.53547,-6.2163e-05,0.0001731846623453043,-0.0001452739548788596,0.0002562956172241639,17.000000000000004,1.507621277789199e-05,0.00028145283953205115,-3.7179965037868533e-06
0,39.462,8.63807,-6.0642e-05,0.00017610649123710968,-0.00013741843997000687,0.0002528829312071166,17.500000000000004,1.445045321183523e-05,0.0002796001006869495,-3.6929547775915625e-06
0,39.962,8.7408,-5.8504e-05,0.00017903143813543122,-0.00012955945521465548,0.00025008689335008667,18.000000000000004,1.3893716297227035e-05,0.0002777598888281255,-3.6678886093998916e-06
0,40.462,8.84345,-5.6844e-05,0.0001819594998492633,-0.00012169700719871779,0.0002468125070479811,18.500000000000004,1.3341216597188164e-05,0.000275932216100492,-3.642798303554263e-06
0,40.962,8.94603,-5.4708e-05,0.00018489067318942787,-0.00011383110250227056,0.00024401377569169844,19.000000000000004,1.2842830299563074e-05,0.00027411709449679,-3.617684164397095e-06
0,41.462,9.04845,-5.298e-05,0.00018782495496856566,-0.00010596174769956189,0.00024080670266812755,19.500000000000004,1.2349061675288591e-05,0.0002723145358575898,-3.5925464962708193e-06
0,41.962,9.15074,-5.1027e-05,0.00019076234200114325,-9.808894935900599e-05,0.00023782429136014926,20.000000000000004,1.189121456800746e-05,0.00027052455187129016,-3.5673856035178542e-06
0,42.462,9.25279,-4.8718e-05,0.0001937028311034504,-9.021271404319013e-05,0.00023519754514664053,20.500000000000004,1.147305098276295e-05,0.0002687471540741193,-3.5422017904806222e-06
0,42.962,9.35468,-4.5992e-05,0.00019664641909360007,-8.233304830886426e-05,0.00023298746740246432,21.000000000000004,1.1094641304879251e-05,0.00026698235385013314,-3.5169953615015477e-06
0,43.462,9.45626,-4.3913e-05,0.0001995931027915284,-7.444995870695137e-05,0.00023013006149847978,21.500000000000004,1.0703723790626965e-05,0.00026523016243121754,-3.491766620923053e-06
0,43.962,9.55761,-4.1393e-05,0.00020254287901899735,-6.656345178254058e-05,0.00022771333080153793,22.000000000000004,1.035060594552445e-05,0.0002634905908970864,-3.4665158730875612e-06
0,44.462,9.65876,-3.8703e-05,0.0002054957445995877,-5.8673534074888886e-05,0.00022546627867447657,22.500000000000004,1.0020723496643401e-05,0.00026176365017528246,-3.4412434223374964e-06
0,44.962,9.75961,-3.6173e-05,0.00020845169635871127,-5.0780212117426324e-05,0.0002230589084761376,23.000000000000004,9.69821341200598e-06,0.0002600493510411776,-3.4159495730152812e-06
0,45.462,9.86027,-3.3884e-05,0.00021141073112359698,-4.288349243774907e-05,0.00022041022356134604,23.500000000000004,9.379158449418978e-06,0.0002583477041179722,-3.39063462946334e-06
0,45.962,9.96061,-3.0841e-05,0.00021437284572329695,-3.498338155761768e-05,0.00021851522728091465,24.000000000000004,9.104801136704776e-06,0.00025665871987669536,-3.3652988960240905e-06
0,46.462,10.06071,-2.8466e-05,0.0002173380369886917,-2.7079885992970995e-05,0.0002159519229816627,24.500000000000004,8.81436420333317e-06,0.0002549824086362055,-3.33994267703996e-06
0,46.962,10.16023,-2.6214e-05,0.00022030630175248235,-1.9173012253903554e-05,0.00021326531400638591,25.000000000000004,8.530612560255435e-06,0.00025331878056318927,-3.3145662768533735e-06
0,47.462,10.25939,-2.3144e-05,0.0002232776368491932,-1.1262766844689909e-05,0.0002113964036938831,25.500000000000004,8.290055046818944e-06,0.0002516678456721622,-3.2891699998067497e-06
0,47.962,10.35817,-2.0272e-05,0.00022625203911517348,-3.3491562637655292e-06,0.000209329195378939,26.000000000000004,8.051122899189962e-06,0.00025002961382546867,-3.2637541502425147e-06
0,48.462,10.45662,-1.714e-05,0.00022922950538859389,4.567812996259316e-06,0.00020752169239233458,26.500000000000004,7.831007260088096e-06,0.0002484040947332821,-3.2383190325030897e-06
0,48.962,10.55461,-1.5101e-05,0.00023221003250945005,1.2488134448609967e-05,0.00020462089806084008,27.000000000000004,7.578551780031113e-06,0.00024679129795360445,-3.212864950930899e-06
0,49.462,10.65239,-1.2222e-05,0.00023519361731956252,2.041180161234217e-05,0.00020255981570722035,27.500000000000004,7.365811480262557e-06,0.0002451912328922663,-3.187392209868363e-06
0,49.962,10.7498,-8.9799e-06,0.0002381802566625733,2.8338808012343814e-05,0.00020086154865022948,28.000000000000004,7.1736267375081945e-06,0.00024360390880292742,-3.1619011136579103e-06
0,50.462,10.84705,-6.3478e-06,0.0002411699473839476,3.626914717932972e-05,0.0001985530002046179,28.500000000000004,6.966771937004135e-06,0.000242029334787076,-3.136391966641958e-06
0,50.962,10.94423,-3.2379e-06,0.00024416268633097645,4.4202812649855525e-05,0.00019672197368112094,29.000000000000004,6.783516333831755e-06,0.00024046751979402926,-3.110865073162932e-06
0,51.462,11.04095,-3.1656e-07,0.0002471584703527723,5.21397979662986e-05,0.0001947021123864737,29.500000000000004,6.600071606321142e-06,0.0002389184726209332,-3.0853207375632567e-06
0,51.962,11.13749,2.9519e-06,0.0002501572963002725,6.008009667687192e-05,0.00019302909962340056,30.000000000000004,6.434303320780018e-06,0.00023738220191276248,-3.0597592641853515e-06
0,52.462,11.23362,6.3982e-06,0.0002531591610262351,6.802370233562234e-05,0.0001915336586906127,30.500000000000004,6.27979208821681e-06,0.0002358587161623204,-3.0341809573716407e-06
0,52.962,11.32942,9.4032e-06,0.0002561640613852464,7.597060850242192e-05,0.0001895966528828245,31.000000000000004,6.116021060736274e-06,0.00023434802371023964,-3.0085861214645487e-06
0,53.462,11.4249,1.2278e-05,0.00025917199423371173,8.392080874298005e-05,0.0001875291854907317,31.500000000000004,5.953307475896243e-06,0.00023285013274498104,-2.9829750608064997e-06
0,53.962,11.5202,1.5194e-05,0.0002621829564298647,9.187429662883481e-05,0.00018550265980102988,32.0,5.796958118782184e-06,0.00023136505130283454,-2.9573480797399147e-06
0,54.462,11.61531,1.8662e-05,0.0002651969448337569,9.983106573735467e-05,0.00018402787909640225,32.5,5.6623962798893e-06,0.00022989278726791887,-2.9317054826072146e-06
0,54.962,11.71031,2.1804e-05,0.00026821395630726667,0.00010779110965174199,0.00018222684665552467,33.0,5.52202565622802e-06,0.00022843334837218134,-2.9060475737508273e-06
0,55.462,11.80535,2.5299e-05,0.00027123398771409634,0.00011575442196103125,0.0001807785657530651,33.5,5.396375097106421e-06,0.00022698674219539825,-2.8803746575131726e-06
0,55.962,11.90018,2.8911e-05,0.00027425703591976974,0.00012372099626008215,0.0001794470396596876,34.0,5.27785410763787e-06,0.0002255529761651746,-2.8546870382366734e-06
0,56.462,11.99486,3.2118e-05,0.00027728309779163646,0.00013169082614959346,0.00017771027164204298,34.5,5.151022366436028e-06,0.00022413205755694428,-2.8289850202637557e-06
0,56.962,12.08935,3.5568e-05,0.0002803121701988676,0.00013966390523609262,0.00017621626496277495,35.0,5.034750427507856e-06,0.00022272399349396987,-2.8032689079368395e-06
0,57.462,12.18375,3.9351e-05,0.00028334425001245913,0.00014764022713193402,0.00017505502288052514,35.5,4.931127405085215e-06,0.0002213287909473427,-2.7775390055983475e-06
0,57.962,12.27817,4.3044e-05,0.0002863793341052294,0.00015561978545531284,0.00017380354864991656,36.0,4.827876351386571e-06,0.00021994645673598307,-2.7517956175907065e-06
