,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,21.543,0.0,1.5723e-05,7.33650337209615e-05,-0.0004167273822459905,0.000505815415966952,0.0,inf,0.00022084658191431905,6.585695183350876e-07
0,22.043,4.03622,2.8156e-06,7.617623150029795e-05,-0.00040899690588441437,0.0004879887373847123,0.5,0.0009759774747694246,0.00022117827335144786,6.681941479933374e-07
0,22.543,4.40666,-4.996e-06,7.899065959271825e-05,-0.00040126272659607096,0.0004752573861887892,1.0,0.0004752573861887892,0.00022151477398073141,6.778062881641266e-07
0,23.043,4.66945,-1.1628e-05,8.180831474369297e-05,-0.0003935248511700313,0.00046370516591372424,1.5,0.00030913677727581614,0.00022185607755924232,6.874059461169784e-07
0,23.543,4.88286,-1.7022e-05,8.462919370051235e-05,-0.00038578328638952733,0.0004533904800900397,2.0,0.00022669524004501984,0.00022220217784769025,6.969931291214139e-07
0,24.043,5.06864,-2.2627e-05,8.745329321228901e-05,-0.00037803803903196063,0.00044286433224424964,2.5,0.00017714573289769986,0.0002225530686104176,7.065678444469555e-07
0,24.543,5.23626,-2.778e-05,9.028061002996478e-05,-0.0003702891158689041,0.00043278972589886884,3.0,0.0001442632419662896,0.00022290874361540207,7.161300993631245e-07
0,25.043,5.39113,-3.2579e-05,9.311114090629954e-05,-0.00036253652366609324,0.00042306866457239274,3.5,0.00012087676130639793,0.00022326919663425717,7.256799011394448e-07
0,25.543,5.53618,-3.678e-05,9.594488259587718e-05,-0.00035478026918344015,0.00041394515177931734,4.0,0.00010348628794482934,0.00022363442144222975,7.352172570454361e-07
0,26.043,5.6733,-4.0281e-05,9.878183185510914e-05,-0.00034702035917501955,0.0004055211910301287,4.5,9.011582022891749e-05,0.00022400441181820246,7.447421743506248e-07
0,26.543,5.80408,-4.3507e-05,0.00010162198544222487,-0.00033925680038907405,0.0003973717858312989,5.0,7.947435716625978e-05,0.00022437916154469193,7.54254660324528e-07
0,27.043,5.93029,-4.6407e-05,0.00010446534011728393,-0.000331489599568021,0.00038954793968530495,5.5,7.08268981246009e-05,0.00022475866440785017,7.637547222366729e-07
0,27.543,6.05231,-4.9739e-05,0.00010731189264216127,-0.0003237187634484405,0.0003812916560906018,6.0,6.354860934843363e-05,0.0002251429141974634,7.73242367356576e-07
0,28.043,6.1709,-5.1731e-05,0.00011016163978056371,-0.0003159442987610839,0.0003743749385416476,6.5,5.759614439102271e-05,0.00022553190470695275,7.827176029537653e-07
0,28.543,6.28677,-5.3729e-05,0.00011301457829801347,-0.00030816621223086864,0.00036745179052888213,7.0,5.249311293269745e-05,0.0002259256297333749,7.921804362977579e-07
0,29.043,6.40098,-5.5454e-05,0.00011587070496186461,-0.0003003845105768871,0.00036080121553875167,7.5,4.8106828738500225e-05,0.0002263240830774199,8.016308746580811e-07
0,29.543,6.51377,-5.6823e-05,0.00011873001654128836,-0.00029259920051239244,0.0003545062170536808,8.0,4.43132771317101e-05,0.0002267272585434138,8.110689253042521e-07
0,30.043,6.62472,-5.8175e-05,0.00012159250980728255,-0.00028481028874481097,0.00034822779855209354,8.5,4.09679763002463e-05,0.00022713514993931688,8.204945955057964e-07
0,30.543,6.73459,-5.9181e-05,0.00012445818153266654,-0.00027701778197573336,0.0003422949635083999,9.0,3.803277372315554e-05,0.00022754775107672364,8.299078925322329e-07
0,31.043,6.84335,-6.017e-05,0.00012732702849208456,-0.0002692216869009268,0.00033637871539301135,9.5,3.54082858308433e-05,0.00022796505577086482,8.393088236530887e-07
0,31.543,6.95144,-6.0582e-05,0.0001301990474620058,-0.0002614220102103177,0.0003310390576723235,10.0,3.310390576723235e-05,0.00022838705784060409,8.486973961378803e-07
0,32.043,7.05883,-6.0698e-05,0.00013307423522072002,-0.00025361875858800724,0.0003259949938087273,10.5,3.1047142267497834e-05,0.00022881375110844174,8.580736172561349e-07
0,32.543,7.16494,-6.3073e-05,0.0001359525885483411,-0.0002458119387122662,0.0003186915272606073,11.0,2.8971957023691575e-05,0.0002292451294005108,8.674374942773722e-07
0,33.043,7.27045,-6.2547e-05,0.00013883410422680775,-0.00023800155725552455,0.0003142886614823323,11.5,2.7329448824550637e-05,0.00022968118654658094,8.767890344711151e-07
0,33.543,7.37567,-6.1806e-05,0.00014171877903988283,-0.000230187620884394,0.00031010039992427686,12.0,2.5841699993689737e-05,0.00023012191638005584,8.861282451068843e-07
0,34.043,7.48056,-6.0796e-05,0.00014460660977314976,-0.00022237013625964544,0.0003061807460327952,12.5,2.4494459682623617e-05,0.000230567312737973,8.954551334542027e-07
0,34.543,7.58504,-5.9658e-05,0.00014749759321401774,-0.0002145491100362211,0.00030238870325023886,13.0,2.3260669480787604e-05,0.00023101736946100652,9.047697067825934e-07
0,35.043,7.68935,-5.8192e-05,0.00015039172615172007,-0.00020672454886323105,0.00029892427501495113,13.5,2.214253888999638e-05,0.00023147208039346417,9.140719723615787e-07
0,35.543,7.79333,-5.6972e-05,0.00015328900537731147,-0.0001988964593839567,0.0002952134647612682,14.0,2.10866760543763e-05,0.00023193143938328832,9.233619374606782e-07
0,36.043,7.89748,-5.5597e-05,0.00015618942768367075,-0.00019106484823584562,0.00029165727591951636,14.5,2.0114294891001128e-05,0.00023239544028205651,9.326396093494174e-07
0,36.543,8.00165,-5.3714e-05,0.00015909298986550163,-0.00018322972205051316,0.0002886087119160148,15.0,1.9240580794400985e-05,0.00023286407694498093,9.419049952973169e-07
0,37.043,8.10566,-5.172e-05,0.00016199968871933104,-0.00017539108745374433,0.0002856707761730754,15.5,1.8430372656327442e-05,0.00023333734323090867,9.511581025738997e-07
0,37.543,8.20985,-4.9745e-05,0.00016490952104350736,-0.0001675489510654972,0.00028271347210900453,16.0,1.7669592006812783e-05,0.00023381523300232106,9.603989384486847e-07
