Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
25.051,5.005,-3.9299999999999986e-05,9.32e-05,-0.000362412,0.000416251,2.208,0.000188519,0.00040221091387385166,-8e-07,0.0003379807834021369,0.0003367375287346845,0.0004168689320863659
25.122,5.026669999999998,-3.97e-05,9.36e-05,-0.000361311,0.000415131,2.279,0.000182155,0.00040224536693103923,-7.88e-07,0.0003383591919495503,0.0003370014688357627,0.00041589451106193923
25.185,5.04833,-4e-05,9.39e-05,-0.000360334,0.000414244,2.342,0.000176876,0.0004022766012720929,-7.76e-07,0.0003386949299836253,0.0003372360354534809,0.0004150387392178382
25.262,5.07,-4.04e-05,9.44e-05,-0.00035914,0.000413133,2.419,0.00017078700000000002,0.0004023156231879564,-7.629999999999998e-07,0.00033910523521917197,0.00033752319555198915,0.00041400405565907125
25.336,5.09167,-4.05e-05,9.48e-05,-0.000357992,0.00041224,2.4930000000000003,0.000165359,0.00040235400188790016,-7.49e-07,0.00033949951261843386,0.00033779965213184186,0.00041302130542426884
25.405,5.11333,-4.06e-05,9.52e-05,-0.000356921,0.000411522,2.562,0.000160625,0.00040239056156175703,-7.37e-07,0.00033986711339986,0.00033805785696797494,0.0004121151732067659
25.481,5.135,-4.09e-05,9.56e-05,-0.000355742,0.000410439,2.638,0.000155587,0.0004024316943392189,-7.23e-07,0.0003402719673710158,0.00033834273411865085,0.0004111284734542828
25.557,5.15667,-4.120000000000001e-05,9.6e-05,-0.000354563,0.000409404,2.714,0.000150849,0.00040247373252191203,-7.1e-07,0.0003406767806793409,0.00033862811182220134,0.0004101536272131943
25.635,5.17833,-4.14e-05,9.65e-05,-0.00035335300000000004,0.000408389,2.792,0.000146271,0.00040251781792943146,-6.96e-07,0.00034109220565398373,0.0003389215198141384,0.0004091653944507743
25.713,5.2,-4.120000000000001e-05,9.69e-05,-0.00035214199999999995,0.00040787,2.87,0.000142115,0.00040256285600168053,-6.82e-07,0.0003415075897630665,0.0003392154547736631,0.00040818952887267123
25.784,5.22167,-4.16e-05,9.73e-05,-0.00035104,0.00040678800000000016,2.9410000000000003,0.000138316,0.00040260468001766716,-6.690000000000001e-07,0.0003418856611203231,0.00033948346898823693,0.000407311942567786
25.864,5.24333,-4.18e-05,9.78e-05,-0.00034979900000000003,0.00040579300000000016,3.0210000000000004,0.00013432399999999998,0.00040265275044511955,-6.55e-07,0.00034231161836747667,0.0003397859797209106,0.00040633527465029526
25.95,5.265,-4.18e-05,9.83e-05,-0.000348464,0.000404893,3.107,0.000130316,0.00040270554206565685,-6.4e-07,0.0003427694779122928,0.00034011179653150464,0.000405299657953978
26.031,5.28667,-4.17e-05,9.87e-05,-0.000347207,0.000404217,3.188,0.000126793,0.00040275632116420004,-6.25e-07,0.0003432006767169595,0.0003404192557008415,0.00040433773214437746
