Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
25.013,5.265,-1.17e-05,9.29e-05,-0.00016466099999999995,0.000245902,2.949,8.340000000000001e-05,-0.0002703313971001298,-2.47e-05,-0.00014582652705794844,-0.0008572197577615014,0.0002444015809794481
25.07800000000001,5.28667,-1.19e-05,9.33e-05,-0.000163775,0.000245232,3.014,8.14e-05,-0.00027171449125286444,-2.47e-05,-0.00014752529115574927,-0.0008576346925461008,0.00024393409031653307
25.152,5.3083300000000015,-1.23e-05,9.37e-05,-0.000162766,0.000244188,3.088,7.91e-05,-0.0002732878688422718,-2.47e-05,-0.00014945759665003117,-0.0008581067393318212,0.0002433699056995887
25.229,5.33,-1.25e-05,9.42e-05,-0.000161716,0.00024333400000000005,3.165,7.69e-05,-0.00027492365129967174,-2.47e-05,-0.0001514663496451827,-0.0008585975383163641,0.00024274808062486197
25.3,5.35167,-1.31e-05,9.46e-05,-0.000160747,0.000242226,3.236,7.49e-05,-0.0002764307228243781,-2.47e-05,-0.00015331686986090306,-0.000859049745490227,0.00024214455409682053
25.372,5.37333,-1.33e-05,9.5e-05,-0.000159765,0.000241467,3.3080000000000003,7.3e-05,-0.00027795779895995425,-2.46e-05,-0.00015519178239207723,-0.0008595079811211755,0.0002415042101105027
25.446,5.395,-1.36e-05,9.54e-05,-0.000158756,0.00024054,3.382,7.11e-05,-0.0002795260123138499,-2.46e-05,-0.00015711702283341606,-0.0008599785881161664,0.00024081763752081183
25.516,5.41667,-1.39e-05,9.58e-05,-0.000157801,0.000239691,3.452,6.94e-05,-0.00028100826212815335,-2.46e-05,-0.00015893656146342326,-0.0008604234235001434,0.00024014282379419843
25.593000000000004,5.4383300000000006,-1.4300000000000005e-05,9.62e-05,-0.000156751,0.00023872,3.529,6.759999999999999e-05,-0.00028263739525451014,-2.46e-05,-0.00016093621913081249,-0.0008609123681142908,0.00023937341742803916
25.66800000000001,5.46,-1.47e-05,9.67e-05,-0.000155728,0.000237675,3.604,6.59e-05,-0.00028422286246693326,-2.46e-05,-0.00016288209056629978,-0.0008613882359489477,0.00023859806450310636
25.75,5.4816699999999985,-1.47e-05,9.71e-05,-0.00015461,0.000237001,3.686,6.43e-05,-0.00028595478179778866,-2.45e-05,-0.00016500749182635818,-0.0008619080925407108,0.00023772269700836465
25.82800000000001,5.50333,-1.51e-05,9.76e-05,-0.000153546,0.000236003,3.764,6.27e-05,-0.0002876007396859416,-2.45e-05,-0.0001670271949625834,-0.0008624021778027631,0.00023686482063818985
25.907,5.525,-1.55e-05,9.8e-05,-0.000152468,0.000235023,3.843,6.12e-05,-0.00028926633173035515,-2.45e-05,-0.00016907078521304514,-0.0008629021876435565,0.00023597250118832346
25.983,5.54667,-1.6e-05,9.84e-05,-0.000151431,0.000233878,3.919,5.97e-05,-0.0002908672798515451,-2.45e-05,-0.0001710348659993125,-0.0008633828205808787,0.00023509329054342387
26.056,5.56833,-1.62e-05,9.89e-05,-0.000150436,0.000233135,3.992,5.84e-05,-0.00029240374637823737,-2.45e-05,-0.00017291965938569286,-0.0008638441218768327,0.00023423094801843238
26.137,5.59,-1.65e-05,9.93e-05,-0.000149331,0.000232145,4.073,5.7e-05,-0.0002941071182383156,-2.44e-05,-0.00017500899047684045,-0.0008643555647753025,0.00023325520344511457
26.224,5.6116699999999975,-1.66e-05,9.98e-05,-0.00014814399999999998,0.000231375,4.16,5.56e-05,-0.0002959349387233593,-2.44e-05,-0.000177250727057625,-0.0008649044097212887,0.0002321869500706726
26.303,5.63333,-1.6899999999999994e-05,0.000100258,-0.000147066,0.000230386,4.239,5.4299999999999985e-05,-0.0002975931348162683,-2.44e-05,-0.0001792842107941266,-0.0008654023532363213,0.00023120053328302493
26.389,5.655,-1.7100000000000002e-05,0.000100747,-0.000145892,0.00022955,4.325,5.31e-05,-0.0002993965843503281,-2.44e-05,-0.00018149558810323,-0.0008659439499719435,0.0002301109153579727
26.469,5.67667,-1.75e-05,0.000101201,-0.000144801,0.00022851,4.405,5.19e-05,-0.00030107264458058004,-2.43e-05,-0.00018355054263977495,-0.000866447322654363,0.00022908429982805602
26.544,5.69833,-1.7800000000000002e-05,0.000101628,-0.000143778,0.000227575,4.48,5.08e-05,-0.0003026425796739058,-2.43e-05,-0.00018547518963193613,-0.0008669188509986495,0.0002281119737771446
26.642,5.72,-1.8e-05,0.000102185,-0.00014244,0.000226655,4.578,4.95e-05,-0.00030469196235788934,-2.43e-05,-0.00018798733176187554,-0.0008675344221167793,0.00022682939640071564
26.713,5.74167,-1.84e-05,0.000102588,-0.00014147200000000002,0.000225615,4.649,4.85e-05,-0.0003061753048899094,-2.43e-05,-0.00018980542203592252,-0.0008679800013845034,0.00022589322850030214
26.794,5.7633300000000025,-1.87e-05,0.000103049,-0.000140366,0.000224683,4.73,4.75e-05,-0.00030786611831172154,-2.43e-05,-0.0001918776009955584,-0.000868487932328845,0.00022481974214643146
26.886,5.785,-1.87e-05,0.000103572,-0.000139111,0.000223993,4.822,4.650000000000001e-05,-0.0003097846739253518,-2.42e-05,-0.00019422862825967991,-0.0008690643168507204,0.0002235955191029775
26.966,5.80667,-1.95e-05,0.000104027,-0.000138019,0.000222562,4.902,4.54e-05,-0.0003114513633130127,-2.42e-05,-0.00019627078889568659,-0.0008695650672530085,0.00022252858410545508
27.063,5.82833,-1.94e-05,0.000104579,-0.000136695,0.000221827,4.999,4.44e-05,-0.00031347020395750073,-2.42e-05,-0.0001987441516302877,-0.0008701716613483828,0.00022123444695421027
27.139,5.85,-1.98e-05,0.000105012,-0.00013565799999999998,0.00022085,5.075,4.35e-05,-0.00031505042957152303,-2.42e-05,-0.00020067993390241433,-0.0008706464977735068,0.00022022192356212648
27.22300000000001,5.87167,-2e-05,0.00010549,-0.000134511,0.000219999,5.159,4.26e-05,-0.00031679541462590195,-2.410000000000001e-05,-0.00020281732688500495,-0.0008711708742766209,0.00021910616591976705
27.32,5.8933300000000015,-2.03e-05,0.000106042,-0.000133187,0.000218955,5.256,4.17e-05,-0.0003188083936635473,-2.410000000000001e-05,-0.0002052826922110387,-0.0008717758260918765,0.00021782455391896095
27.409,5.915,-2.05e-05,0.000106549,-0.000131973,0.000217977,5.345,4.08e-05,-0.0003206534093368576,-2.410000000000001e-05,-0.00020754207612029237,-0.0008723303399299226,0.00021665750137388247
27.49,5.93667,-2.12e-05,0.00010701,-0.000130867,0.000216671,5.426,3.99e-05,-0.00032233096417308345,-2.410000000000001e-05,-0.00020959616435742794,-0.0008728345565452368,0.00021560471822612513
27.58,5.95833,-2.12e-05,0.000107523,-0.00012963799999999998,0.00021595,5.516,3.91e-05,-0.00032419310784721707,-2.410000000000001e-05,-0.00021187602161521694,-0.0008733942907259835,0.0002144475994535463
27.676,5.98,-2.14e-05,0.00010807,-0.00012832799999999998,0.000214958,5.612,3.83e-05,-0.0003261772998263451,-2.4e-05,-0.00021430501334706057,-0.0008739907529839275,0.00021323059373026465
27.765,6.00167,-2.18e-05,0.000108577,-0.000127113,0.000213879,5.7010000000000005,3.75e-05,-0.000328014880600847,-2.4e-05,-0.0002165542591439545,-0.0008745431815575683,0.00021212069666358882
27.852,6.0233300000000005,-2.21e-05,0.000109073,-0.000125925,0.000212852,5.7879999999999985,3.68e-05,-0.0003298093728996794,-2.4e-05,-0.00021875051388872598,-0.000875082692402201,0.00021105508483158986
