,Temp./�C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.082,0.0,1.9445e-05,7.639564077797142e-05,-0.0004083937729620034,0.0005042344137399748,0.0,inf,0.0006363590812610924,-1.2793504114230538e-05
0,22.582,4.29518,8.9868e-06,7.921032069796181e-05,-0.0004006593051308783,0.00048885642582884,0.5,0.00097771285165768,0.0006299877146821687,-1.2692011622303075e-05
0,23.082,4.65271,-3.4658e-06,8.202822742272957e-05,-0.0003929211416913523,0.0004714835691140819,1.0,0.0004714835691140819,0.0006236670202490443,-1.2590815468844072e-05
0,23.582,4.90889,-1.449e-05,8.484935769970808e-05,-0.00038517928942621155,0.0004555386471259196,1.5,0.0003036924314172797,0.0006173968498857695,-1.248991528071909e-05
0,24.082,5.11868,-2.4591e-05,8.767370827815132e-05,-0.00037743375511240136,0.00044051646339055266,2.0,0.00022025823169527633,0.0006111770557029588,-1.2389310684793745e-05
0,24.582,5.30181,-3.3862e-05,9.050127590914253e-05,-0.0003696845455210349,0.00042632382143017745,2.5,0.00017052952857207098,0.0006050074899977978,-1.2289001307933591e-05
0,25.082,5.46635,-4.3277e-05,9.333205734558467e-05,-0.0003619316674174002,0.0004119867247629849,3.0,0.0001373289082543283,0.0005988880052540365,-1.2188986777004254e-05
0,25.582,5.61765,-5.1207e-05,9.616604934220563e-05,-0.0003541751275609496,0.00039913417690315526,3.5,0.00011403833625804435,0.0005928184541419941,-1.2089266718871302e-05
0,26.082,5.75909,-5.8881e-05,9.900324865555737e-05,-0.00034641493270530337,0.00038653718136086074,4.0,9.663429534021518e-05,0.0005867986895185546,-1.1989840760400326e-05
0,26.582,5.89322,-6.5644e-05,0.0001018436520440107,-0.000338651089598253,0.0003748507416422637,4.5,8.330016480939193e-05,0.0005808285644271723,-1.1890708528456922e-05
0,27.082,6.02144,-7.2358e-05,0.00010468725626776657,-0.0003308836049817545,0.00036321286124952105,5.0,7.264257224990421e-05,0.0005749079320978667,-1.1791869649906674e-05
0,27.582,6.14489,-7.8559e-05,0.00010753405808884824,-0.0003231124855919386,0.0003520875436807868,5.5,6.401591703287032e-05,0.0005690366459472226,-1.1693323751615174e-05
0,28.082,6.26468,-8.4453e-05,0.000110384054271097,-0.0003153377381590987,0.00034126879243019567,6.0,5.687813207169928e-05,0.0005632145595783969,-1.1595070460448011e-05
0,28.582,6.38109,-8.9835e-05,0.00011323724158018335,-0.00030755936940770126,0.0003309616109878846,6.5,5.0917170921213015e-05,0.0005574415267811102,-1.149710940327078e-05
0,29.082,6.49505,-9.4249e-05,0.0001160936167835993,-0.0002997773860563789,0.0003216220028399782,7.0,4.594600040571117e-05,0.0005517174015316501,-1.139944020694905e-05
0,29.582,6.6068,-9.861e-05,0.00011895317665066001,-0.0002919917948179338,0.0003123349714685938,7.5,4.1644662862479176e-05,0.0005460420379928737,-1.130206249834844e-05
0,30.082,6.71672,-0.00010253,0.00012181591795250562,-0.00028420260239933257,0.0003034885203518382,8.0,3.7936065043979775e-05,0.0005404152905142045,-1.120497590433452e-05
0,30.582,6.82518,-0.00010644,0.00012468183746209768,-0.00027640981550172,0.00029465165296381767,8.5,3.4664900348684434e-05,0.0005348370136316304,-1.1108180051772875e-05
0,31.082,6.93249,-0.00010953,0.00012755093195422357,-0.0002686134408203967,0.0002866343727746203,9.0,3.184826364162447e-05,0.0005293070620677113,-1.1011674567529109e-05
0,31.582,7.03886,-0.00011267,0.00013042319820549386,-0.00026081348504484667,0.00027856668325034053,9.5,2.932280876319374e-05,0.0005238252907315702,-1.0915459078468799e-05
0,32.082,7.1445,-0.00011478,0.00013329863299433795,-0.0002530099548587062,0.0002715285878530442,10.0,2.715285878530442e-05,0.0005183915547189006,-1.0819533211457544e-05
0,32.582,7.24972,-0.00011669,0.000136177233101018,-0.00024520285693979335,0.00026469009004081133,10.5,2.5208580003886793e-05,0.0005130057093119616,-1.072389659336093e-05
0,33.082,7.35452,-0.00011858,0.0001390589953076107,-0.00023739219796008876,0.00025787119326769944,11.0,2.344283575160904e-05,0.0005076676099795767,-1.0628548851044552e-05
0,33.582,7.45866,-0.00012024,0.00014194391639801938,-0.0002295779845857427,0.0002512819009837621,11.5,2.185060008554453e-05,0.0005023771123771419,-1.0533489611373975e-05
0,34.082,7.56261,-0.00012123,0.0001448319931579749,-0.00022176022347707505,0.00024536221663504996,12.0,2.0446851386254164e-05,0.0004971340723466172,-1.0438718501214824e-05
0,34.582,7.6662,-0.00012169,0.0001477232223750253,-0.00021393892128857006,0.00023997214366359537,12.5,1.9197771493087628e-05,0.0004919383459165315,-1.0344235147432655e-05
0,35.082,7.76974,-0.00012184,0.00015061760083854604,-0.00020611408466888678,0.0002348916855074328,13.0,1.806859119287945e-05,0.00048678978930197757,-1.0250039176893085e-05
0,35.582,7.87302,-0.00012216,0.0001535151253397359,-0.00019828572026084866,0.00022964084560058454,13.5,1.7010433007450708e-05,0.0004816882589046205,-1.0156130216461688e-05
0,36.082,7.97608,-0.00012195,0.000156415792671615,-0.00019045383470145047,0.00022491962737306546,14.0,1.6065687669504676e-05,0.0004766336113126873,-1.0062507893004063e-05
