,Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha
0,22.643,0.0,2.437e-05,7.955393256234202e-05,-0.0003997154469847306,0.0005036393795470727,0.0,inf,5.673743215680498e-05,2.9533372469997695e-06
0,23.143,4.55172,1.3945e-05,8.237223273464388e-05,-0.0003919768331453275,0.0004882940658799714,0.5,0.0009765881317599428,5.8216009231412767e-05,2.960969242266235e-06
0,23.643,4.90025,8.4982e-07,8.519375606246687e-05,-0.000384234531307405,0.00047027810736987186,1.0,0.00047027810736987186,5.969839959049173e-05,2.9685903860538627e-06
0,24.143,5.15088,-1.0521e-05,8.801849929529135e-05,-0.0003764885482472006,0.00045398604754249194,1.5,0.00030265736502832794,6.118459781005595e-05,2.976200685377451e-06
0,24.643,5.35767,-2.2187e-05,9.084645918441825e-05,-0.0003687388907351215,0.0004373983499195397,2.0,0.00021869917495976986,6.267459846962713e-05,2.9838001472517995e-06
0,25.143,5.53751,-3.2245e-05,9.367763248297606e-05,-0.00036098556553573746,0.00042241819801871355,2.5,0.00016896727920748543,6.416839615223545e-05,2.9913887786917083e-06
0,25.643,5.69977,-4.1634e-05,9.651201594591471e-05,-0.0003532285794077897,0.00040810659535370436,3.0,0.00013603553178456813,6.566598544441565e-05,2.9989665867119762e-06
0,26.143,5.84892,-4.9932e-05,9.934960633000561e-05,-0.0003454679391041906,0.0003948855454341962,3.5,0.00011282444155262749,6.716736093621313e-05,3.0065335783274036e-06
0,26.643,5.98796,-5.7785e-05,0.00010219040039384768,-0.00033770365137201705,0.00038210905176586476,4.0,9.552726294146619e-05,6.86725172211783e-05,3.0140897605527887e-06
0,27.143,6.11963,-6.6605e-05,0.00010503439489786132,-0.00032993572295251725,0.00036836511785037855,4.5,8.18589150778619e-05,7.018144889636962e-05,3.021635140402932e-06
0,27.643,6.24564,-7.2726e-05,0.00010788158660428922,-0.0003221641605811107,0.0003573197471853999,5.0,7.146394943707998e-05,7.169415056235444e-05,3.0291697248926326e-06
0,28.143,6.3667,-7.9769e-05,0.00011073197227720079,-0.00031438897098737435,0.00034535194326457515,5.5,6.279126241174094e-05,7.321061682320513e-05,3.03669352103669e-06
0,28.643,6.48416,-8.612e-05,0.00011358554868248598,-0.00030661016089506693,0.00033407570957755294,6.0,5.5679284929592155e-05,7.473084228650255e-05,3.044206535849903e-06
0,29.143,6.59845,-9.0808e-05,0.00011644231258785883,-0.00029882773702210805,0.0003244620496099669,6.5,4.991723840153337e-05,7.625482156333558e-05,3.051708776347071e-06
0,29.643,6.71054,-9.6696e-05,0.00011930226076285657,-0.00029104170608058866,0.0003136479668434452,7.0,4.480685240620646e-05,7.778254926829901e-05,3.059200249542994e-06
0,30.143,6.82005,-0.00010135,0.00012216538997884656,-0.00028325207477676584,0.0003040674647556124,7.5,4.054232863408165e-05,7.931402001949738e-05,3.0666809624524714e-06
0,30.643,6.92755,-0.00010528,0.0001250316970090072,-0.00027545884981106973,0.0002952105468200769,8.0,3.6901318352509615e-05,8.084922843853981e-05,3.0741509220903032e-06
