Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
21.53,0.0,1.52e-05,7.329999999999999e-05,-0.000416928,0.000505414,0.0,inf,0.000172387506079375,2.78e-06,0.0002589897430896374,0.00015337268226833897,0.000498986880027784
22.03,4.02318,1.36e-05,7.609999999999999e-05,-0.00040919800000000016,0.000498924,0.5,0.000997848,0.0001737770480905983,2.78e-06,0.00025909056133582723,0.00015495086340467214,0.0004865350668091651
22.53,4.42213,2.97e-06,7.890000000000001e-05,-0.00040146400000000003,0.000483356,1.0,0.000483356,0.0001751703045620905,2.79e-06,0.00025920404795430054,0.00015653191644438732,0.00047451049294772407
23.03,4.69738,-6.66e-06,8.170000000000001e-05,-0.000393726,0.000468805,1.5,0.000312537,0.00017656727163816105,2.8e-06,0.0002593301635226866,0.00015811583948409515,0.00046290481003320575
23.53,4.91933,-1.58e-05,8.46e-05,-0.000385985,0.00045469099999999996,2.0,0.000227346,0.0001779679454650615,2.81e-06,0.0002594688687000625,0.00015970263062040622,0.00045170966965535483
24.03,5.1101,-2.33e-05,8.740000000000001e-05,-0.000378239,0.000442334,2.5,0.000176934,0.00017937232219098105,2.81e-06,0.00025962012422687565,0.0001612922879499312,0.00044091672340391605
24.53,5.28089,-3.04e-05,9.02e-05,-0.000370491,0.000430301,3.0,0.000143434,0.00018078039796605005,2.82e-06,0.0002597838909248599,0.00016288480956928078,0.00043051762286863427
25.03,5.43715,-3.65e-05,9.300000000000001e-05,-0.00036273800000000004,0.000419294,3.5,0.000119798,0.0001821921689423374,2.83e-06,0.000259960129696965,0.00016448019357506553,0.0004205040196392542
25.53,5.58283,-4.24e-05,9.590000000000001e-05,-0.000354982,0.00040841,4.0,0.000102103,0.00018360763127385276,2.83e-06,0.00026014880152726684,0.00016607843806389614,0.00041086756530552064
26.03,5.72085,-4.7799999999999996e-05,9.87e-05,-0.00034722199999999995,0.000398176,4.5,8.85e-05,0.00018502678111654474,2.84e-06,0.0002603498674808979,0.00016767954113238327,0.0004015999114571782
26.53,5.8521800000000015,-5.24e-05,0.000101548,-0.000339459,0.000388585,5.0,7.77e-05,0.0001864496146283018,2.85e-06,0.00026056328870396363,0.0001692835008771375,0.0003926927096839719
27.03,5.97858,-5.65e-05,0.000104391,-0.00033169199999999997,0.000379561,5.5,6.9e-05,0.00018787612796895186,2.86e-06,0.0002607890264234641,0.0001708903153947695,0.0003841376115756464
27.53,6.1009199999999995,-6.01e-05,0.00010723799999999999,-0.00032392099999999996,0.000371066,6.0,6.18e-05,0.00018930631730026308,2.86e-06,0.000261027041947214,0.00017249998278188992,0.00037592626872194634
28.03,6.2199599999999995,-6.32e-05,0.000110088,-0.000316146,0.000363078,6.5,5.59e-05,0.00019074017878594352,2.87e-06,0.0002612772966637646,0.00017411250113510938,0.00036805033271261665
28.53,6.33643,-6.61e-05,0.00011294,-0.000308368,0.00035524199999999997,7.0,5.07e-05,0.00019217770859163976,2.88e-06,0.0002615397520423276,0.00017572786855103855,0.0003605014551374019
29.03,6.45081,-6.850000000000001e-05,0.000115796,-0.000300587,0.00034790300000000005,7.5,4.6399999999999996e-05,0.00019361890288493912,2.89e-06,0.0002618143696326903,0.00017734608312628802,0.00035327128758604715
29.53,6.56398,-7.01e-05,0.000118656,-0.000292802,0.00034140300000000005,8.0,4.2700000000000015e-05,0.00019506375783536834,2.89e-06,0.00026210111106514,0.00017896714295746852,0.0003463514816482969
30.03,6.67555,-7.209999999999999e-05,0.000121518,-0.000285013,0.000334406,8.5,3.9299999999999986e-05,0.00019651226961439356,2.9e-06,0.00026239993805038473,0.00018059104614119058,0.00033973368891389603
30.53,6.7861,-7.329999999999999e-05,0.000124384,-0.00027722,0.000328273,9.0,3.65e-05,0.00019796443439542124,2.91e-06,0.0002627108123794751,0.00018221779077406494,0.0003334095609725892
31.03,6.89543,-7.41e-05,0.000127252,-0.00026942400000000004,0.000322568,9.5,3.4e-05,0.00019942024835379636,2.92e-06,0.00026303369592372205,0.0001838473749527022,0.0003273707494141213
31.53,7.0034,-7.48e-05,0.000130124,-0.000261625,0.000316938,10.0,3.17e-05,0.0002008797076668051,2.92e-06,0.00026336855063462204,0.00018547979677371296,0.00032160890582823715
32.03,7.1104600000000024,-7.53e-05,0.000132999,-0.000253822,0.00031151700000000003,10.5,2.97e-05,0.00020234280851367213,2.93e-06,0.00026371533854377405,0.00018711505433370796,0.0003161156818046813
