Temp./°C,Time/min,dL/Lo,Certificate,Standard,Corrected,delT,EngAlpha,Fitted,Alpha,Poly5,SplFit,TightSpl
25.035999999999998,5.3516699999999995,-9.01e-05,9.31e-05,-7.709999999999999e-05,8.01e-05,3.122,2.57e-05,5.597397468618388e-05,-2.7000000000000002e-05,6.726169002369144e-05,3.75610111036506e-05,6.405384676311861e-05
25.114,5.37333,-9.14e-05,9.350000000000001e-05,-7.62e-05,7.829999999999999e-05,3.2,2.45e-05,5.438701442242965e-05,-2.6899999999999997e-05,6.538846475693535e-05,3.628227282551043e-05,6.225715903038524e-05
25.183000000000003,5.395,-9.290000000000001e-05,9.39e-05,-7.53e-05,7.63e-05,3.2689999999999997,2.33e-05,5.298802806331552e-05,-2.68e-05,6.37389297728944e-05,3.5154093990538594e-05,6.067437316986516e-05
25.256,5.41667,-9.41e-05,9.429999999999999e-05,-7.44e-05,7.47e-05,3.342,2.23e-05,5.151290153030655e-05,-2.6700000000000002e-05,6.200145853751937e-05,3.396358946243392e-05,5.900655304661655e-05
25.320999999999998,5.4383300000000006,-9.590000000000001e-05,9.470000000000001e-05,-7.37e-05,7.240000000000001e-05,3.407,2.13e-05,5.0203717391862624e-05,-2.660000000000001e-05,6.046102754974833e-05,3.290621049356438e-05,5.752731158446853e-05
25.4,5.46,-9.85e-05,9.51e-05,-7.269999999999999e-05,6.929999999999999e-05,3.486,1.99e-05,4.861797879074817e-05,-2.65e-05,5.859719496069816e-05,3.162445774926411e-05,5.573680838480852e-05
25.483,5.481669999999999,-0.00010043,9.559999999999999e-05,-7.170000000000001e-05,6.69e-05,3.569,1.87e-05,4.695834745914489e-05,-2.64e-05,5.664886570111292e-05,3.028178463534829e-05,5.386430687292164e-05
25.559,5.50333,-0.00010192,9.6e-05,-7.08e-05,6.49e-05,3.645,1.7800000000000002e-05,4.544442282395278e-05,-2.62e-05,5.4873695379852646e-05,2.905592076366421e-05,5.2157490827328294e-05
25.638,5.525,-0.00010344,9.65e-05,-6.979999999999999e-05,6.28e-05,3.7239999999999998,1.6899999999999994e-05,4.387654011509982e-05,-2.61e-05,5.303737967322518e-05,2.7785283063155044e-05,5.0391148087366004e-05
25.713,5.54667,-0.00010455,9.690000000000001e-05,-6.890000000000001e-05,6.13e-05,3.799,1.6100000000000002e-05,4.239350562485381e-05,-2.6000000000000002e-05,5.1302432699972184e-05,2.658238830575384e-05,4.872162488680674e-05
25.79,5.5683300000000004,-0.00010666,9.73e-05,-6.8e-05,5.8599999999999995e-05,3.8760000000000003,1.51e-05,4.087644689842958e-05,-2.59e-05,4.95296929055806e-05,2.5350865107556795e-05,4.701504593131155e-05
25.859,5.59,-0.00010843,9.77e-05,-6.709999999999999e-05,5.6399999999999995e-05,3.945,1.4300000000000005e-05,3.952174954975331e-05,-2.58e-05,4.794840157806854e-05,2.4250257915137174e-05,4.5492184251055464e-05
25.94400000000001,5.6116699999999975,-0.00011003,9.82e-05,-6.61e-05,5.4299999999999985e-05,4.03,1.3500000000000001e-05,3.785907238683831e-05,-2.57e-05,4.600984398386623e-05,2.2898286895348302e-05,4.362450456303298e-05
26.026,5.63333,-0.00011138,9.87e-05,-6.51e-05,5.24e-05,4.112,1.27e-05,3.6261501384249626e-05,-2.56e-05,4.4149514470589936e-05,2.159805533696375e-05,4.1831414142540824e-05
26.104,5.655,-0.00011286,9.91e-05,-6.409999999999999e-05,5.04e-05,4.19,1.2e-05,3.47477020206843e-05,-2.55e-05,4.238883784669545e-05,2.036491192193939e-05,4.013367356865214e-05
26.185,5.67667,-0.00011479999999999999,9.96e-05,-6.32e-05,4.79e-05,4.271,1.12e-05,3.318169488859737e-05,-2.54e-05,4.056959853249739e-05,1.9088115161478834e-05,3.837874856580782e-05
26.272,5.69833,-0.00011630000000000001,0.00010008200000000001,-6.21e-05,4.59e-05,4.3580000000000005,1.05e-05,3.150649896767316e-05,-2.52e-05,3.862595174450003e-05,1.772102058775535e-05,3.6503012630826106e-05
26.346,5.72,-0.00011843,0.000100503,-6.12e-05,4.33e-05,4.4319999999999995,9.76e-06,3.0087160281147904e-05,-2.51e-05,3.6981140817113914e-05,1.65616892995548e-05,3.4915025611949234e-05
26.43,5.74167,-0.00012014,0.00010098,-6.02e-05,4.1e-05,4.516,9.08e-06,2.848217782831135e-05,-2.5e-05,3.512338665437477e-05,1.5249569370978148e-05,3.312074162947056e-05
26.513,5.7633300000000025,-0.00012136,0.000101451,-5.920000000000001e-05,3.9299999999999986e-05,4.599,8.54e-06,2.6902720657835064e-05,-2.49e-05,3.329745474735338e-05,1.3957115398540416e-05,3.1356459897328054e-05
26.609,5.785,-0.00012302,0.000101997,-5.7999999999999994e-05,3.7e-05,4.695,7.88e-06,2.508381714125572e-05,-2.48e-05,3.1197517504160164e-05,1.246723831087301e-05,2.9326528164860504e-05
26.686999999999998,5.8066699999999996,-0.00012456,0.000102441,-5.710000000000001e-05,3.4899999999999995e-05,4.773,7.32e-06,2.361221360334034e-05,-2.47e-05,2.950074575812489e-05,1.1260665098154283e-05,2.768562303765146e-05
26.772,5.82833,-0.00012651,0.00010292399999999999,-5.600000000000001e-05,3.24e-05,4.8580000000000005,6.68e-06,2.2014914393218583e-05,-2.45e-05,2.766128474010864e-05,9.949839315546432e-06,2.590602308424196e-05
26.857,5.85,-0.00012833,0.00010340700000000001,-5.5e-05,3.01e-05,4.9430000000000005,6.08e-06,2.042424545050975e-05,-2.44e-05,2.5831781912549252e-05,8.64321154887551e-06,2.413533294367649e-05
26.954,5.87167,-0.00013071,0.000103959,-5.3799999999999986e-05,2.71e-05,5.04,5.37e-06,1.861709261985432e-05,-2.4299999999999998e-05,2.3756111992532023e-05,7.157241375509833e-06,2.212551691898718e-05
27.028000000000002,5.8933300000000015,-0.00013175,0.00010438,-5.290000000000001e-05,2.55e-05,5.114,4.99e-06,1.7244219109305243e-05,-2.42e-05,2.2181260822925835e-05,6.027282248581217e-06,2.0600013408414698e-05
27.129,5.915,-0.00013294,0.000104955,-5.17e-05,2.37e-05,5.215,4.54e-06,1.5378484985447826e-05,-2.410000000000001e-05,2.0043832217696202e-05,4.490157339332641e-06,1.8528711738295517e-05
27.209,5.9366699999999994,-0.00013476,0.00010541,-5.07e-05,2.14e-05,5.295,4.03e-06,1.3907257808021744e-05,-2.3899999999999998e-05,1.83606359742024e-05,3.2768195445498462e-06,1.6896903502725698e-05
27.3,5.95833,-0.00013654,0.00010592799999999999,-4.96e-05,1.9e-05,5.386,3.53e-06,1.2240793095801873e-05,-2.380000000000001e-05,1.6456504758329324e-05,1.9011417346940347e-06,1.5050179070842107e-05
27.391,5.98,-0.00013811,0.000106446,-4.85e-05,1.6800000000000002e-05,5.477,3.07e-06,1.0581820875823572e-05,-2.37e-05,1.4563507947626468e-05,5.30241275873479e-07,1.3213491462725336e-05
27.479,6.00167,-0.00014033,0.000106947,-4.74e-05,1.4000000000000001e-05,5.565,2.52e-06,8.984648857631762e-06,-2.36e-05,1.274346269231706e-05,-7.909265093312058e-07,1.1446871537425252e-05
27.565,6.0233300000000005,-0.00014153,0.00010743700000000001,-4.6399999999999996e-05,1.23e-05,5.651,2.17e-06,7.430513333055074e-06,-2.35e-05,1.0974758020725745e-05,-2.077761799959233e-06,9.72941699950394e-06
27.656,6.045,-0.00014314,0.00010795600000000001,-4.5299999999999997e-05,1.01e-05,5.742000000000001,1.76e-06,5.7932555618924256e-06,-2.33e-05,9.113914928435035e-06,-3.4347838102596178e-06,7.92178546685866e-06
