#EXPORTTYPE:           ,DATA ALL                                                               
#FILE:                 ,fmtl001Arun1.ngb-sle                                                   
#FORMAT:               ,NETZSCH5                                                               
#FTYPE:                ,ANSI                                                                   
#IDENTITY:             ,fmt olig base                                                          
#DECIMAL:              ,POINT                                                                  
#SEPARATOR:            ,COMMA                                                                  
#MTYPE:                ,DIL                                                                    
#INSTRUMENT:           ,NETZSCH DIL 402C                                                       
#PROJECT:              ,feldspar                                                               
#DATE/TIME:            ,8/16/2019 10:53:52 AM (UTC-5)                                          
#CORR. FILE:           ,                                                                       
#TEMPCAL:              ,TCALZERO.TMX                                                           
#LABORATORY:           ,Mineral Physics                                                        
#OPERATOR:             ,PAG                                                                    
#REMARK:               ,bare, norm start, for oligoclase fmt base 11.19 by 8.8 mm, probably 001
#SAMPLE:               ,fmt001A                                                                
#SAMPLE LENGTH /mm:    ,11.19                                                                  
#MATERIAL:             ,sapphire stnd                                                          
#MEASMODE:             ,Standard Expansion                                                     
#PURGE GAS 1:          ,ARGON                                                                  
#FLOW RATE 1 /(ml/min):,75                                                                     
#M.RANGE /µm:          ,500                                                                    
#CORR. CODE:           ,010                                                                    
#RANGE:                ,20.0°C/3.0(K/min)/990.0°C                                              
#SEGMENT:              ,S1/1                                                                   
#SEG. 1:               ,20.0°C/3.0(K/min)/990.0°C                                              

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
  22.05900,  0.00000, 1.8974e-005,-4.6302e-006
  22.55900,  4.24315, 4.7375e-006,-7.4690e-006
  23.05900,  4.62042, 1.9210e-007,-8.6272e-006
  23.55900,  4.88485,-3.3482e-006,-6.4363e-006
  24.05900,  5.09953,-6.1220e-006,-5.5363e-006
  24.55900,  5.28512,-8.6034e-006,-3.7489e-006
  25.05900,  5.45107,-1.0214e-005,-2.9410e-006
  25.55900,  5.60324,-1.1591e-005,-2.0632e-006
  26.05900,  5.74508,-1.2519e-005,-1.3741e-006
  26.55900,  5.87915,-1.3150e-005,-2.8161e-007
  27.05900,  6.00716,-1.3089e-005, 2.1445e-007
  27.55900,  6.13035,-1.3103e-005, 4.8749e-007
  28.05900,  6.24929,-1.2759e-005, 1.1110e-006
  28.55900,  6.36512,-1.2019e-005, 1.6947e-006
  29.05900,  6.47808,-1.0911e-005, 2.5122e-006
  29.55900,  6.58876,-9.4982e-006, 3.1442e-006
  30.05900,  6.69761,-7.5035e-006, 3.7123e-006
  30.55900,  6.80504,-5.8104e-006, 4.1880e-006
  31.05900,  6.91107,-3.6424e-006, 4.6278e-006
  31.55900,  7.01620,-1.2314e-006, 4.6909e-006
  32.05900,  7.12073, 1.3293e-006, 5.2135e-006
  32.55900,  7.22467, 4.2740e-006, 6.0730e-006
  33.05900,  7.32813, 7.3359e-006, 6.3353e-006
  33.55900,  7.43111, 1.0562e-005, 6.6989e-006
  34.05900,  7.53378, 1.4153e-005, 7.4073e-006
  34.55900,  7.63610, 1.7713e-005, 7.5830e-006
  35.05900,  7.73820, 2.1530e-005, 7.7995e-006
  35.55900,  7.83989, 2.5546e-005, 8.3745e-006
  36.05900,  7.94150, 2.9930e-005, 8.9689e-006
  36.55900,  8.04298, 3.4730e-005, 9.1201e-006
  37.05900,  8.14441, 3.9286e-005, 8.8630e-006
  37.55900,  8.24576, 4.3637e-005, 9.2762e-006
  38.05900,  8.34730, 4.8317e-005, 9.8318e-006
  38.55900,  8.44876, 5.3516e-005, 1.0339e-005
  39.05900,  8.55037, 5.8663e-005, 9.8989e-006
  39.55900,  8.65225, 6.3801e-005, 1.0401e-005
  40.05900,  8.75401, 6.8907e-005, 1.0484e-005
  40.55900,  8.85560, 7.4248e-005, 1.0916e-005
  41.05900,  8.95744, 7.9793e-005, 1.1318e-005
  41.55900,  9.05907, 8.4980e-005, 1.0887e-005
  42.05900,  9.16087, 9.0879e-005, 1.0625e-005
  42.55900,  9.26248, 9.6038e-005, 1.1565e-005
  43.05900,  9.36376, 1.0207e-004, 1.1628e-005
  43.55900,  9.46494, 1.0788e-004, 1.1631e-005
  44.05900,  9.56618, 1.1349e-004, 1.1805e-005
  44.55900,  9.66688, 1.1962e-004, 1.1856e-005
  45.05900,  9.76736, 1.2574e-004, 1.2270e-005
  45.55900,  9.86752, 1.3133e-004, 1.2086e-005
  46.05900,  9.96737, 1.3759e-004, 1.2257e-005
  46.55900, 10.06692, 1.4365e-004, 1.2351e-005
  47.05900, 10.16647, 1.5032e-004, 1.2577e-005
  47.55900, 10.26542, 1.5640e-004, 1.2152e-005
  48.05900, 10.36400, 1.6287e-004, 1.2681e-005
  48.55900, 10.46228, 1.6886e-004, 1.2504e-005
  49.05900, 10.56038, 1.7504e-004, 1.2829e-005
  49.55900, 10.65808, 1.8192e-004, 1.3222e-005
  50.05900, 10.75549, 1.8839e-004, 1.2872e-005
  50.55900, 10.85217, 1.9449e-004, 1.3347e-005
  51.05900, 10.94851, 2.0160e-004, 1.2930e-005
  51.55900, 11.04467, 2.0760e-004, 1.3171e-005
  52.05900, 11.14055, 2.1432e-004, 1.3413e-005
  52.55900, 11.23590, 2.2141e-004, 1.3409e-005
  53.05900, 11.33079, 2.2796e-004, 1.3264e-005
  53.55900, 11.42549, 2.3463e-004, 1.3514e-005
  54.05900, 11.52002, 2.4144e-004, 1.3040e-005
  54.55900, 11.61462, 2.4776e-004, 1.3047e-005
  55.05900, 11.70898, 2.5456e-004, 1.4081e-005
  55.55900, 11.80304, 2.6136e-004, 1.3534e-005
  56.05900, 11.89706, 2.6834e-004, 1.4042e-005
  56.55900, 11.99097, 2.7517e-004, 1.4112e-005
  57.05900, 12.08471, 2.8260e-004, 1.5010e-005
  57.55900, 12.17820, 2.8974e-004, 1.3884e-005
  58.05900, 12.27133, 2.9692e-004, 1.4377e-005
  58.55900, 12.36442, 3.0416e-004, 1.4955e-005
  59.05900, 12.45746, 3.1155e-004, 1.4297e-005
  59.55900, 12.55032, 3.1896e-004, 1.4804e-005
  60.05900, 12.64314, 3.2614e-004, 1.4763e-005
  60.55900, 12.73612, 3.3382e-004, 1.4577e-005
  61.05900, 12.82882, 3.4111e-004, 1.5013e-005
  61.55900, 12.92159, 3.4827e-004, 1.4538e-005
  62.05900, 13.01449, 3.5591e-004, 1.5596e-005
  62.55900, 13.10724, 3.6374e-004, 1.5297e-005
  63.05900, 13.20002, 3.7123e-004, 1.5402e-005
  63.55900, 13.29284, 3.7898e-004, 1.5187e-005
  64.05900, 13.38573, 3.8687e-004, 1.5848e-005
  64.55900, 13.47850, 3.9461e-004, 1.5239e-005
  65.05900, 13.57154, 4.0214e-004, 1.5857e-005
  65.55900, 13.66465, 4.1023e-004, 1.5612e-005
  66.05900, 13.75768, 4.1789e-004, 1.6033e-005
  66.55900, 13.85085, 4.2599e-004, 1.5846e-005
  67.05900, 13.94397, 4.3399e-004, 1.6304e-005
  67.55900, 14.03722, 4.4209e-004, 1.6204e-005
  68.05900, 14.13042, 4.5010e-004, 1.5596e-005
  68.55900, 14.22372, 4.5792e-004, 1.6210e-005
  69.05900, 14.31715, 4.6629e-004, 1.6627e-005
  69.55900, 14.41059, 4.7445e-004, 1.6323e-005
  70.05900, 14.50408, 4.8264e-004, 1.6569e-005
  70.55900, 14.59781, 4.9107e-004, 1.6508e-005
  71.05900, 14.69128, 4.9923e-004, 1.6946e-005
  71.55900, 14.78468, 5.0795e-004, 1.6670e-005
  72.05900, 14.87817, 5.1624e-004, 1.6910e-005
  72.55900, 14.97168, 5.2456e-004, 1.7434e-005
  73.05900, 15.06533, 5.3340e-004, 1.6572e-005
  73.55900, 15.15908, 5.4153e-004, 1.7483e-005
  74.05900, 15.25295, 5.5030e-004, 1.6698e-005
  74.55900, 15.34665, 5.5893e-004, 1.7424e-005
  75.05900, 15.44052, 5.6762e-004, 1.7140e-005
  75.55900, 15.53461, 5.7612e-004, 1.6983e-005
  76.05900, 15.62872, 5.8441e-004, 1.6912e-005
  76.55900, 15.72286, 5.9318e-004, 1.7563e-005
  77.05900, 15.81685, 6.0179e-004, 1.7157e-005
  77.55900, 15.91105, 6.1035e-004, 1.7554e-005
  78.05900, 16.00526, 6.1965e-004, 1.7910e-005
  78.55900, 16.09972, 6.2839e-004, 1.7325e-005
  79.05900, 16.19426, 6.3665e-004, 1.7415e-005
  79.55900, 16.28884, 6.4588e-004, 1.7983e-005
  80.05900, 16.38344, 6.5429e-004, 1.7060e-005
  80.55900, 16.47804, 6.6340e-004, 1.7928e-005
  81.05900, 16.57268, 6.7191e-004, 1.7791e-005
  81.55900, 16.66716, 6.8109e-004, 1.7942e-005
  82.05900, 16.76166, 6.9003e-004, 1.7458e-005
  82.55900, 16.85632, 6.9869e-004, 1.7706e-005
  83.05900, 16.95108, 7.0751e-004, 1.7682e-005
  83.55900, 17.04601, 7.1628e-004, 1.7713e-005
  84.05900, 17.14152, 7.2539e-004, 1.7664e-005
  84.55900, 17.23708, 7.3409e-004, 1.8223e-005
  85.05900, 17.33288, 7.4323e-004, 1.7891e-005
  85.55900, 17.42883, 7.5205e-004, 1.7988e-005
  86.05900, 17.52493, 7.6125e-004, 1.7778e-005
  86.55900, 17.62134, 7.7011e-004, 1.7980e-005
  87.05900, 17.71772, 7.7905e-004, 1.8004e-005
  87.55900, 17.81404, 7.8813e-004, 1.7960e-005
  88.05900, 17.91025, 7.9713e-004, 1.8219e-005
  88.55900, 18.00660, 8.0648e-004, 1.8845e-005
  89.05900, 18.10327, 8.1567e-004, 1.7730e-005
  89.55900, 18.20004, 8.2444e-004, 1.8227e-005
  90.05900, 18.29681, 8.3350e-004, 1.8065e-005
  90.55900, 18.39367, 8.4256e-004, 1.8335e-005
  91.05900, 18.49056, 8.5200e-004, 1.8510e-005
  91.55900, 18.58745, 8.6083e-004, 1.8047e-005
  92.05900, 18.68470, 8.7000e-004, 1.8361e-005
  92.55900, 18.78199, 8.7951e-004, 1.8413e-005
  93.05900, 18.87929, 8.8872e-004, 1.8462e-005
  93.55900, 18.97668, 8.9792e-004, 1.8466e-005
  94.05900, 19.07422, 9.0717e-004, 1.8543e-005
  94.55900, 19.17193, 9.1617e-004, 1.8139e-005
  95.05900, 19.26990, 9.2557e-004, 1.8507e-005
  95.55900, 19.36776, 9.3465e-004, 1.8724e-005
  96.05900, 19.46557, 9.4376e-004, 1.8348e-005
  96.55900, 19.56348, 9.5288e-004, 1.9072e-005
  97.05900, 19.66137, 9.6246e-004, 1.8247e-005
  97.55900, 19.75941, 9.7180e-004, 1.8540e-005
  98.05900, 19.85760, 9.8124e-004, 1.8928e-005
  98.55900, 19.95553, 9.9060e-004, 1.8244e-005
  99.05900, 20.05357, 9.9964e-004, 1.8487e-005
  99.55900, 20.15199, 1.0089e-003, 1.9027e-005
 100.05900, 20.25063, 1.0183e-003, 1.9306e-005
 100.55900, 20.34955, 1.0289e-003, 1.9377e-005
 101.05900, 20.44844, 1.0375e-003, 1.7638e-005
 101.55900, 20.54726, 1.0463e-003, 1.8204e-005
 102.05900, 20.64618, 1.0556e-003, 1.9610e-005
 102.55900, 20.74511, 1.0654e-003, 1.8402e-005
 103.05900, 20.84382, 1.0746e-003, 1.8340e-005
 103.55900, 20.94262, 1.0839e-003, 1.8919e-005
 104.05900, 21.04159, 1.0934e-003, 1.8785e-005
 104.55900, 21.14053, 1.1028e-003, 1.8651e-005
 105.05900, 21.23976, 1.1121e-003, 1.8632e-005
 105.55900, 21.33926, 1.1217e-003, 1.8969e-005
 106.05900, 21.43914, 1.1310e-003, 1.8931e-005
 106.55900, 21.53931, 1.1401e-003, 1.8319e-005
