#EXPORTTYPE:           ,DATA ALL                                                                       
#FILE:                 ,moonstoneS1r2.ngb-sle                                                          
#FORMAT:               ,NETZSCH5                                                                       
#FTYPE:                ,ANSI                                                                           
#IDENTITY:             ,moonstone 1 rerun                                                              
#DECIMAL:              ,POINT                                                                          
#SEPARATOR:            ,COMMA                                                                          
#MTYPE:                ,DIL                                                                            
#INSTRUMENT:           ,NETZSCH DIL 402C                                                               
#PROJECT:              ,feldspar                                                                       
#DATE/TIME:            ,9/15/2019 3:17:57 PM (UTC-5)                                                   
#CORR. FILE:           ,                                                                               
#TEMPCAL:              ,TCALZERO.TMX                                                                   
#LABORATORY:           ,Mineral Physics                                                                
#OPERATOR:             ,PAG                                                                            
#REMARK:               ,bare, norm start, for bytown and rocks fast run 5 Kmin, moonstone 1, 010 or 001
#SAMPLE:               ,moonstone 1 heated                                                             
#SAMPLE LENGTH /mm:    ,14.978                                                                         
#MATERIAL:             ,sapphire stnd                                                                  
#MEASMODE:             ,Standard Expansion                                                             
#PURGE GAS 1:          ,ARGON                                                                          
#FLOW RATE 1 /(ml/min):,75                                                                             
#M.RANGE /µm:          ,500                                                                            
#CORR. CODE:           ,010                                                                            
#RANGE:                ,20.0°C/5.0(K/min)/425.0°C                                                      
#SEGMENT:              ,S1/1                                                                           
#SEG. 1:               ,20.0°C/5.0(K/min)/425.0°C                                                      

##Temp./°C,Time/min,dL/Lo
 21.75600, 0.00000, 1.6801e-005
 21.75400, 0.02167, 1.6871e-005
 21.75400, 0.04333, 1.6762e-005
 21.75200, 0.06500, 1.6648e-005
 21.75000, 0.08667, 1.6675e-005
 21.74500, 0.10833, 1.6539e-005
 21.74300, 0.13000, 1.6425e-005
 21.74500, 0.15167, 1.6272e-005
 21.74100, 0.17333, 1.6252e-005
 21.75200, 0.19500, 1.6464e-005
 21.74200, 0.21667, 1.6201e-005
 21.73900, 0.23833, 1.6271e-005
 21.74200, 0.26000, 1.6067e-005
 21.74200, 0.28167, 1.6209e-005
 21.75500, 0.30333, 1.6185e-005
 21.75300, 0.32500, 1.6171e-005
 21.75400, 0.34667, 1.5944e-005
 21.74800, 0.36833, 1.6002e-005
 21.74500, 0.39000, 1.6014e-005
 21.74300, 0.41167, 1.5782e-005
 21.74000, 0.43333, 1.6020e-005
 21.73900, 0.45500, 1.5862e-005
 21.74100, 0.47667, 1.5626e-005
 21.73800, 0.49833, 1.5696e-005
 21.73300, 0.52000, 1.5586e-005
 21.73200, 0.54167, 1.5420e-005
 21.73300, 0.56333, 1.5544e-005
 21.73300, 0.58500, 1.5335e-005
 21.72900, 0.60667, 1.5240e-005
 21.72700, 0.62833, 1.5100e-005
 21.72300, 0.65000, 1.5013e-005
 21.72600, 0.67167, 1.5068e-005
 21.72300, 0.69333, 1.5130e-005
 21.72100, 0.71500, 1.5183e-005
 21.72000, 0.73667, 1.4800e-005
 21.71800, 0.75833, 1.4819e-005
 21.71000, 0.78000, 1.4896e-005
 21.71100, 0.80167, 1.4435e-005
 21.71200, 0.82333, 1.4776e-005
 21.71100, 0.84500, 1.4586e-005
 21.71000, 0.86667, 1.4428e-005
 21.70300, 0.88833, 1.4170e-005
 21.70200, 0.91000, 1.4263e-005
 21.69700, 0.93167, 1.4152e-005
 21.69300, 0.95333, 1.4165e-005
 21.70000, 0.97500, 1.4015e-005
 21.69200, 0.99667, 1.4033e-005
 21.69500, 1.01833, 1.3787e-005
 21.68900, 1.04000, 1.3853e-005
 21.69000, 1.06167, 1.3726e-005
 21.68500, 1.08333, 1.3782e-005
 21.68400, 1.10500, 1.3725e-005
 21.68500, 1.12667, 1.3557e-005
 21.68200, 1.14833, 1.3394e-005
 21.68300, 1.17000, 1.3551e-005
 21.67800, 1.19167, 1.3282e-005
 21.67900, 1.21333, 1.3255e-005
 21.67600, 1.23500, 1.3142e-005
 21.67600, 1.25667, 1.3309e-005
 21.66600, 1.27833, 1.2787e-005
 21.66200, 1.30000, 1.2750e-005
