#EXPORTTYPE:           ,DATA ALL                                                                                                                                             
#FILE:                 ,moonstoneS2run2.ngb-sle                                                                                                                              
#FORMAT:               ,NETZSCH5                                                                                                                                             
#FTYPE:                ,ANSI                                                                                                                                                 
#IDENTITY:             ,moonstone #2 rerun                                                                                                                                   
#DECIMAL:              ,POINT                                                                                                                                                
#SEPARATOR:            ,COMMA                                                                                                                                                
#MTYPE:                ,DIL                                                                                                                                                  
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                                                                                     
#PROJECT:              ,feldspar                                                                                                                                             
#DATE/TIME:            ,9/13/2019 3:41:45 PM (UTC-5)                                                                                                                         
#CORR. FILE:           ,                                                                                                                                                     
#TEMPCAL:              ,TCALZERO.TMX                                                                                                                                         
#LABORATORY:           ,Mineral Physics                                                                                                                                      
#OPERATOR:             ,PAG                                                                                                                                                  
#REMARK:               ,bare, norm start, for bytown and rocks moonstone Or-Ab solid soln box 1 prob 100* rectangle with notch,pink did not remeas lenght was with a micron  
#SAMPLE:               ,fmu-box2                                                                                                                                             
#SAMPLE LENGTH /mm:    ,13.568                                                                                                                                               
#MATERIAL:             ,sapphire stnd                                                                                                                                        
#MEASMODE:             ,Standard Expansion                                                                                                                                   
#PURGE GAS 1:          ,ARGON                                                                                                                                                
#FLOW RATE 1 /(ml/min):,75                                                                                                                                                   
#M.RANGE /µm:          ,500                                                                                                                                                  
#CORR. CODE:           ,010                                                                                                                                                  
#RANGE:                ,20.0°C/5.0(K/min)/430.0°C                                                                                                                            
#SEGMENT:              ,S1/1                                                                                                                                                 
#SEG. 1:               ,20.0°C/5.0(K/min)/430.0°C                                                                                                                            

##Temp./°C,Time/min,dL/Lo
 21.77900, 0.00000, 1.6966e-005
 21.78100, 0.02167, 1.7358e-005
 21.77700, 0.04333, 1.7753e-005
 21.77800, 0.06500, 1.8700e-005
 21.77400, 0.08667, 1.9123e-005
 21.77000, 0.10833, 1.9500e-005
 21.75700, 0.13000, 2.0088e-005
 21.75600, 0.15167, 2.0671e-005
 21.75600, 0.17333, 2.1095e-005
 21.74800, 0.19500, 2.1388e-005
 21.74000, 0.21667, 2.1791e-005
 21.73300, 0.23833, 2.2432e-005
 21.73200, 0.26000, 2.2830e-005
 21.72900, 0.28167, 2.3269e-005
 21.72400, 0.30333, 2.3611e-005
 21.71800, 0.32500, 2.4048e-005
 21.71100, 0.34667, 2.4431e-005
 21.70500, 0.36833, 2.4719e-005
 21.70100, 0.39000, 2.5023e-005
 21.69500, 0.41167, 2.5486e-005
 21.69500, 0.43333, 2.5975e-005
 21.68900, 0.45500, 2.6402e-005
 21.68500, 0.47667, 2.6760e-005
 21.67900, 0.49833, 2.7003e-005
 21.67200, 0.52000, 2.7211e-005
 21.67100, 0.54167, 2.7848e-005
 21.66600, 0.56333, 2.7933e-005
 21.66500, 0.58500, 2.8349e-005
 21.65400, 0.60667, 2.8704e-005
 21.65400, 0.62833, 2.8952e-005
 21.64600, 0.65000, 2.9199e-005
 21.64100, 0.67167, 2.9375e-005
 21.63400, 0.69333, 2.9648e-005
 21.62700, 0.71500, 2.9911e-005
 21.62500, 0.73667, 3.0109e-005
 21.61600, 0.75833, 3.0210e-005
 21.61400, 0.78000, 3.0445e-005
 21.61100, 0.80167, 3.0958e-005
 21.60800, 0.82333, 3.1010e-005
 21.60000, 0.84500, 3.1109e-005
