#EXPORTTYPE:           ,DATA ALL                                                                 
#FILE:                 ,sapph17mm0914x19.ngb-cle                                                 
#FORMAT:               ,NETZSCH5                                                                 
#FTYPE:                ,ANSI                                                                     
#IDENTITY:             ,sapph 17                                                                 
#DECIMAL:              ,POINT                                                                    
#SEPARATOR:            ,COMMA                                                                    
#MTYPE:                ,DIL                                                                      
#INSTRUMENT:           ,NETZSCH DIL 402C                                                         
#PROJECT:              ,feldspar                                                                 
#DATE/TIME:            ,9/14/2019 9:51:19 AM (UTC-5)                                             
#CORR. FILE:           ,                                                                         
#TEMPCAL:              ,TCALZERO.TMX                                                             
#LABORATORY:           ,Mineral Physics                                                          
#OPERATOR:             ,PAG                                                                      
#REMARK:               ,bare, norm start, for bytown and rocks , long stnd, close to thermocouple
#SAMPLE:               ,sapphirre rod                                                            
#SAMPLE LENGTH /mm:    ,16.592                                                                   
#MATERIAL:             ,sapphire stnd                                                            
#MEASMODE:             ,Standard Expansion                                                       
#PURGE GAS 1:          ,ARGON                                                                    
#FLOW RATE 1 /(ml/min):,75                                                                       
#M.RANGE /µm:          ,500                                                                      
#CORR. CODE:           ,010                                                                      
#RANGE:                ,20.0°C/3.0(K/min)/1240.0°C                                               
#SEGMENT:              ,S1/1                                                                     
#SEG. 1:               ,20.0°C/3.0(K/min)/1240.0°C                                               

##Temp./°C,Time/min,dL/Lo
  21.97100,  0.00000,1.8338e-005
  21.97000,  0.02167,1.8346e-005
  21.97100,  0.04333,1.8684e-005
  21.97500,  0.06500,1.9052e-005
  21.97500,  0.08667,1.9541e-005
  21.97400,  0.10833,1.9775e-005
  21.98000,  0.13000,2.0157e-005
  21.98100,  0.15167,2.0458e-005
  21.97900,  0.17333,2.0632e-005
  21.98000,  0.19500,2.1001e-005
  21.98100,  0.21667,2.1249e-005
  21.98600,  0.23833,2.1534e-005
  21.97800,  0.26000,2.1748e-005
  21.98900,  0.28167,2.2150e-005
  21.98300,  0.30333,2.2409e-005
  21.98100,  0.32500,2.2643e-005
  21.97900,  0.34667,2.2847e-005
  21.97800,  0.36833,2.2938e-005
  21.97500,  0.39000,2.3436e-005
  21.97700,  0.41167,2.3421e-005
  21.97800,  0.43333,2.3624e-005
  21.97800,  0.45500,2.4015e-005
  21.97700,  0.47667,2.4144e-005
  21.97900,  0.49833,2.4535e-005
  21.98400,  0.52000,2.4872e-005
  21.98400,  0.54167,2.5128e-005
  21.98400,  0.56333,2.5151e-005
  21.98500,  0.58500,2.5376e-005
  21.99000,  0.60667,2.5600e-005
  21.98700,  0.62833,2.5940e-005
  21.99000,  0.65000,2.6037e-005
  21.98800,  0.67167,2.6324e-005
  21.98800,  0.69333,2.6317e-005
  21.98800,  0.71500,2.6483e-005
  21.98900,  0.73667,2.6648e-005
  21.99100,  0.75833,2.6941e-005
  21.99000,  0.78000,2.6971e-005
  21.99200,  0.80167,2.7084e-005
  21.99500,  0.82333,2.7226e-005
  21.98500,  0.84500,2.7523e-005
  21.99100,  0.86667,2.7551e-005
  21.99000,  0.88833,2.7747e-005
  21.99100,  0.91000,2.7732e-005
  21.99600,  0.93167,2.7888e-005
  21.99200,  0.95333,2.7784e-005
  21.98800,  0.97500,2.7959e-005
  21.99700,  0.99667,2.8129e-005
  21.99700,  1.01833,2.8227e-005
  21.99800,  1.04000,2.8317e-005
  22.00100,  1.06167,2.8097e-005
  21.99500,  1.08333,2.8401e-005
  21.99800,  1.10500,2.8709e-005
  21.99800,  1.12667,2.8701e-005
  22.00300,  1.14833,2.8857e-005
  21.99700,  1.17000,2.8860e-005
  21.99000,  1.19167,2.8915e-005
  21.99700,  1.21333,2.8852e-005
  21.99700,  1.23500,2.9086e-005
  22.00000,  1.25667,2.9085e-005
  21.99100,  1.27833,2.9216e-005
  21.99800,  1.30000,2.9228e-005
  22.00200,  1.32167,2.9234e-005
  22.00100,  1.34333,2.9295e-005
  21.99900,  1.36500,2.9424e-005
  22.00500,  1.38667,2.9391e-005
  21.99900,  1.40833,2.9514e-005
  21.99500,  1.43000,2.9501e-005
  21.99300,  1.45167,2.9592e-005
  22.00300,  1.47333,2.9882e-005
  22.00800,  1.49500,3.0091e-005
  22.00700,  1.51667,2.9767e-005
  21.99900,  1.53833,2.9914e-005
  22.00600,  1.56000,3.0001e-005
  22.00700,  1.58167,3.0121e-005
  22.00900,  1.60333,3.0189e-005
  22.01200,  1.62500,3.0112e-005
  22.01000,  1.64667,3.0286e-005
  22.01000,  1.66833,3.0233e-005
  22.00500,  1.69000,3.0288e-005
  22.01400,  1.71167,3.0360e-005
  22.01400,  1.73333,3.0330e-005
  22.01400,  1.75500,3.0428e-005
  22.01300,  1.77667,3.0601e-005
  22.01900,  1.79833,3.0546e-005
  22.02000,  1.82000,3.0606e-005
  22.01600,  1.84167,3.0367e-005
  22.01800,  1.86333,3.0509e-005
  22.01400,  1.88500,3.0495e-005
  22.01500,  1.90667,3.0457e-005
  22.01600,  1.92833,3.0578e-005
  22.01600,  1.95000,3.0532e-005
  22.01600,  1.97167,3.0766e-005
  22.01700,  1.99333,3.0698e-005
  22.02100,  2.01500,3.0606e-005
  22.01600,  2.03667,3.0502e-005
  22.01300,  2.05833,3.0631e-005
  22.01500,  2.08000,3.0676e-005
  22.01100,  2.10167,3.0753e-005
  22.01000,  2.12333,3.0618e-005
  22.01100,  2.14500,3.0790e-005
  22.01600,  2.16667,3.0826e-005
  22.01800,  2.18833,3.0810e-005
  22.02000,  2.21000,3.0840e-005
  22.01800,  2.23167,3.0735e-005
  22.01800,  2.25333,3.0953e-005
  22.02500,  2.27500,3.1003e-005
  22.02200,  2.29667,3.0711e-005
  22.02000,  2.31833,3.0757e-005
  22.02100,  2.34000,3.0862e-005
  22.02200,  2.36167,3.0816e-005
  22.01700,  2.38333,3.0833e-005
  22.02300,  2.40500,3.0726e-005
  22.02400,  2.42667,3.0876e-005
  22.01600,  2.44833,3.0728e-005
  22.02500,  2.47000,3.0597e-005
  22.02400,  2.49167,3.0612e-005
  22.02600,  2.51333,3.0641e-005
  22.02100,  2.53500,3.0583e-005
  22.02600,  2.55667,3.0754e-005
  22.01700,  2.57833,3.0585e-005
  22.02200,  2.60000,3.0605e-005
  22.02700,  2.62167,3.0536e-005
  22.02900,  2.64333,3.0580e-005
  22.02700,  2.66500,3.0671e-005
  22.02800,  2.68667,3.0686e-005
  22.02800,  2.70833,3.0498e-005
  22.02400,  2.73000,3.0590e-005
  22.02800,  2.75167,3.0588e-005
  22.02800,  2.77333,3.0400e-005
  22.02900,  2.79500,3.0618e-005
  22.02600,  2.81667,3.0438e-005
  22.02800,  2.83833,3.0520e-005
  22.03000,  2.86000,3.0534e-005
  22.02700,  2.88167,3.0521e-005
  22.02800,  2.90333,3.0362e-005
  22.03000,  2.92500,3.0459e-005
  22.03400,  2.94667,3.0578e-005
  22.03600,  2.96833,3.0276e-005
  22.03800,  2.99000,3.0629e-005
  22.03400,  3.01167,3.0480e-005
  22.03700,  3.03333,3.0697e-005
  22.03500,  3.05500,3.0480e-005
  22.03300,  3.07667,3.0481e-005
  22.04100,  3.09833,3.0470e-005
  22.03800,  3.12000,3.0531e-005
  22.04400,  3.14167,3.0589e-005
  22.04100,  3.16333,3.0297e-005
  22.04100,  3.18500,3.0319e-005
  22.03400,  3.20667,3.0367e-005
  22.04300,  3.22833,3.0311e-005
  22.04200,  3.25000,3.0379e-005
  22.04700,  3.27167,3.0422e-005
  22.04900,  3.29333,3.0090e-005
  22.04900,  3.31500,3.0407e-005
  22.04900,  3.33667,3.0241e-005
  22.04900,  3.35833,3.0188e-005
  22.05200,  3.38000,3.0202e-005
  22.05000,  3.40167,3.0150e-005
  22.04900,  3.42333,3.0090e-005
  22.05000,  3.44500,3.0007e-005
  22.05100,  3.46667,3.0187e-005
  22.05600,  3.48833,2.9982e-005
  22.05700,  3.51000,2.9891e-005
  22.05200,  3.53167,2.9795e-005
  22.05700,  3.55333,2.9612e-005
  22.06000,  3.57500,2.9732e-005
  22.06700,  3.59667,2.9375e-005
  22.07500,  3.61833,2.9575e-005
  22.07900,  3.64000,2.9513e-005
  22.08800,  3.66167,2.9329e-005
  22.08900,  3.68333,2.9276e-005
  22.09600,  3.70500,2.9055e-005
  22.10000,  3.72667,2.9219e-005
  22.11000,  3.74833,2.8974e-005
  22.11400,  3.77000,2.9025e-005
  22.12200,  3.79167,2.8856e-005
  22.12600,  3.81333,2.8651e-005
  22.13600,  3.83500,2.8708e-005
  22.14300,  3.85667,2.8449e-005
  22.13700,  3.87833,2.8368e-005
  22.14700,  3.90000,2.8176e-005
  22.15200,  3.92167,2.8167e-005
  22.16400,  3.94333,2.8079e-005
  22.17800,  3.96500,2.7855e-005
  22.18600,  3.98667,2.7882e-005
  22.19700,  4.00833,2.7614e-005
  22.21300,  4.03000,2.7578e-005
  22.22200,  4.05167,2.7424e-005
  22.23400,  4.07333,2.7276e-005
  22.24700,  4.09500,2.7158e-005
  22.26500,  4.11667,2.7046e-005
  22.27800,  4.13833,2.6905e-005
  22.29300,  4.16000,2.6598e-005
  22.30800,  4.18167,2.6713e-005
  22.32100,  4.20333,2.6308e-005
  22.33900,  4.22500,2.6181e-005
  22.35400,  4.24667,2.5858e-005
  22.37100,  4.26833,2.5739e-005
  22.38900,  4.29000,2.5280e-005
  22.41200,  4.31167,2.5369e-005
  22.42700,  4.33333,2.5235e-005
  22.44700,  4.35500,2.5062e-005
  22.45900,  4.37667,2.4575e-005
  22.48200,  4.39833,2.4423e-005
  22.51000,  4.42000,2.4284e-005
  22.53100,  4.44167,2.4125e-005
  22.55200,  4.46333,2.3808e-005
  22.57800,  4.48500,2.3715e-005
  22.61000,  4.50667,2.3371e-005
  22.63400,  4.52833,2.3181e-005
  22.66200,  4.55000,2.2967e-005
  22.69200,  4.57167,2.2963e-005
  22.72000,  4.59333,2.2553e-005
  22.74700,  4.61500,2.2354e-005
  22.77000,  4.63667,2.2089e-005
  22.80700,  4.65833,2.2007e-005
  22.83900,  4.68000,2.1701e-005
  22.87500,  4.70167,2.1687e-005
  22.89600,  4.72333,2.1076e-005
  22.93700,  4.74500,2.0978e-005
  22.99200,  4.76667,2.0874e-005
  23.02400,  4.78833,2.0824e-005
  23.06100,  4.81000,2.0335e-005
  23.09000,  4.83167,2.0166e-005
  23.13400,  4.85333,1.9923e-005
  23.16900,  4.87500,1.9661e-005
  23.21200,  4.89667,1.9531e-005
  23.25000,  4.91833,1.9238e-005
  23.29000,  4.94000,1.9049e-005
  23.33700,  4.96167,1.8745e-005
  23.39000,  4.98333,1.8506e-005
  23.42800,  5.00500,1.8349e-005
  23.46600,  5.02667,1.7920e-005
  23.50800,  5.04833,1.7760e-005
  23.55600,  5.07000,1.7365e-005
  23.60800,  5.09167,1.7202e-005
  23.64900,  5.11333,1.7194e-005
  23.69700,  5.13500,1.6822e-005
  23.75000,  5.15667,1.6930e-005
  23.80300,  5.17833,1.6684e-005
  23.85000,  5.20000,1.6236e-005
  23.90200,  5.22167,1.6156e-005
  23.95500,  5.24333,1.5684e-005
  24.01600,  5.26500,1.5781e-005
  24.06100,  5.28667,1.5568e-005
  24.12100,  5.30833,1.5320e-005
  24.17200,  5.33000,1.5127e-005
  24.22800,  5.35167,1.4880e-005
  24.28600,  5.37333,1.4700e-005
  24.35200,  5.39500,1.4494e-005
  24.40500,  5.41667,1.4278e-005
  24.46600,  5.43833,1.4180e-005
  24.52500,  5.46000,1.3976e-005
  24.58600,  5.48167,1.3901e-005
  24.64800,  5.50333,1.3666e-005
  24.71200,  5.52500,1.3363e-005
  24.77500,  5.54667,1.3091e-005
  24.83500,  5.56833,1.2910e-005
  24.90400,  5.59000,1.2915e-005
  24.97300,  5.61167,1.2791e-005
  25.04200,  5.63333,1.2757e-005
  25.10400,  5.65500,1.2598e-005
  25.17500,  5.67667,1.2429e-005
  25.24200,  5.69833,1.2351e-005
  25.31300,  5.72000,1.2369e-005
  25.38100,  5.74167,1.2110e-005
  25.45100,  5.76333,1.1821e-005
  25.52100,  5.78500,1.1983e-005
  25.59900,  5.80667,1.1909e-005
  25.66900,  5.82833,1.1762e-005
  25.75000,  5.85000,1.1724e-005
  25.81700,  5.87167,1.1639e-005
  25.89100,  5.89333,1.1468e-005
  25.96600,  5.91500,1.1441e-005
  26.03900,  5.93667,1.1444e-005
  26.11900,  5.95833,1.1437e-005
  26.19200,  5.98000,1.1229e-005
  26.27700,  6.00167,1.1250e-005
  26.35400,  6.02333,1.1410e-005
  26.43300,  6.04500,1.1238e-005
  26.50800,  6.06667,1.1308e-005
