#EXPORTTYPE:           ,DATA ALL                      
#FILE:                 ,sanidMt2P1run1.ngb-sle        
#FORMAT:               ,NETZSCH5                      
#FTYPE:                ,ANSI                          
#IDENTITY:             ,mt t perp                     
#DECIMAL:              ,POINT                         
#SEPARATOR:            ,COMMA                         
#MTYPE:                ,DIL                           
#INSTRUMENT:           ,NETZSCH DIL 402C              
#PROJECT:              ,morb                          
#DATE/TIME:            ,11/14/2018 10:12:25 AM (UTC-6)
#CORR. FILE:           ,                              
#TEMPCAL:              ,TCALZERO.TMX                  
#LABORATORY:           ,min phys                      
#OPERATOR:             ,amh                           
#REMARK:               ,bare, norm start, calib run   
#SAMPLE:               ,mt t ortho010                 
#SAMPLE LENGTH /mm:    ,6.063                         
#MATERIAL:             ,sapphire stnd                 
#MEASMODE:             ,Standard Expansion            
#PURGE GAS 1:          ,ARGON                         
#FLOW RATE 1 /(ml/min):,75                            
#M.RANGE /µm:          ,500                           
#CORR. CODE:           ,010                           
#RANGE:                ,20.0°C/3.0(K/min)/950.0°C     
#SEGMENT:              ,S1/1                          
#SEG. 1:               ,20.0°C/3.0(K/min)/950.0°C     

##Temp./°C,Time/min,dL/Lo
 21.91400, 0.00000, 1.7930e-005
 21.92400, 0.02167, 1.8497e-005
 21.92000, 0.04333, 1.8118e-005
 21.92700, 0.06500, 1.8951e-005
 21.92500, 0.08667, 1.8215e-005
 21.92400, 0.10833, 1.8497e-005
 21.92600, 0.13000, 1.8428e-005
 21.93600, 0.15167, 1.8933e-005
 21.93300, 0.17333, 1.9138e-005
 21.93800, 0.19500, 1.9607e-005
 21.94500, 0.21667, 1.9533e-005
 21.94000, 0.23833, 1.9765e-005
 21.93700, 0.26000, 1.9888e-005
 21.94000, 0.28167, 2.0198e-005
 21.94600, 0.30333, 2.0179e-005
 21.94400, 0.32500, 2.0103e-005
 21.94300, 0.34667, 2.0694e-005
 21.94600, 0.36833, 2.0819e-005
 21.94400, 0.39000, 2.0536e-005
 21.94500, 0.41167, 2.0482e-005
 21.94300, 0.43333, 2.0818e-005
 21.95300, 0.45500, 2.1714e-005
 21.95400, 0.47667, 2.1432e-005
 21.95200, 0.49833, 2.1624e-005
 21.95000, 0.52000, 2.1651e-005
 21.95200, 0.54167, 2.2119e-005
 21.94600, 0.56333, 2.1788e-005
 21.94700, 0.58500, 2.2145e-005
 21.95200, 0.60667, 2.1995e-005
 21.95300, 0.62833, 2.2600e-005
 21.95200, 0.65000, 2.1933e-005
 21.95200, 0.67167, 2.2449e-005
 21.94900, 0.69333, 2.2592e-005
 21.95200, 0.71500, 2.1933e-005
 21.95600, 0.73667, 2.2560e-005
 21.95300, 0.75833, 2.2291e-005
 21.95400, 0.78000, 2.2628e-005
 21.94400, 0.80167, 2.2289e-005
 21.93700, 0.82333, 2.2424e-005
 21.93400, 0.84500, 2.2155e-005
 21.93800, 0.86667, 2.1978e-005
 21.93800, 0.88833, 2.2163e-005
 21.93700, 0.91000, 2.2569e-005
 21.93300, 0.93167, 2.2169e-005
 21.93400, 0.95333, 2.2341e-005
 21.93700, 0.97500, 2.1641e-005
 21.93800, 0.99667, 2.1854e-005
 21.93600, 1.01833, 2.1757e-005
 21.93300, 1.04000, 2.1344e-005
 21.93700, 1.06167, 2.2053e-005
 21.94000, 1.08333, 2.1724e-005
 21.94300, 1.10500, 2.1746e-005
 21.93900, 1.12667, 2.1861e-005
 21.93800, 1.14833, 2.1627e-005
 21.93500, 1.17000, 2.1833e-005
 21.93900, 1.19167, 2.1799e-005
 21.93500, 1.21333, 2.1255e-005
 21.93900, 1.23500, 2.1882e-005
 21.93000, 1.25667, 2.1364e-005
 21.93700, 1.27833, 2.1579e-005
 21.93500, 1.30000, 2.0699e-005
 21.93800, 1.32167, 2.0803e-005
 21.93900, 1.34333, 2.0748e-005
 21.93500, 1.36500, 2.0802e-005
 21.93600, 1.38667, 2.0541e-005
 21.93900, 1.40833, 2.0253e-005
 21.93600, 1.43000, 2.0355e-005
 21.93600, 1.45167, 2.0603e-005
 21.93400, 1.47333, 2.0485e-005
 21.93300, 1.49500, 2.0478e-005
 21.93400, 1.51667, 2.0403e-005
 21.93900, 1.53833, 2.0129e-005
 21.93100, 1.56000, 1.9784e-005
 21.93100, 1.58167, 1.9660e-005
 21.92800, 1.60333, 1.9597e-005
 21.93600, 1.62500, 1.9654e-005
 21.93600, 1.64667, 1.9283e-005
 21.93600, 1.66833, 1.9840e-005
 21.93700, 1.69000, 1.9723e-005
 21.94000, 1.71167, 1.9580e-005
 21.93300, 1.73333, 1.9221e-005
 21.93800, 1.75500, 1.9236e-005
 21.93400, 1.77667, 1.8671e-005
 21.93300, 1.79833, 1.8788e-005
 21.93000, 1.82000, 1.8498e-005
 21.93200, 1.84167, 1.8492e-005
 21.92300, 1.86333, 1.7912e-005
 21.92300, 1.88500, 1.7850e-005
 21.92900, 1.90667, 1.7687e-005
 21.92600, 1.92833, 1.7563e-005
 21.92000, 1.95000, 1.6736e-005
 21.92200, 1.97167, 1.7348e-005
 21.92200, 1.99333, 1.6647e-005
 21.92700, 2.01500, 1.7199e-005
 21.92300, 2.03667, 1.6861e-005
 21.91900, 2.05833, 1.6832e-005
 21.91400, 2.08000, 1.6570e-005
 21.92200, 2.10167, 1.6544e-005
 21.92000, 2.12333, 1.6881e-005
 21.91400, 2.14500, 1.5992e-005
 21.91200, 2.16667, 1.6349e-005
 21.91600, 2.18833, 1.5842e-005
 21.91400, 2.21000, 1.5601e-005
 21.91900, 2.23167, 1.5719e-005
 21.91400, 2.25333, 1.5642e-005
