#EXPORTTYPE:           ,DATA ALL                    
#FILE:                 ,albAmel100rn2.ngb-cle       
#FORMAT:               ,NETZSCH5                    
#FTYPE:                ,ANSI                        
#IDENTITY:             ,alb 100                     
#DECIMAL:              ,POINT                       
#SEPARATOR:            ,COMMA                       
#MTYPE:                ,DIL                         
#INSTRUMENT:           ,NETZSCH DIL 402C            
#PROJECT:              ,feldspar                    
#DATE/TIME:            ,8/14/2019 2:29:22 PM (UTC-5)
#CORR. FILE:           ,                            
#TEMPCAL:              ,TCALZERO.TMX                
#LABORATORY:           ,Mineral Physics             
#OPERATOR:             ,PAG                         
#REMARK:               ,bare amel flat 2nd run      
#SAMPLE:               ,albame100run2               
#SAMPLE LENGTH /mm:    ,9.6                         
#MATERIAL:             ,sapphire stnd               
#MEASMODE:             ,Standard Expansion          
#PURGE GAS 1:          ,ARGON                       
#FLOW RATE 1 /(ml/min):,75                          
#M.RANGE /µm:          ,500                         
#CORR. CODE:           ,010                         
#RANGE:                ,20.0°C/3.0(K/min)/600.0°C   
#SEGMENT:              ,S1/1                        
#SEG. 1:               ,20.0°C/3.0(K/min)/600.0°C   

##Temp./°C,Time/min,dL/Lo
 22.92400,  0.00000, 2.5149e-005
 22.92300,  0.02167, 2.5376e-005
 22.93300,  0.04333, 2.5656e-005
 22.93600,  0.06500, 2.5886e-005
 22.93700,  0.08667, 2.6101e-005
 22.92700,  0.10833, 2.6381e-005
 22.92700,  0.13000, 2.6303e-005
 22.92100,  0.15167, 2.6390e-005
 22.92500,  0.17333, 2.6836e-005
 22.92500,  0.19500, 2.6966e-005
 22.92200,  0.21667, 2.7179e-005
 22.92600,  0.23833, 2.7312e-005
 22.92700,  0.26000, 2.7358e-005
 22.92500,  0.28167, 2.7409e-005
 22.92000,  0.30333, 2.7855e-005
 22.91600,  0.32500, 2.7370e-005
 22.91700,  0.34667, 2.7560e-005
 22.91800,  0.36833, 2.7736e-005
 22.91400,  0.39000, 2.8020e-005
 22.91500,  0.41167, 2.7949e-005
 22.91000,  0.43333, 2.8252e-005
 22.90200,  0.45500, 2.8416e-005
 22.90200,  0.47667, 2.8286e-005
 22.89800,  0.49833, 2.7932e-005
 22.89600,  0.52000, 2.8204e-005
 22.89200,  0.54167, 2.8110e-005
 22.89600,  0.56333, 2.8009e-005
 22.89300,  0.58500, 2.8248e-005
 22.88700,  0.60667, 2.8439e-005
 22.88600,  0.62833, 2.8132e-005
 22.87600,  0.65000, 2.7892e-005
 22.88100,  0.67167, 2.8045e-005
 22.87000,  0.69333, 2.8305e-005
 22.86500,  0.71500, 2.7995e-005
 22.86800,  0.73667, 2.7769e-005
 22.86600,  0.75833, 2.8198e-005
 22.86200,  0.78000, 2.8026e-005
 22.85500,  0.80167, 2.8132e-005
 22.86300,  0.82333, 2.7773e-005
 22.85800,  0.84500, 2.8115e-005
 22.85200,  0.86667, 2.7772e-005
 22.85500,  0.88833, 2.7742e-005
 22.85100,  0.91000, 2.7778e-005
 22.84700,  0.93167, 2.7880e-005
 22.84500,  0.95333, 2.7696e-005
 22.85100,  0.97500, 2.7635e-005
 22.84400,  0.99667, 2.7416e-005
 22.83900,  1.01833, 2.7328e-005
 22.84100,  1.04000, 2.7381e-005
 22.83500,  1.06167, 2.7377e-005
 22.83400,  1.08333, 2.7253e-005
 22.83000,  1.10500, 2.7263e-005
 22.82400,  1.12667, 2.7390e-005
 22.82900,  1.14833, 2.7074e-005
 22.82900,  1.17000, 2.7126e-005
 22.83000,  1.19167, 2.7211e-005
 22.82600,  1.21333, 2.6844e-005
 22.81900,  1.23500, 2.6833e-005
 22.81400,  1.25667, 2.6732e-005
 22.82100,  1.27833, 2.6691e-005
 22.81700,  1.30000, 2.6598e-005
 22.81500,  1.32167, 2.6713e-005
 22.81300,  1.34333, 2.6582e-005
 22.81600,  1.36500, 2.6629e-005
 22.81200,  1.38667, 2.6340e-005
 22.80800,  1.40833, 2.6403e-005
 22.80300,  1.43000, 2.6250e-005
 22.80300,  1.45167, 2.5794e-005
 22.80400,  1.47333, 2.5984e-005
 22.79900,  1.49500, 2.5544e-005
 22.79900,  1.51667, 2.5349e-005
 22.79500,  1.53833, 2.5203e-005
 22.79300,  1.56000, 2.5046e-005
 22.78300,  1.58167, 2.4857e-005
 22.77800,  1.60333, 2.5342e-005
 22.77200,  1.62500, 2.4844e-005
 22.76800,  1.64667, 2.4854e-005
 22.77700,  1.66833, 2.4697e-005
 22.76400,  1.69000, 2.4448e-005
 22.76500,  1.71167, 2.4299e-005
 22.76600,  1.73333, 2.4045e-005
 22.75900,  1.75500, 2.3891e-005
 22.75700,  1.77667, 2.3929e-005
 22.75800,  1.79833, 2.3663e-005
 22.75200,  1.82000, 2.3672e-005
 22.75400,  1.84167, 2.3530e-005
 22.75700,  1.86333, 2.3747e-005
 22.75100,  1.88500, 2.3378e-005
 22.74900,  1.90667, 2.3377e-005
 22.75100,  1.92833, 2.3378e-005
 22.75000,  1.95000, 2.3566e-005
 22.74700,  1.97167, 2.2985e-005
 22.74300,  1.99333, 2.2826e-005
 22.74800,  2.01500, 2.3031e-005
 22.75000,  2.03667, 2.2772e-005
 22.74700,  2.05833, 2.2438e-005
 22.74700,  2.08000, 2.2503e-005
 22.74500,  2.10167, 2.2437e-005
 22.74600,  2.12333, 2.2262e-005
 22.74000,  2.14500, 2.2089e-005
 22.73200,  2.16667, 2.1849e-005
 22.73500,  2.18833, 2.1662e-005
