#EXPORTTYPE:           ,DATA ALL                                           
#FILE:                 ,fmt100Brun2.ngb-sle                                
#FORMAT:               ,NETZSCH5                                           
#FTYPE:                ,ANSI                                               
#IDENTITY:             ,fmt100Brun2                                        
#DECIMAL:              ,POINT                                              
#SEPARATOR:            ,COMMA                                              
#MTYPE:                ,DIL                                                
#INSTRUMENT:           ,NETZSCH DIL 402C                                   
#PROJECT:              ,feldspar                                           
#DATE/TIME:            ,8/18/2019 9:49:26 AM (UTC-5)                       
#CORR. FILE:           ,                                                   
#TEMPCAL:              ,TCALZERO.TMX                                       
#LABORATORY:           ,Mineral Physics                                    
#OPERATOR:             ,PAG                                                
#REMARK:               ,bare, norm start, for oligoclase fmt tall, reheated
#SAMPLE:               ,fmt100B                                            
#SAMPLE LENGTH /mm:    ,10.018                                             
#MATERIAL:             ,sapphire stnd                                      
#MEASMODE:             ,Standard Expansion                                 
#PURGE GAS 1:          ,ARGON                                              
#FLOW RATE 1 /(ml/min):,75                                                 
#M.RANGE /µm:          ,500                                                
#CORR. CODE:           ,010                                                
#RANGE:                ,20.0°C/3.0(K/min)/1000.0°C                         
#SEGMENT:              ,S1/1                                               
#SEG. 1:               ,20.0°C/3.0(K/min)/1000.0°C                         

##Temp./°C,Time/min,dL/Lo
  21.54300,  0.00000, 1.5723e-005
  22.04300,  4.03622, 2.8156e-006
  22.54300,  4.40666,-4.9960e-006
  23.04300,  4.66945,-1.1628e-005
  23.54300,  4.88286,-1.7022e-005
  24.04300,  5.06864,-2.2627e-005
  24.54300,  5.23626,-2.7780e-005
  25.04300,  5.39113,-3.2579e-005
  25.54300,  5.53618,-3.6780e-005
  26.04300,  5.67330,-4.0281e-005
  26.54300,  5.80408,-4.3507e-005
  27.04300,  5.93029,-4.6407e-005
  27.54300,  6.05231,-4.9739e-005
  28.04300,  6.17090,-5.1731e-005
  28.54300,  6.28677,-5.3729e-005
  29.04300,  6.40098,-5.5454e-005
  29.54300,  6.51377,-5.6823e-005
  30.04300,  6.62472,-5.8175e-005
  30.54300,  6.73459,-5.9181e-005
  31.04300,  6.84335,-6.0170e-005
  31.54300,  6.95144,-6.0582e-005
  32.04300,  7.05883,-6.0698e-005
  32.54300,  7.16494,-6.3073e-005
  33.04300,  7.27045,-6.2547e-005
  33.54300,  7.37567,-6.1806e-005
  34.04300,  7.48056,-6.0796e-005
  34.54300,  7.58504,-5.9658e-005
  35.04300,  7.68935,-5.8192e-005
  35.54300,  7.79333,-5.6972e-005
  36.04300,  7.89748,-5.5597e-005
