#EXPORTTYPE:           ,DATA ALL                                                                                      
#FILE:                 ,moonstoneSam3.ngb-sle                                                                         
#FORMAT:               ,NETZSCH5                                                                                      
#FTYPE:                ,ANSI                                                                                          
#IDENTITY:             ,moonstone 3 short                                                                             
#DECIMAL:              ,POINT                                                                                         
#SEPARATOR:            ,COMMA                                                                                         
#MTYPE:                ,DIL                                                                                           
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                              
#PROJECT:              ,feldspar                                                                                      
#DATE/TIME:            ,9/16/2019 9:41:48 AM (UTC-5)                                                                  
#CORR. FILE:           ,                                                                                              
#TEMPCAL:              ,TCALZERO.TMX                                                                                  
#LABORATORY:           ,Mineral Physics                                                                               
#OPERATOR:             ,PAG                                                                                           
#REMARK:               ,bare, norm start, for oligoclase, moonstone #3 short and reaonably thin. rectancgle, large up 
#SAMPLE:               ,moonstone 3 fresh                                                                             
#SAMPLE LENGTH /mm:    ,10.090                                                                                        
#MATERIAL:             ,sapphire stnd                                                                                 
#MEASMODE:             ,Standard Expansion                                                                            
#PURGE GAS 1:          ,ARGON                                                                                         
#FLOW RATE 1 /(ml/min):,75                                                                                            
#M.RANGE /µm:          ,500                                                                                           
#CORR. CODE:           ,010                                                                                           
#RANGE:                ,20.0°C/3.0(K/min)/800.0°C                                                                     
#SEGMENT:              ,S1/1                                                                                          
#SEG. 1:               ,20.0°C/3.0(K/min)/800.0°C                                                                     

##Temp./°C,Time/min,dL/Lo
 22.42400,  0.00000, 2.1575e-005
 22.92400,  4.43830, 9.7333e-006
 23.42400,  4.83919, 3.7967e-006
 23.92400,  5.11434,-8.2571e-007
 24.42400,  5.33347,-3.9641e-006
 24.92400,  5.51940,-6.6131e-006
 25.42400,  5.68534,-8.4632e-006
 25.92400,  5.83804,-9.7243e-006
 26.42400,  5.98029,-1.0512e-005
 26.92400,  6.11530,-1.0815e-005
 27.42400,  6.24422,-1.0877e-005
 27.92400,  6.36780,-1.0261e-005
 28.42400,  6.48693,-9.2396e-006
 28.92400,  6.60255,-7.6205e-006
 29.42400,  6.71527,-5.7516e-006
 29.92400,  6.82544,-3.6703e-006
 30.42400,  6.93376,-1.2460e-006
 30.92400,  7.04012, 1.8573e-006
 31.42400,  7.14526, 5.0667e-006
 31.92400,  7.24942, 8.6532e-006
 32.42400,  7.35252, 1.2935e-005
 32.92400,  7.45533, 1.6666e-005
 33.42400,  7.55778, 2.1674e-005
 33.92400,  7.65973, 2.5836e-005
 34.42400,  7.76124, 3.1209e-005
 34.92400,  7.86249, 3.6231e-005
 35.42400,  7.96372, 4.2324e-005
 35.92400,  8.06498, 4.8065e-005
 36.42400,  8.16577, 5.4193e-005
 36.92400,  8.26614, 6.0481e-005
 37.42400,  8.36705, 6.6927e-005
 37.92400,  8.46841, 7.3957e-005
 38.42400,  8.57004, 8.1147e-005
 38.92400,  8.67152, 8.8125e-005
 39.42400,  8.77284, 9.5343e-005
 39.92400,  8.87399, 1.0311e-004
 40.42400,  8.97529, 1.1033e-004
 40.92400,  9.07615, 1.1867e-004
 41.42400,  9.17685, 1.2610e-004
