#EXPORTTYPE:           ,DATA ALL                                                                                               
#FILE:                 ,moonstoneS3rn2.ngb-sle                                                                                 
#FORMAT:               ,NETZSCH5                                                                                               
#FTYPE:                ,ANSI                                                                                                   
#IDENTITY:             ,moonstone 3 rerun                                                                                      
#DECIMAL:              ,POINT                                                                                                  
#SEPARATOR:            ,COMMA                                                                                                  
#MTYPE:                ,DIL                                                                                                    
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                                       
#PROJECT:              ,feldspar                                                                                               
#DATE/TIME:            ,9/16/2019 3:22:44 PM (UTC-5)                                                                           
#CORR. FILE:           ,                                                                                                       
#TEMPCAL:              ,TCALZERO.TMX                                                                                           
#LABORATORY:           ,Mineral Physics                                                                                        
#OPERATOR:             ,PAG                                                                                                    
#REMARK:               ,bare, norm start, for oligoclase, moonstone #3 short and reaonably thin. rectancgle, large up , reheat 
#SAMPLE:               ,moonstone 3 run#2                                                                                      
#SAMPLE LENGTH /mm:    ,10.090                                                                                                 
#MATERIAL:             ,sapphire stnd                                                                                          
#MEASMODE:             ,Standard Expansion                                                                                     
#PURGE GAS 1:          ,ARGON                                                                                                  
#FLOW RATE 1 /(ml/min):,75                                                                                                     
#M.RANGE /µm:          ,500                                                                                                    
#CORR. CODE:           ,010                                                                                                    
#RANGE:                ,20.0°C/3.0(K/min)/414.0°C                                                                              
#SEGMENT:              ,S1/1                                                                                                   
#SEG. 1:               ,20.0°C/3.0(K/min)/414.0°C                                                                              

##Temp./°C,Time/min,dL/Lo
 22.84300,  0.00000, 2.4570e-005
 22.83800,  0.02167, 2.4348e-005
 22.82600,  0.04333, 2.4015e-005
 22.82600,  0.06500, 2.4039e-005
 22.82600,  0.08667, 2.3408e-005
 22.81900,  0.10833, 2.3048e-005
 22.81400,  0.13000, 2.3198e-005
 22.80700,  0.15167, 2.2950e-005
 22.80500,  0.17333, 2.2601e-005
 22.80400,  0.19500, 2.2408e-005
 22.79300,  0.21667, 2.2366e-005
 22.78400,  0.23833, 2.2079e-005
 22.77900,  0.26000, 2.1895e-005
 22.77800,  0.28167, 2.1702e-005
 22.77400,  0.30333, 2.1388e-005
 22.76500,  0.32500, 2.1150e-005
 22.76100,  0.34667, 2.0961e-005
 22.76000,  0.36833, 2.0855e-005
 22.75200,  0.39000, 2.0587e-005
 22.74700,  0.41167, 2.0675e-005
 22.74400,  0.43333, 2.0195e-005
 22.73300,  0.45500, 2.0228e-005
 22.73100,  0.47667, 2.0189e-005
 22.72200,  0.49833, 1.9852e-005
 22.71900,  0.52000, 1.9484e-005
 22.71000,  0.54167, 1.9345e-005
 22.70000,  0.56333, 1.8890e-005
 22.69900,  0.58500, 1.8882e-005
 22.69400,  0.60667, 1.8686e-005
 22.68800,  0.62833, 1.8333e-005
 22.68100,  0.65000, 1.8085e-005
 22.67900,  0.67167, 1.7934e-005
 22.67500,  0.69333, 1.7645e-005
 22.67300,  0.71500, 1.7458e-005
 22.66500,  0.73667, 1.7339e-005
 22.66000,  0.75833, 1.7067e-005
 22.65200,  0.78000, 1.6961e-005
 22.64800,  0.80167, 1.6635e-005
 22.64900,  0.82333, 1.6642e-005
 22.63900,  0.84500, 1.6447e-005
 22.63400,  0.86667, 1.6312e-005
 22.61400,  0.88833, 1.5946e-005
 22.61000,  0.91000, 1.5768e-005
 22.61200,  0.93167, 1.5659e-005
 22.60800,  0.95333, 1.5444e-005
 22.60300,  0.97500, 1.5607e-005
 22.59400,  0.99667, 1.5134e-005
