#EXPORTTYPE:           ,DATA ALL                                                                          
#FILE:                 ,oligHawk001s1run5.ngb-sle                                                         
#FORMAT:               ,NETZSCH5                                                                          
#FTYPE:                ,ANSI                                                                              
#IDENTITY:             ,oligoclase hawk mine                                                              
#DECIMAL:              ,POINT                                                                             
#SEPARATOR:            ,COMMA                                                                             
#MTYPE:                ,DIL                                                                               
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                  
#PROJECT:              ,feldspar                                                                          
#DATE/TIME:            ,8/27/2019 9:40:21 AM (UTC-5)                                                      
#CORR. FILE:           ,                                                                                  
#TEMPCAL:              ,TCALZERO.TMX                                                                      
#LABORATORY:           ,Mineral Physics                                                                   
#OPERATOR:             ,PAG                                                                               
#REMARK:               ,bare, norm start, for short plageioclase, sapphire, run 5 of hawk mine001 shortie 
#SAMPLE:               ,hawk 001 run5                                                                     
#SAMPLE LENGTH /mm:    ,6.991                                                                             
#MATERIAL:             ,sapphire stnd                                                                     
#MEASMODE:             ,Standard Expansion                                                                
#PURGE GAS 1:          ,ARGON                                                                             
#FLOW RATE 1 /(ml/min):,75                                                                                
#M.RANGE /µm:          ,500                                                                               
#CORR. CODE:           ,010                                                                               
#RANGE:                ,20.0°C/3.0(K/min)/1010.0°C                                                        
#SEGMENT:              ,S1/1                                                                              
#SEG. 1:               ,20.0°C/3.0(K/min)/1010.0°C                                                        

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
  22.64300,  0.00000, 2.4370e-005, 1.5240e-005
  23.14300,  4.55172, 1.3945e-005,-2.1892e-005
  23.64300,  4.90025, 8.4982e-007,-2.5873e-005
  24.14300,  5.15088,-1.0521e-005,-2.2930e-005
  24.64300,  5.35767,-2.2187e-005,-1.9836e-005
  25.14300,  5.53751,-3.2245e-005,-2.0743e-005
  25.64300,  5.69977,-4.1634e-005,-1.7640e-005
  26.14300,  5.84892,-4.9932e-005,-1.7273e-005
  26.64300,  5.98796,-5.7785e-005,-1.4439e-005
  27.14300,  6.11963,-6.6605e-005,-1.5844e-005
  27.64300,  6.24564,-7.2726e-005,-1.2803e-005
  28.14300,  6.36670,-7.9769e-005,-1.2157e-005
  28.64300,  6.48416,-8.6120e-005,-1.1924e-005
  29.14300,  6.59845,-9.0808e-005,-1.0686e-005
  29.64300,  6.71054,-9.6696e-005,-9.7747e-006
  30.14300,  6.82005,-1.0135e-004,-8.8505e-006
  30.64300,  6.92755,-1.0528e-004,-7.2631e-006
  31.14300,  7.03351,-1.0860e-004,-6.9479e-006
  31.64300,  7.13814,-1.1182e-004,-6.1722e-006
  32.14300,  7.24170,-1.1504e-004,-5.5471e-006
  32.64300,  7.34400,-1.1733e-004,-4.1331e-006
  33.14300,  7.44536,-1.1972e-004,-4.8110e-006
  33.64300,  7.54656,-1.2148e-004,-2.4107e-006
  34.14300,  7.64731,-1.2222e-004,-2.4457e-006
