#EXPORTTYPE:           ,DATA ALL                                                               
#FILE:                 ,oligHawk010s1r3.ngb-sle                                                
#FORMAT:               ,NETZSCH5                                                               
#FTYPE:                ,ANSI                                                                   
#IDENTITY:             ,oligioclase                                                            
#DECIMAL:              ,POINT                                                                  
#SEPARATOR:            ,COMMA                                                                  
#MTYPE:                ,DIL                                                                    
#INSTRUMENT:           ,NETZSCH DIL 402C                                                       
#PROJECT:              ,feldspar                                                               
#DATE/TIME:            ,8/24/2019 10:12:59 AM (UTC-5)                                          
#CORR. FILE:           ,                                                                       
#TEMPCAL:              ,TCALZERO.TMX                                                           
#LABORATORY:           ,Mineral Physics                                                        
#OPERATOR:             ,PAG                                                                    
#REMARK:               ,bare, norm start, for short plageioclase, sapphire, same crystal as 001
#SAMPLE:               ,hawk mine 010                                                          
#SAMPLE LENGTH /mm:    ,8.25                                                                   
#MATERIAL:             ,sapphire stnd                                                          
#MEASMODE:             ,Standard Expansion                                                     
#PURGE GAS 1:          ,ARGON                                                                  
#FLOW RATE 1 /(ml/min):,75                                                                     
#M.RANGE /µm:          ,500                                                                    
#CORR. CODE:           ,010                                                                    
#RANGE:                ,20.0°C/3.0(K/min)/1010.0°C                                             
#SEGMENT:              ,S1/1                                                                   
#SEG. 1:               ,20.0°C/3.0(K/min)/1010.0°C                                             

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
  21.53000,  0.00000, 1.5194e-005, 5.4781e-006
  22.03000,  4.02318, 1.3623e-005,-1.6926e-005
  22.53000,  4.42213, 2.9747e-006,-1.9520e-005
  23.03000,  4.69738,-6.6556e-006,-1.8721e-005
  23.53000,  4.91933,-1.5849e-005,-1.6374e-005
  24.03000,  5.11010,-2.3285e-005,-1.4580e-005
  24.53000,  5.28089,-3.0397e-005,-1.2973e-005
  25.03000,  5.43715,-3.6482e-005,-1.2544e-005
  25.53000,  5.58283,-4.2443e-005,-1.0925e-005
  26.03000,  5.72085,-4.7754e-005,-9.5705e-006
  26.53000,  5.85218,-5.2422e-005,-9.0510e-006
  27.03000,  5.97858,-5.6522e-005,-7.4825e-006
  27.53000,  6.10092,-6.0093e-005,-6.3585e-006
  28.03000,  6.21996,-6.3156e-005,-5.9138e-006
  28.53000,  6.33643,-6.6067e-005,-4.9625e-006
  29.03000,  6.45081,-6.8480e-005,-4.1222e-006
  29.53000,  6.56398,-7.0054e-005,-4.1216e-006
  30.03000,  6.67555,-7.2125e-005,-2.9979e-006
  30.53000,  6.78610,-7.3331e-005,-2.5149e-006
  31.03000,  6.89543,-7.4109e-005,-1.2711e-006
  31.53000,  7.00340,-7.4811e-005,-1.0018e-006
  32.03000,  7.11046,-7.5304e-005, 1.5269e-007
  32.53000,  7.21699,-7.4934e-005, 5.5212e-007
