#EXPORTTYPE:           ,DATA ALL                                                                               
#FILE:                 ,oligTanz010s2r1.ngb-sle                                                                
#FORMAT:               ,NETZSCH5                                                                               
#FTYPE:                ,ANSI                                                                                   
#IDENTITY:             ,sunstone peristerite                                                                   
#DECIMAL:              ,POINT                                                                                  
#SEPARATOR:            ,COMMA                                                                                  
#MTYPE:                ,DIL                                                                                    
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                       
#PROJECT:              ,feldspar                                                                               
#DATE/TIME:            ,8/28/2019 10:01:21 AM (UTC-5)                                                          
#CORR. FILE:           ,                                                                                       
#TEMPCAL:              ,TCALZERO.TMX                                                                           
#LABORATORY:           ,Mineral Physics                                                                        
#OPERATOR:             ,PAG                                                                                    
#REMARK:               ,bare, norm start, for oligoclase sunstone peristerite perp to lamella, 010 blocky shape
#SAMPLE:               ,oligTanz010sam2                                                                        
#SAMPLE LENGTH /mm:    ,9.477                                                                                  
#MATERIAL:             ,sapphire stnd                                                                          
#MEASMODE:             ,Standard Expansion                                                                     
#PURGE GAS 1:          ,ARGON                                                                                  
#FLOW RATE 1 /(ml/min):,75                                                                                     
#M.RANGE /µm:          ,500                                                                                    
#CORR. CODE:           ,010                                                                                    
#RANGE:                ,20.0°C/3.0(K/min)/1050.0°C                                                             
#SEGMENT:              ,S1/1                                                                                   
#SEG. 1:               ,20.0°C/3.0(K/min)/1050.0°C                                                             

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
  22.38900,  0.00000, 2.1575e-005, 1.8705e-005
  22.88900,  4.41327, 1.9036e-005,-1.5780e-005
  23.38900,  4.77240, 1.0199e-005,-1.7152e-005
  23.88900,  5.03312, 1.9834e-006,-1.5768e-005
  24.38900,  5.24680,-5.3123e-006,-1.3717e-005
  24.88900,  5.43254,-1.2845e-005,-1.4100e-005
  25.38900,  5.59884,-1.9369e-005,-1.1733e-005
  25.88900,  5.75117,-2.6001e-005,-1.2121e-005
  26.38900,  5.89345,-3.0835e-005,-1.0125e-005
  26.88900,  6.02820,-3.5852e-005,-9.0493e-006
  27.38900,  6.15686,-4.0272e-005,-8.7929e-006
  27.88900,  6.28061,-4.4680e-005,-9.0836e-006
  28.38900,  6.40047,-4.8534e-005,-6.6384e-006
  28.88900,  6.51734,-5.1251e-005,-6.2116e-006
  29.38900,  6.63163,-5.5006e-005,-5.9490e-006
  29.88900,  6.74353,-5.7609e-005,-5.4253e-006
  30.38900,  6.85351,-6.0177e-005,-4.5749e-006
  30.88900,  6.96203,-6.2064e-005,-3.1441e-006
  31.38900,  7.06942,-6.3549e-005,-3.6047e-006
  31.88900,  7.17572,-6.5660e-005,-2.9664e-006
  32.38900,  7.28117,-6.6286e-005,-1.7118e-006
  32.88900,  7.38590,-6.7317e-005,-2.0423e-006
  33.38900,  7.49004,-6.7999e-005,-6.4311e-007
  33.88900,  7.59392,-6.8511e-005,-5.6457e-007
  34.38900,  7.69749,-6.8246e-005, 4.9130e-007
  34.88900,  7.80076,-6.8011e-005, 8.1251e-007
  35.38900,  7.90394,-6.7530e-005, 1.2620e-006
  35.88900,  8.00703,-6.6593e-005, 1.7124e-006
  36.38900,  8.11003,-6.6105e-005, 1.6176e-006
  36.88900,  8.21285,-6.5388e-005, 2.7671e-006
  37.38900,  8.31570,-6.3536e-005, 3.2364e-006
  37.88900,  8.41853,-6.1914e-005, 3.3898e-006
  38.38900,  8.52127,-6.0034e-005, 3.3631e-006
  38.88900,  8.62390,-5.8156e-005, 4.1862e-006
  39.38900,  8.72630,-5.6342e-005, 3.6873e-006
  39.88900,  8.82839,-5.4068e-005, 4.9674e-006
  40.38900,  8.93047,-5.1577e-005, 5.1227e-006
  40.88900,  9.03230,-4.9041e-005, 5.0869e-006
  41.38900,  9.13396,-4.6449e-005, 5.3275e-006
  41.88900,  9.23578,-4.3193e-005, 5.6404e-006
  42.38900,  9.33740,-4.0685e-005, 5.5457e-006
  42.88900,  9.43892,-3.7981e-005, 5.6673e-006
  43.38900,  9.54074,-3.4977e-005, 5.8779e-006
  43.88900,  9.64257,-3.2119e-005, 5.6347e-006
  44.38900,  9.74433,-2.9123e-005, 6.1318e-006
  44.88900,  9.84592,-2.6372e-005, 6.0303e-006
  45.38900,  9.94716,-2.3406e-005, 6.1321e-006
  45.88900, 10.04812,-1.9955e-005, 6.4618e-006
  46.38900, 10.14887,-1.6772e-005, 6.4078e-006
  46.88900, 10.24920,-1.3618e-005, 6.7467e-006
  47.38900, 10.34895,-1.0167e-005, 6.6162e-006
  47.88900, 10.44812,-6.9462e-006, 6.6769e-006
  48.38900, 10.54694,-3.3085e-006, 6.7649e-006
  48.88900, 10.64553,-2.7385e-007, 6.9067e-006
  49.38900, 10.74351, 3.6262e-006, 7.1500e-006
  49.88900, 10.84109, 6.7121e-006, 6.6029e-006
  50.38900, 10.93830, 1.0435e-005, 7.2358e-006
  50.88900, 11.03531, 1.3811e-005, 6.8827e-006
  51.38900, 11.13218, 1.7265e-005, 6.9307e-006
  51.88900, 11.22880, 2.1181e-005, 7.1256e-006
  52.38900, 11.32488, 2.4272e-005, 7.3548e-006
  52.88900, 11.42060, 2.7852e-005, 7.3367e-006
  53.38900, 11.51623, 3.1731e-005, 7.3706e-006
  53.88900, 11.61173, 3.5657e-005, 7.4343e-006
  54.38900, 11.70697, 3.9208e-005, 7.5262e-006
  54.88900, 11.80190, 4.3090e-005, 8.3380e-006
  55.38900, 11.89649, 4.7306e-005, 7.9091e-006
  55.88900, 11.99082, 5.1029e-005, 7.8455e-006
  56.38900, 12.08507, 5.5189e-005, 8.3012e-006
  56.88900, 12.17932, 5.9412e-005, 8.1855e-006
  57.38900, 12.27337, 6.3513e-005, 7.6890e-006
  57.88900, 12.36701, 6.7549e-005, 7.9669e-006
  58.38900, 12.46076, 7.1001e-005, 8.5021e-006
  58.88900, 12.55447, 7.5699e-005, 8.5704e-006
  59.38900, 12.64801, 7.9857e-005, 8.6837e-006
  59.88900, 12.74162, 8.4514e-005, 8.8637e-006
  60.38900, 12.83529, 8.8565e-005, 9.0188e-006
  60.88900, 12.92897, 9.3588e-005, 8.9528e-006
  61.38900, 13.02274, 9.7627e-005, 8.9018e-006
  61.88900, 13.11641, 1.0219e-004, 8.8917e-006
  62.38900, 13.20999, 1.0665e-004, 9.5447e-006
  62.88900, 13.30359, 1.1132e-004, 9.4910e-006
  63.38900, 13.39745, 1.1627e-004, 9.3932e-006
  63.88900, 13.49117, 1.2107e-004, 1.0044e-005
  64.38900, 13.58475, 1.2615e-004, 9.8005e-006
  64.88900, 13.67828, 1.3073e-004, 9.6477e-006
  65.38900, 13.77175, 1.3577e-004, 9.9744e-006
  65.88900, 13.86524, 1.4082e-004, 9.9468e-006
  66.38900, 13.95907, 1.4607e-004, 1.0670e-005
  66.88900, 14.05298, 1.5119e-004, 1.0147e-005
  67.38900, 14.14691, 1.5639e-004, 1.0462e-005
  67.88900, 14.24090, 1.6154e-004, 1.0082e-005
  68.38900, 14.33499, 1.6671e-004, 1.0463e-005
  68.88900, 14.42905, 1.7206e-004, 1.0710e-005
  69.38900, 14.52324, 1.7725e-004, 1.0629e-005
  69.88900, 14.61707, 1.8245e-004, 1.0602e-005
  70.38900, 14.71082, 1.8805e-004, 1.0722e-005
  70.88900, 14.80464, 1.9329e-004, 1.0848e-005
  71.38900, 14.89875, 1.9873e-004, 1.1077e-005
  71.88900, 14.99273, 2.0432e-004, 1.0823e-005
  72.38900, 15.08699, 2.0932e-004, 1.0695e-005
  72.88900, 15.18134, 2.1541e-004, 1.1512e-005
  73.38900, 15.27601, 2.2084e-004, 1.1075e-005
  73.88900, 15.37086, 2.2630e-004, 1.1376e-005
  74.38900, 15.46569, 2.3224e-004, 1.1536e-005
  74.88900, 15.56046, 2.3822e-004, 1.1349e-005
  75.38900, 15.65531, 2.4336e-004, 1.1510e-005
  75.88900, 15.75033, 2.4945e-004, 1.1587e-005
  76.38900, 15.84523, 2.5499e-004, 1.1430e-005
  76.88900, 15.94036, 2.6084e-004, 1.1452e-005
  77.38900, 16.03551, 2.6655e-004, 1.1245e-005
  77.88900, 16.13115, 2.7208e-004, 1.1647e-005
