#EXPORTTYPE:           ,DATA ALL                                                                                   
#FILE:                 ,oligTanz100s1r1.ngb-sle                                                                    
#FORMAT:               ,NETZSCH5                                                                                   
#FTYPE:                ,ANSI                                                                                       
#IDENTITY:             ,sunstone                                                                                   
#DECIMAL:              ,POINT                                                                                      
#SEPARATOR:            ,COMMA                                                                                      
#MTYPE:                ,DIL                                                                                        
#INSTRUMENT:           ,NETZSCH DIL 402C                                                                           
#PROJECT:              ,feldspar                                                                                   
#DATE/TIME:            ,8/25/2019 12:13:46 PM (UTC-5)                                                              
#CORR. FILE:           ,                                                                                           
#TEMPCAL:              ,TCALZERO.TMX                                                                               
#LABORATORY:           ,Mineral Physics                                                                            
#OPERATOR:             ,PAG                                                                                        
#REMARK:               ,bare, norm start, for short plageioclase, sapphire stnd, green sunstone from tanzania 001* 
#SAMPLE:               ,green 100*                                                                                 
#SAMPLE LENGTH /mm:    ,8.489                                                                                      
#MATERIAL:             ,sapphire stnd                                                                              
#MEASMODE:             ,Standard Expansion                                                                         
#PURGE GAS 1:          ,ARGON                                                                                      
#FLOW RATE 1 /(ml/min):,75                                                                                         
#M.RANGE /µm:          ,500                                                                                        
#CORR. CODE:           ,010                                                                                        
#RANGE:                ,20.0°C/3.0(K/min)/1030.0°C                                                                 
#SEGMENT:              ,S1/1                                                                                       
#SEG. 1:               ,20.0°C/3.0(K/min)/1030.0°C                                                                 

##Temp./°C,Time/min,dL/Lo,Alpha/(1/K)
  19.02100,  0.00000,-1.3971e-006, 2.2671e-005
  19.52100,  3.04405,-6.7591e-006,-1.8786e-005
  20.02100,  3.39071,-1.7653e-005,-1.9527e-005
  20.52100,  3.64194,-2.6744e-005,-1.6905e-005
  21.02100,  3.84818,-3.4550e-005,-1.4921e-005
  21.52100,  4.02822,-4.1899e-005,-1.2659e-005
  22.02100,  4.18986,-4.7980e-005,-1.1965e-005
  22.52100,  4.33812,-5.3714e-005,-1.1201e-005
  23.02100,  4.47667,-5.8441e-005,-8.0307e-006
  23.52100,  4.60819,-6.3163e-005,-9.0505e-006
  24.02100,  4.73379,-6.7057e-005,-8.0313e-006
  24.52100,  4.85490,-7.1093e-005,-6.5751e-006
  25.02100,  4.97289,-7.4157e-005,-5.8097e-006
  25.52100,  5.08768,-7.6646e-005,-5.9198e-006
  26.02100,  5.19972,-7.9227e-005,-4.2678e-006
  26.52100,  5.30956,-8.1312e-005,-3.7574e-006
  27.02100,  5.41747,-8.3237e-005,-3.5821e-006
  27.52100,  5.52384,-8.4967e-005,-3.0094e-006
  28.02100,  5.62870,-8.6155e-005,-2.7411e-006
  28.52100,  5.73268,-8.7720e-005,-2.4623e-006
  29.02100,  5.83593,-8.8607e-005,-1.8225e-006
  29.52100,  5.93834,-8.9837e-005,-2.8081e-006
  30.02100,  6.04006,-9.1211e-005,-2.6307e-006
  30.52100,  6.14136,-9.2777e-005,-3.7961e-006
  31.02100,  6.24201,-9.4947e-005,-4.3631e-006
