#EXPORTTYPE:           ,DATA ALL                      ,,
#FILE:                 ,sanidMtp3run1.ngb-sle         ,,
#FORMAT:               ,NETZSCH5                      ,,
#FTYPE:                ,ANSI                          ,,
#IDENTITY:             ,mt thrid orien                ,,
#DECIMAL:              ,POINT                         ,,
#SEPARATOR:            ,COMMA                         ,,
#MTYPE:                ,DIL                           ,,
#INSTRUMENT:           ,NETZSCH DIL 402C              ,,
#PROJECT:              ,morb                          ,,
#DATE/TIME:            ,11/14/2018 11:35:03 AM (UTC-6),,
#CORR. FILE:           ,                              ,,
#TEMPCAL:              ,TCALZERO.TMX                  ,,
#LABORATORY:           ,min phys                      ,,
#OPERATOR:             ,amh                           ,,
#REMARK:               ,bare, norm start, calib run   
#SAMPLE:               ,mt t ortho010                 ,,
#SAMPLE LENGTH /mm:    ,4.35,,
#MATERIAL:             ,sapphire stnd                 ,,
#MEASMODE:             ,Standard Expansion            ,,
#PURGE GAS 1:          ,ARGON                         ,,
#FLOW RATE 1 /(ml/min):,75,,
#M.RANGE /�m:          ,500,,
#CORR. CODE:           ,10,,
#RANGE:                ,20.0�C/3.0(K/min)/950.0�C     ,,
#SEGMENT:              ,S1/1                          ,,
#SEG. 1:               ,20.0�C/3.0(K/min)/950.0�C     ,,
,,,
##Temp./�C,Time/min,dL/Lo,
23.465,0,2.9017E-05,
23.469,0.02167,2.8213E-05,
23.464,0.04333,2.8435E-05,
23.465,0.065,2.8902E-05,
23.462,0.08667,2.822E-05,
23.457,0.10833,2.8213E-05,
23.45,0.13,2.822E-05,
23.458,0.15167,2.8105E-05,
23.453,0.17333,2.8615E-05,
23.452,0.195,2.8407E-05,
23.447,0.21667,2.6561E-05,
23.441,0.23833,2.807E-05,
23.444,0.26,2.7631E-05,
23.442,0.28167,2.7588E-05,
23.44,0.30333,2.8178E-05,
23.437,0.325,2.6892E-05,
23.433,0.34667,2.7352E-05,
23.431,0.36833,2.7021E-05,
23.431,0.39,2.6504E-05,
23.427,0.41167,2.6504E-05,
23.426,0.43333,2.6382E-05,
23.424,0.455,2.6655E-05,
23.423,0.47667,2.6073E-05,
23.416,0.49833,2.6138E-05,
23.416,0.52,2.6253E-05,
23.418,0.54167,2.5721E-05,
23.415,0.56333,2.5614E-05,
23.41,0.585,2.5894E-05,
23.403,0.60667,2.5269E-05,
23.401,0.62833,2.5686E-05,
23.405,0.65,2.5571E-05,
23.4,0.67167,2.519E-05,
23.398,0.69333,2.5176E-05,
23.397,0.715,2.5054E-05,
23.399,0.73667,2.5097E-05,
23.393,0.75833,2.4249E-05,
23.388,0.78,2.4645E-05,
23.39,0.80167,2.4803E-05,
23.39,0.82333,2.4285E-05,
23.385,0.845,2.4451E-05,
23.384,0.86667,2.3812E-05,
23.383,0.88833,2.4006E-05,
23.383,0.91,2.412E-05,
23.379,0.93167,2.3316E-05,
23.381,0.95333,2.2267E-05,
23.378,0.975,2.3309E-05,
23.375,0.99667,2.3287E-05,
